DATE,VALUE
1986-01-01,0.408
1987-01-01,0.516
1988-01-01,0.493
1989-01-01,0.570
1990-01-01,0.730
1991-01-01,0.662
1992-01-01,0.591
1993-01-01,0.515
1994-01-01,0.491
1995-01-01,0.543
1996-01-01,0.619
1997-01-01,0.604
1998-01-01,0.427
1999-01-01,0.545
2000-01-01,0.863
2001-01-01,0.742
2002-01-01,0.724
2003-01-01,0.884
2004-01-01,1.181
2005-01-01,1.565
2006-01-01,1.823
2007-01-01,2.062
2008-01-01,2.451
2009-01-01,1.665
2010-01-01,2.095
2011-01-01,2.797
2012-01-01,2.939
2013-01-01,2.811
2014-01-01,2.610
2015-01-01,1.612
2016-01-01,1.392
2017-01-01,1.637
