DATE,VALUE
1986-01-01,0.397
1987-01-01,0.506
1988-01-01,0.482
1989-01-01,0.558
1990-01-01,0.709
1991-01-01,0.636
1992-01-01,0.575
1993-01-01,0.509
1994-01-01,0.480
1995-01-01,0.510
1996-01-01,0.597
1997-01-01,0.585
1998-01-01,0.413
1999-01-01,0.522
2000-01-01,0.838
2001-01-01,0.740
2002-01-01,0.721
2003-01-01,0.871
2004-01-01,1.170
2005-01-01,1.596
2006-01-01,1.826
2007-01-01,2.040
2008-01-01,2.471
2009-01-01,1.635
2010-01-01,2.053
2011-01-01,2.748
2012-01-01,2.815
2013-01-01,2.694
2014-01-01,2.485
2015-01-01,1.554
2016-01-01,1.335
2017-01-01,1.602
