DATE,VALUE
1986-01-01,0.397
1987-01-01,0.522
1988-01-01,0.464
1989-01-01,0.556
1990-01-01,0.688
1991-01-01,0.613
1992-01-01,0.573
1993-01-01,0.525
1994-01-01,0.494
1995-01-01,0.493
1996-01-01,0.631
1997-01-01,0.564
1998-01-01,0.392
1999-01-01,0.491
2000-01-01,0.877
2001-01-01,0.713
2002-01-01,0.681
2003-01-01,0.848
2004-01-01,1.117
2005-01-01,1.626
2006-01-01,1.806
2007-01-01,2.031
2008-01-01,2.855
2009-01-01,1.646
2010-01-01,2.127
2011-01-01,2.948
2012-01-01,3.023
2013-01-01,2.923
2014-01-01,2.692
2015-01-01,1.542
2016-01-01,1.286
2017-01-01,1.577
