DATE,VALUE
2006-06-14,2.152
2006-06-15,2.145
2006-06-16,2.085
2006-06-19,2.021
2006-06-20,2.028
2006-06-21,2.059
2006-06-22,2.092
2006-06-23,2.114
2006-06-26,2.126
2006-06-27,2.117
2006-06-28,2.105
2006-06-29,2.175
2006-06-30,2.186
2006-07-03,2.186
2006-07-04,.
2006-07-05,2.214
2006-07-06,2.199
2006-07-07,2.167
2006-07-10,2.122
2006-07-11,2.158
2006-07-12,2.173
2006-07-13,2.274
2006-07-14,2.250
2006-07-17,2.214
2006-07-18,2.273
2006-07-19,2.253
2006-07-20,2.216
2006-07-21,2.269
2006-07-24,2.247
2006-07-25,2.175
2006-07-26,2.275
2006-07-27,2.340
2006-07-28,2.303
2006-07-31,2.319
2006-08-01,2.352
2006-08-02,2.408
2006-08-03,2.373
2006-08-04,2.347
2006-08-07,2.370
2006-08-08,2.296
2006-08-09,2.285
2006-08-10,2.209
2006-08-11,2.205
2006-08-14,2.170
2006-08-15,2.174
2006-08-16,2.174
2006-08-17,2.188
2006-08-18,2.209
2006-08-21,2.257
2006-08-22,2.262
2006-08-23,2.225
2006-08-24,2.249
2006-08-25,2.227
2006-08-28,2.127
2006-08-29,2.072
2006-08-30,2.092
2006-08-31,2.095
2006-09-01,2.035
2006-09-04,.
2006-09-05,1.991
2006-09-06,1.947
2006-09-07,1.923
2006-09-08,1.846
2006-09-11,1.769
2006-09-12,1.723
2006-09-13,1.676
2006-09-14,1.653
2006-09-15,1.672
2006-09-18,1.727
2006-09-19,1.694
2006-09-20,1.654
2006-09-21,1.774
2006-09-22,1.733
2006-09-25,1.761
2006-09-26,1.747
2006-09-27,1.829
2006-09-28,1.813
2006-09-29,1.812
2006-10-02,1.765
2006-10-03,1.699
2006-10-04,1.720
2006-10-05,1.804
2006-10-06,1.789
2006-10-09,1.814
2006-10-10,1.805
2006-10-11,1.759
2006-10-12,1.790
2006-10-13,1.832
2006-10-16,1.928
2006-10-17,1.829
2006-10-18,1.805
2006-10-19,1.806
2006-10-20,1.753
2006-10-23,1.757
2006-10-24,1.782
2006-10-25,1.826
2006-10-26,1.779
2006-10-27,1.781
2006-10-30,1.703
2006-10-31,1.726
2006-11-01,1.700
2006-11-02,1.687
2006-11-03,1.770
2006-11-06,1.817
2006-11-07,1.778
2006-11-08,1.820
2006-11-09,1.842
2006-11-10,1.749
2006-11-13,1.709
2006-11-14,1.716
2006-11-15,1.743
2006-11-16,1.759
2006-11-17,1.800
2006-11-20,1.806
2006-11-21,1.873
2006-11-22,1.817
2006-11-23,.
2006-11-24,1.837
2006-11-27,1.855
2006-11-28,1.844
2006-11-29,1.907
2006-11-30,1.903
2006-12-01,1.911
2006-12-04,1.860
2006-12-05,1.840
2006-12-06,1.801
2006-12-07,1.804
2006-12-08,1.777
2006-12-11,1.751
2006-12-12,1.782
2006-12-13,1.794
2006-12-14,1.834
2006-12-15,1.843
2006-12-18,1.790
2006-12-19,1.727
2006-12-20,1.707
2006-12-21,1.816
2006-12-22,1.793
2006-12-25,.
2006-12-26,1.749
2006-12-27,1.739
2006-12-28,1.748
2006-12-29,1.748
2007-01-01,.
2007-01-02,1.744
2007-01-03,1.684
2007-01-04,1.646
2007-01-05,1.645
2007-01-08,1.639
2007-01-09,1.641
2007-01-10,1.607
2007-01-11,1.580
2007-01-12,1.606
2007-01-15,.
2007-01-16,1.590
2007-01-17,1.586
2007-01-18,1.570
2007-01-19,1.606
2007-01-22,1.607
2007-01-23,1.661
2007-01-24,1.658
2007-01-25,1.631
2007-01-26,1.657
2007-01-29,1.616
2007-01-30,1.705
2007-01-31,1.737
2007-02-01,1.722
2007-02-02,1.733
2007-02-05,1.728
2007-02-06,1.710
2007-02-07,1.684
2007-02-08,1.752
2007-02-09,1.750
2007-02-12,1.670
2007-02-13,1.738
2007-02-14,1.745
2007-02-15,1.737
2007-02-16,1.761
2007-02-19,.
2007-02-20,1.811
2007-02-21,1.833
2007-02-22,1.856
2007-02-23,1.873
2007-02-26,1.879
2007-02-27,1.865
2007-02-28,1.912
2007-03-01,1.915
2007-03-02,1.901
2007-03-05,1.902
2007-03-06,1.918
2007-03-07,1.977
2007-03-08,1.973
2007-03-09,2.011
2007-03-12,1.985
2007-03-13,1.950
2007-03-14,1.909
2007-03-15,1.882
2007-03-16,1.878
2007-03-19,1.877
2007-03-20,1.848
2007-03-21,1.843
2007-03-22,1.976
2007-03-23,1.944
2007-03-26,2.123
2007-03-27,2.076
2007-03-28,2.119
2007-03-29,2.177
2007-03-30,2.168
2007-04-02,2.170
2007-04-03,2.105
2007-04-04,2.129
2007-04-05,2.160
2007-04-06,.
2007-04-09,2.125
2007-04-10,2.163
2007-04-11,2.216
2007-04-12,2.220
2007-04-13,2.188
2007-04-16,2.156
2007-04-17,1.975
2007-04-18,1.974
2007-04-19,1.978
2007-04-20,2.004
2007-04-23,2.065
2007-04-24,2.011
2007-04-25,2.065
2007-04-26,2.043
2007-04-27,2.062
2007-04-30,2.036
2007-05-01,2.090
2007-05-02,1.996
2007-05-03,2.000
2007-05-04,1.984
2007-05-07,1.952
2007-05-08,1.992
2007-05-09,1.991
2007-05-10,2.036
2007-05-11,2.052
2007-05-14,2.038
2007-05-15,2.058
2007-05-16,2.037
2007-05-17,2.107
2007-05-18,2.083
2007-05-21,2.110
2007-05-22,2.073
2007-05-23,2.090
2007-05-24,2.099
2007-05-25,2.104
2007-05-28,.
2007-05-29,2.045
2007-05-30,2.018
2007-05-31,2.036
2007-06-01,2.043
2007-06-04,2.086
2007-06-05,2.081
2007-06-06,2.088
2007-06-07,2.070
2007-06-08,1.996
2007-06-11,2.024
2007-06-12,2.011
2007-06-13,2.085
2007-06-14,2.149
2007-06-15,2.138
2007-06-18,2.160
2007-06-19,2.137
2007-06-20,2.129
2007-06-21,2.110
2007-06-22,2.124
2007-06-25,2.132
2007-06-26,2.087
2007-06-27,2.093
2007-06-28,2.107
2007-06-29,2.095
2007-07-02,2.124
2007-07-03,2.126
2007-07-04,.
2007-07-05,2.152
2007-07-06,2.156
2007-07-09,2.161
2007-07-10,2.193
2007-07-11,2.150
2007-07-12,2.148
2007-07-13,2.173
2007-07-16,2.102
2007-07-17,2.073
2007-07-18,2.132
2007-07-19,2.163
2007-07-20,2.147
2007-07-23,2.111
2007-07-24,2.118
2007-07-25,2.140
2007-07-26,2.103
2007-07-27,2.168
2007-07-30,2.170
2007-07-31,2.215
2007-08-01,2.176
2007-08-02,2.149
2007-08-03,2.107
2007-08-06,2.033
2007-08-07,2.045
2007-08-08,2.061
2007-08-09,2.075
2007-08-10,2.066
2007-08-13,2.057
2007-08-14,2.098
2007-08-15,2.139
2007-08-16,2.130
2007-08-17,2.196
2007-08-20,2.128
2007-08-21,2.085
2007-08-22,2.086
2007-08-23,2.098
2007-08-24,2.132
2007-08-27,2.147
2007-08-28,2.132
2007-08-29,2.181
2007-08-30,2.186
2007-08-31,2.177
2007-09-03,.
2007-09-04,2.192
2007-09-05,2.222
2007-09-06,2.238
2007-09-07,2.222
2007-09-10,2.264
2007-09-11,2.247
2007-09-12,2.231
2007-09-13,2.298
2007-09-14,2.295
2007-09-17,2.312
2007-09-18,2.351
2007-09-19,2.333
2007-09-20,2.391
2007-09-21,2.384
2007-09-24,2.351
2007-09-25,2.313
2007-09-26,2.287
2007-09-27,2.344
2007-09-28,2.308
2007-10-01,2.257
2007-10-02,2.238
2007-10-03,2.247
2007-10-04,2.294
2007-10-05,2.281
2007-10-08,2.224
2007-10-09,2.240
2007-10-10,2.275
2007-10-11,2.303
2007-10-12,2.305
2007-10-15,2.372
2007-10-16,2.406
2007-10-17,2.375
2007-10-18,2.420
2007-10-19,2.393
2007-10-22,2.369
2007-10-23,2.357
2007-10-24,2.404
2007-10-25,2.463
2007-10-26,2.488
2007-10-29,2.532
2007-10-30,2.474
2007-10-31,2.590
2007-11-01,2.570
2007-11-02,2.648
2007-11-05,2.641
2007-11-06,2.707
2007-11-07,2.677
2007-11-08,2.671
2007-11-09,2.685
2007-11-12,2.626
2007-11-13,2.560
2007-11-14,2.610
2007-11-15,2.616
2007-11-16,2.646
2007-11-19,2.660
2007-11-20,2.751
2007-11-21,2.742
2007-11-22,.
2007-11-23,2.758
2007-11-26,2.738
2007-11-27,2.700
2007-11-28,2.624
2007-11-29,2.617
2007-11-30,2.553
2007-12-03,2.557
2007-12-04,2.532
2007-12-05,2.482
2007-12-06,2.530
2007-12-07,2.480
2007-12-10,2.445
2007-12-11,2.455
2007-12-12,2.579
2007-12-13,2.570
2007-12-14,2.588
2007-12-17,2.576
2007-12-18,2.535
2007-12-19,2.577
2007-12-20,2.571
2007-12-21,2.592
2007-12-24,2.576
2007-12-25,.
2007-12-26,2.620
2007-12-27,2.690
2007-12-28,2.634
2007-12-31,2.638
2008-01-01,.
2008-01-02,2.710
2008-01-03,2.678
2008-01-04,2.646
2008-01-07,2.565
2008-01-08,2.590
2008-01-09,2.559
2008-01-10,2.515
2008-01-11,2.498
2008-01-14,2.553
2008-01-15,2.513
2008-01-16,2.502
2008-01-17,2.488
2008-01-18,2.518
2008-01-21,.
2008-01-22,2.478
2008-01-23,2.469
2008-01-24,2.495
2008-01-25,2.540
2008-01-28,2.541
2008-01-29,2.573
2008-01-30,2.589
2008-01-31,2.560
2008-02-01,2.479
2008-02-04,2.523
2008-02-05,2.486
2008-02-06,2.486
2008-02-07,2.532
2008-02-08,2.637
2008-02-11,2.695
2008-02-12,2.675
2008-02-13,2.701
2008-02-14,2.751
2008-02-15,2.742
2008-02-18,.
2008-02-19,2.891
2008-02-20,2.935
2008-02-21,2.900
2008-02-22,2.893
2008-02-25,2.903
2008-02-26,2.940
2008-02-27,2.896
2008-02-28,2.971
2008-02-29,2.951
2008-03-03,2.983
2008-03-04,2.981
2008-03-05,3.128
2008-03-06,3.165
2008-03-07,3.154
2008-03-10,3.205
2008-03-11,3.225
2008-03-12,3.267
2008-03-13,3.339
2008-03-14,3.305
2008-03-17,3.220
2008-03-18,3.246
2008-03-19,3.153
2008-03-20,3.108
2008-03-21,.
2008-03-24,3.058
2008-03-25,2.982
2008-03-26,3.090
2008-03-27,3.170
2008-03-28,3.177
2008-03-31,3.101
2008-04-01,3.129
2008-04-02,3.158
2008-04-03,3.142
2008-04-04,3.195
2008-04-07,3.296
2008-04-08,3.295
2008-04-09,3.415
2008-04-10,3.351
2008-04-11,3.347
2008-04-14,3.357
2008-04-15,3.418
2008-04-16,3.416
2008-04-17,3.404
2008-04-18,3.410
2008-04-21,3.413
2008-04-22,3.420
2008-04-23,3.446
2008-04-24,3.401
2008-04-25,3.465
2008-04-28,3.442
2008-04-29,3.380
2008-04-30,3.327
2008-05-01,3.268
2008-05-02,3.365
2008-05-05,3.458
2008-05-06,3.473
2008-05-07,3.580
2008-05-08,3.650
2008-05-09,3.759
2008-05-12,3.645
2008-05-13,3.794
2008-05-14,3.721
2008-05-15,3.747
2008-05-16,3.842
2008-05-19,3.828
2008-05-20,3.883
2008-05-21,4.047
2008-05-22,4.066
2008-05-23,3.975
2008-05-26,.
2008-05-27,3.891
2008-05-28,3.921
2008-05-29,3.760
2008-05-30,3.718
2008-06-02,3.813
2008-06-03,3.713
2008-06-04,3.596
2008-06-05,3.731
2008-06-06,3.997
2008-06-09,3.926
2008-06-10,3.859
2008-06-11,4.017
2008-06-12,3.969
2008-06-13,3.871
2008-06-16,3.843
2008-06-17,3.857
2008-06-18,3.886
2008-06-19,3.752
2008-06-20,3.802
2008-06-23,3.844
