DATE,VALUE
1994-12-01,1.155
1995-01-01,1.115
1995-02-01,1.104
1995-03-01,1.098
1995-04-01,1.130
1995-05-01,1.214
1995-06-01,1.238
1995-07-01,1.209
1995-08-01,1.176
1995-09-01,1.154
1995-10-01,1.128
1995-11-01,1.093
1995-12-01,1.089
1996-01-01,1.108
1996-02-01,1.107
1996-03-01,1.147
1996-04-01,1.242
1996-05-01,1.287
1996-06-01,1.270
1996-07-01,1.241
1996-08-01,1.222
1996-09-01,1.215
1996-10-01,1.223
1996-11-01,1.258
1996-12-01,1.275
1997-01-01,1.276
1997-02-01,1.270
1997-03-01,1.246
1997-04-01,1.227
1997-05-01,1.216
1997-06-01,1.208
1997-07-01,1.190
1997-08-01,1.233
1997-09-01,1.250
1997-10-01,1.218
1997-11-01,1.191
1997-12-01,1.156
1998-01-01,1.118
1998-02-01,1.079
1998-03-01,1.048
1998-04-01,1.055
1998-05-01,1.066
1998-06-01,1.060
1998-07-01,1.050
1998-08-01,1.028
1998-09-01,1.011
1998-10-01,1.030
1998-11-01,1.016
1998-12-01,0.965
1999-01-01,0.950
1999-02-01,0.933
1999-03-01,0.972
1999-04-01,1.090
1999-05-01,1.109
1999-06-01,1.098
1999-07-01,1.145
1999-08-01,1.206
1999-09-01,1.251
1999-10-01,1.267
1999-11-01,1.273
1999-12-01,1.301
2000-01-01,1.313
2000-02-01,1.395
2000-03-01,1.537
2000-04-01,1.477
2000-05-01,1.481
2000-06-01,1.570
2000-07-01,1.567
2000-08-01,1.475
2000-09-01,1.521
2000-10-01,1.511
2000-11-01,1.497
2000-12-01,1.438
2001-01-01,1.443
2001-02-01,1.464
2001-03-01,1.408
2001-04-01,1.531
2001-05-01,1.619
2001-06-01,1.556
2001-07-01,1.380
2001-08-01,1.359
2001-09-01,1.433
2001-10-01,1.287
2001-11-01,1.144
2001-12-01,1.087
2002-01-01,1.129
2002-02-01,1.123
2002-03-01,1.240
2002-04-01,1.406
2002-05-01,1.391
2002-06-01,1.366
2002-07-01,1.374
2002-08-01,1.383
2002-09-01,1.390
2002-10-01,1.454
2002-11-01,1.431
2002-12-01,1.405
2003-01-01,1.482
2003-02-01,1.626
2003-03-01,1.664
2003-04-01,1.556
2003-05-01,1.458
2003-06-01,1.470
2003-07-01,1.520
2003-08-01,1.612
2003-09-01,1.656
2003-10-01,1.555
2003-11-01,1.517
2003-12-01,1.511
2004-01-01,1.621
2004-02-01,1.681
2004-03-01,1.748
2004-04-01,1.797
2004-05-01,1.977
2004-06-01,1.983
2004-07-01,1.925
2004-08-01,1.885
2004-09-01,1.894
2004-10-01,2.019
2004-11-01,2.014
2004-12-01,1.907
2005-01-01,1.891
2005-02-01,1.950
2005-03-01,2.111
2005-04-01,2.274
2005-05-01,2.189
2005-06-01,2.182
2005-07-01,2.305
2005-08-01,2.506
2005-09-01,2.997
2005-10-01,2.821
2005-11-01,2.328
2005-12-01,2.245
2006-01-01,2.412
2006-02-01,2.349
2006-03-01,2.474
2006-04-01,2.818
2006-05-01,2.909
2006-06-01,2.853
2006-07-01,2.972
2006-08-01,2.982
2006-09-01,2.615
2006-10-01,2.280
2006-11-01,2.268
2006-12-01,2.371
2007-01-01,2.301
2007-02-01,2.290
2007-03-01,2.589
2007-04-01,2.859
2007-05-01,3.086
2007-06-01,3.045
2007-07-01,2.971
2007-08-01,2.807
2007-09-01,2.827
2007-10-01,2.872
2007-11-01,3.146
2007-12-01,3.103
2008-01-01,3.157
2008-02-01,3.126
2008-03-01,3.317
2008-04-01,3.516
2008-05-01,3.824
2008-06-01,4.071
2008-07-01,4.085
2008-08-01,3.818
2008-09-01,3.812
2008-10-01,3.215
2008-11-01,2.262
2008-12-01,1.786
2009-01-01,1.838
2009-02-01,1.995
2009-03-01,2.026
2009-04-01,2.114
2009-05-01,2.308
2009-06-01,2.651
2009-07-01,2.577
2009-08-01,2.644
2009-09-01,2.558
2009-10-01,2.568
2009-11-01,2.719
2009-12-01,2.682
2010-01-01,2.792
2010-02-01,2.722
2010-03-01,2.837
2010-04-01,2.889
2010-05-01,2.881
2010-06-01,2.727
2010-07-01,2.705
2010-08-01,2.720
2010-09-01,2.694
2010-10-01,2.827
2010-11-01,2.901
2010-12-01,3.065
2011-01-01,3.161
2011-02-01,3.261
2011-03-01,3.604
2011-04-01,3.810
2011-05-01,3.921
2011-06-01,3.688
2011-07-01,3.695
2011-08-01,3.700
2011-09-01,3.638
2011-10-01,3.492
2011-11-01,3.445
2011-12-01,3.352
2012-01-01,3.504
2012-02-01,3.717
2012-03-01,3.881
2012-04-01,3.964
2012-05-01,3.699
2012-06-01,3.455
2012-07-01,3.429
2012-08-01,3.736
2012-09-01,3.904
2012-10-01,3.786
2012-11-01,3.520
2012-12-01,3.443
2013-01-01,3.513
2013-02-01,3.777
2013-03-01,3.806
2013-04-01,3.619
2013-05-01,3.549
2013-06-01,3.560
2013-07-01,3.611
2013-08-01,3.620
2013-09-01,3.577
2013-10-01,3.422
2013-11-01,3.383
2013-12-01,3.456
2014-01-01,3.488
2014-02-01,3.488
2014-03-01,3.602
2014-04-01,3.749
2014-05-01,3.773
2014-06-01,3.729
2014-07-01,3.669
2014-08-01,3.526
2014-09-01,3.463
2014-10-01,3.282
2014-11-01,3.020
2014-12-01,2.719
2015-01-01,2.318
2015-02-01,2.320
2015-03-01,2.497
2015-04-01,2.529
2015-05-01,2.709
2015-06-01,2.805
2015-07-01,2.760
2015-08-01,2.567
2015-09-01,2.350
2015-10-01,2.303
2015-11-01,2.258
2015-12-01,2.171
2016-01-01,2.071
2016-02-01,1.910
2016-03-01,2.057
2016-04-01,2.205
2016-05-01,2.369
2016-06-01,2.419
2016-07-01,2.296
2016-08-01,2.244
2016-09-01,2.328
2016-10-01,2.378
2016-11-01,2.325
2016-12-01,2.399
2017-01-01,2.490
2017-02-01,2.421
2017-03-01,2.411
2017-04-01,2.511
2017-05-01,2.466
2017-06-01,2.402
2017-07-01,2.352
2017-08-01,2.441
2017-09-01,2.827
2017-10-01,2.626
2017-11-01,2.633
2017-12-01,2.573
2018-01-01,2.654
2018-02-01,2.703
2018-03-01,2.677
2018-04-01,2.835
2018-05-01,2.893
2018-06-01,2.843
2018-07-01,2.810
2018-08-01,2.818
2018-09-01,2.816
2018-10-01,2.839
2018-11-01,2.631
2018-12-01,2.361
