DATE,VALUE
1994-11-28,1.208
1994-12-05,1.183
1994-12-12,1.160
1994-12-19,1.141
1994-12-26,1.134
1995-01-02,1.119
1995-01-09,1.118
1995-01-16,1.114
1995-01-23,1.112
1995-01-30,1.111
1995-02-06,1.109
1995-02-13,1.104
1995-02-20,1.101
1995-02-27,1.101
1995-03-06,1.102
1995-03-13,1.099
1995-03-20,1.095
1995-03-27,1.094
1995-04-03,1.101
1995-04-10,1.115
1995-04-17,1.136
1995-04-24,1.166
1995-05-01,1.179
1995-05-08,1.205
1995-05-15,1.214
1995-05-22,1.232
1995-05-29,1.239
1995-06-05,1.242
1995-06-12,1.240
1995-06-19,1.237
1995-06-26,1.233
1995-07-03,1.224
1995-07-10,1.219
1995-07-17,1.211
1995-07-24,1.202
1995-07-31,1.188
1995-08-07,1.185
1995-08-14,1.177
1995-08-21,1.175
1995-08-28,1.168
1995-09-04,1.159
1995-09-11,1.156
1995-09-18,1.150
1995-09-25,1.149
1995-10-02,1.143
1995-10-09,1.138
1995-10-16,1.130
1995-10-23,1.119
1995-10-30,1.111
1995-11-06,1.101
1995-11-13,1.095
1995-11-20,1.088
1995-11-27,1.086
1995-12-04,1.085
1995-12-11,1.087
1995-12-18,1.089
1995-12-25,1.094
1996-01-01,1.098
1996-01-08,1.102
1996-01-15,1.115
1996-01-22,1.113
1996-01-29,1.110
1996-02-05,1.107
1996-02-12,1.103
1996-02-19,1.103
1996-02-26,1.116
1996-03-04,1.133
1996-03-11,1.138
1996-03-18,1.145
1996-03-25,1.170
1996-04-01,1.190
1996-04-08,1.212
1996-04-15,1.257
1996-04-22,1.272
1996-04-29,1.279
1996-05-06,1.286
1996-05-13,1.288
1996-05-20,1.289
1996-05-27,1.285
1996-06-03,1.283
1996-06-10,1.275
1996-06-17,1.265
1996-06-24,1.257
1996-07-01,1.249
1996-07-08,1.243
1996-07-15,1.241
1996-07-22,1.237
1996-07-29,1.234
1996-08-05,1.228
1996-08-12,1.223
1996-08-19,1.219
1996-08-26,1.216
1996-09-02,1.212
1996-09-09,1.216
1996-09-16,1.217
1996-09-23,1.216
1996-09-30,1.214
1996-10-07,1.211
1996-10-14,1.219
1996-10-21,1.227
1996-10-28,1.235
1996-11-04,1.247
1996-11-11,1.249
1996-11-18,1.264
1996-11-25,1.271
1996-12-02,1.273
1996-12-09,1.277
1996-12-16,1.277
1996-12-23,1.276
1996-12-30,1.273
1997-01-06,1.274
1997-01-13,1.277
1997-01-20,1.278
1997-01-27,1.276
1997-02-03,1.275
1997-02-10,1.273
1997-02-17,1.268
1997-02-24,1.263
1997-03-03,1.257
1997-03-10,1.252
1997-03-17,1.244
1997-03-24,1.239
1997-03-31,1.237
1997-04-07,1.235
1997-04-14,1.231
1997-04-21,1.225
1997-04-28,1.218
1997-05-05,1.217
1997-05-12,1.212
1997-05-19,1.217
1997-05-26,1.216
1997-06-02,1.218
1997-06-09,1.214
1997-06-16,1.209
1997-06-23,1.204
1997-06-30,1.197
1997-07-07,1.193
1997-07-14,1.190
1997-07-21,1.188
1997-07-28,1.188
1997-08-04,1.205
1997-08-11,1.235
1997-08-18,1.240
1997-08-25,1.253
1997-09-01,1.257
1997-09-08,1.259
1997-09-15,1.253
1997-09-22,1.246
1997-09-29,1.235
1997-10-06,1.227
1997-10-13,1.222
1997-10-20,1.215
1997-10-27,1.208
1997-11-03,1.201
1997-11-10,1.195
1997-11-17,1.188
1997-11-24,1.181
1997-12-01,1.175
1997-12-08,1.165
1997-12-15,1.155
1997-12-22,1.146
1997-12-29,1.139
1998-01-05,1.133
1998-01-12,1.124
1998-01-19,1.113
1998-01-26,1.101
1998-02-02,1.091
1998-02-09,1.085
1998-02-16,1.072
1998-02-23,1.067
1998-03-02,1.062
1998-03-09,1.055
1998-03-16,1.041
1998-03-23,1.030
1998-03-30,1.052
1998-04-06,1.056
1998-04-13,1.054
1998-04-20,1.052
1998-04-27,1.058
1998-05-04,1.061
1998-05-11,1.070
1998-05-18,1.065
1998-05-25,1.067
1998-06-01,1.065
1998-06-08,1.066
1998-06-15,1.059
1998-06-22,1.056
1998-06-29,1.056
1998-07-06,1.050
1998-07-13,1.055
1998-07-20,1.050
1998-07-27,1.044
1998-08-03,1.038
1998-08-10,1.033
1998-08-17,1.027
1998-08-24,1.022
1998-08-31,1.019
1998-09-07,1.013
1998-09-14,1.008
1998-09-21,1.007
1998-09-28,1.015
1998-10-05,1.021
1998-10-12,1.036
1998-10-19,1.033
1998-10-26,1.030
1998-11-02,1.030
1998-11-09,1.027
1998-11-16,1.019
1998-11-23,1.008
1998-11-30,0.998
1998-12-07,0.978
1998-12-14,0.966
1998-12-21,0.961
1998-12-28,0.953
1999-01-04,0.952
1999-01-11,0.949
1999-01-18,0.951
1999-01-25,0.947
1999-02-01,0.940
1999-02-08,0.936
1999-02-15,0.930
1999-02-22,0.926
1999-03-01,0.920
1999-03-08,0.922
1999-03-15,0.969
1999-03-22,1.007
1999-03-29,1.044
1999-04-05,1.075
1999-04-12,1.093
1999-04-19,1.096
1999-04-26,1.097
1999-05-03,1.107
1999-05-10,1.115
1999-05-17,1.112
1999-05-24,1.109
1999-05-31,1.102
1999-06-07,1.097
1999-06-14,1.094
1999-06-21,1.101
1999-06-28,1.101
1999-07-05,1.117
1999-07-12,1.135
1999-07-19,1.158
1999-07-26,1.171
1999-08-02,1.179
1999-08-09,1.196
1999-08-16,1.212
1999-08-23,1.220
1999-08-30,1.223
1999-09-06,1.225
1999-09-13,1.247
1999-09-20,1.263
1999-09-27,1.267
1999-10-04,1.271
1999-10-11,1.273
1999-10-18,1.264
1999-10-25,1.260
1999-11-01,1.257
1999-11-08,1.252
1999-11-15,1.262
1999-11-22,1.287
1999-11-29,1.305
