DATE,VALUE
1994-12-01,1.156
1995-01-01,1.127
1995-02-01,1.117
1995-03-01,1.109
1995-04-01,1.150
1995-05-01,1.227
1995-06-01,1.242
1995-07-01,1.206
1995-08-01,1.164
1995-09-01,1.141
1995-10-01,1.115
1995-11-01,1.090
1995-12-01,1.095
1996-01-01,1.119
1996-02-01,1.115
1996-03-01,1.164
1996-04-01,1.259
1996-05-01,1.294
1996-06-01,1.273
1996-07-01,1.241
1996-08-01,1.224
1996-09-01,1.218
1996-10-01,1.220
1996-11-01,1.254
1996-12-01,1.266
1997-01-01,1.260
1997-02-01,1.260
1997-03-01,1.236
1997-04-01,1.222
1997-05-01,1.207
1997-06-01,1.203
1997-07-01,1.186
1997-08-01,1.218
1997-09-01,1.224
1997-10-01,1.200
1997-11-01,1.173
1997-12-01,1.144
1998-01-01,1.113
1998-02-01,1.074
1998-03-01,1.045
1998-04-01,1.048
1998-05-01,1.048
1998-06-01,1.040
1998-07-01,1.031
1998-08-01,1.008
1998-09-01,0.986
1998-10-01,1.008
1998-11-01,0.983
1998-12-01,0.938
1999-01-01,0.934
1999-02-01,0.926
1999-03-01,0.964
1999-04-01,1.085
1999-05-01,1.099
1999-06-01,1.095
1999-07-01,1.131
1999-08-01,1.192
1999-09-01,1.235
1999-10-01,1.250
1999-11-01,1.251
1999-12-01,1.278
2000-01-01,1.285
2000-02-01,1.371
2000-03-01,1.511
2000-04-01,1.457
2000-05-01,1.463
2000-06-01,1.538
2000-07-01,1.545
2000-08-01,1.458
2000-09-01,1.499
2000-10-01,1.483
2000-11-01,1.466
2000-12-01,1.403
2001-01-01,1.416
2001-02-01,1.438
2001-03-01,1.383
2001-04-01,1.507
2001-05-01,1.606
2001-06-01,1.534
2001-07-01,1.336
2001-08-01,1.338
2001-09-01,1.431
2001-10-01,1.272
2001-11-01,1.130
2001-12-01,1.071
2002-01-01,1.104
2002-02-01,1.099
2002-03-01,1.227
2002-04-01,1.367
2002-05-01,1.360
2002-06-01,1.338
2002-07-01,1.342
2002-08-01,1.351
2002-09-01,1.365
2002-10-01,1.434
2002-11-01,1.409
2002-12-01,1.382
2003-01-01,1.450
2003-02-01,1.593
2003-03-01,1.631
2003-04-01,1.522
2003-05-01,1.424
2003-06-01,1.427
2003-07-01,1.472
2003-08-01,1.557
2003-09-01,1.574
2003-10-01,1.470
2003-11-01,1.444
2003-12-01,1.443
2004-01-01,1.546
2004-02-01,1.597
2004-03-01,1.662
2004-04-01,1.730
2004-05-01,1.904
2004-06-01,1.902
2004-07-01,1.850
2004-08-01,1.834
2004-09-01,1.815
2004-10-01,1.935
2004-11-01,1.920
2004-12-01,1.795
2005-01-01,1.799
2005-02-01,1.868
2005-03-01,2.043
2005-04-01,2.208
2005-05-01,2.105
2005-06-01,2.109
2005-07-01,2.237
2005-08-01,2.440
2005-09-01,2.799
2005-10-01,2.747
2005-11-01,2.262
2005-12-01,2.184
2006-01-01,2.299
2006-02-01,2.246
2006-03-01,2.413
2006-04-01,2.762
2006-05-01,2.819
2006-06-01,2.793
2006-07-01,2.900
2006-08-01,2.897
2006-09-01,2.514
2006-10-01,2.192
2006-11-01,2.164
2006-12-01,2.250
2007-01-01,2.162
2007-02-01,2.178
2007-03-01,2.456
2007-04-01,2.769
2007-05-01,3.047
2007-06-01,2.999
2007-07-01,2.921
2007-08-01,2.756
2007-09-01,2.757
2007-10-01,2.761
2007-11-01,3.021
2007-12-01,2.948
2008-01-01,2.988
2008-02-01,2.992
2008-03-01,3.207
2008-04-01,3.413
2008-05-01,3.715
2008-06-01,3.963
2008-07-01,3.992
2008-08-01,3.711
2008-09-01,3.709
2008-10-01,2.963
2008-11-01,2.103
2008-12-01,1.665
2009-01-01,1.731
2009-02-01,1.883
2009-03-01,1.925
2009-04-01,2.014
2009-05-01,2.216
2009-06-01,2.559
2009-07-01,2.451
2009-08-01,2.545
2009-09-01,2.434
2009-10-01,2.464
2009-11-01,2.584
2009-12-01,2.542
2010-01-01,2.652
2010-02-01,2.589
2010-03-01,2.729
2010-04-01,2.797
2010-05-01,2.796
2010-06-01,2.667
2010-07-01,2.640
2010-08-01,2.653
2010-09-01,2.621
2010-10-01,2.711
2010-11-01,2.746
2010-12-01,2.902
2011-01-01,3.008
2011-02-01,3.129
2011-03-01,3.488
2011-04-01,3.710
2011-05-01,3.803
2011-06-01,3.582
2011-07-01,3.576
2011-08-01,3.581
2011-09-01,3.501
2011-10-01,3.340
2011-11-01,3.254
2011-12-01,3.134
2012-01-01,3.268
2012-02-01,3.510
2012-03-01,3.716
2012-04-01,3.818
2012-05-01,3.574
2012-06-01,3.342
2012-07-01,3.265
2012-08-01,3.568
2012-09-01,3.702
2012-10-01,3.557
2012-11-01,3.285
2012-12-01,3.177
2013-01-01,3.221
2013-02-01,3.531
2013-03-01,3.593
2013-04-01,3.432
2013-05-01,3.414
2013-06-01,3.421
2013-07-01,3.462
2013-08-01,3.459
2013-09-01,3.382
2013-10-01,3.195
2013-11-01,3.118
2013-12-01,3.162
2014-01-01,3.181
2014-02-01,3.218
2014-03-01,3.346
2014-04-01,3.529
2014-05-01,3.521
2014-06-01,3.520
2014-07-01,3.486
2014-08-01,3.348
2014-09-01,3.252
2014-10-01,3.054
2014-11-01,2.783
2014-12-01,2.406
2015-01-01,1.997
2015-02-01,2.097
2015-03-01,2.289
2015-04-01,2.302
2015-05-01,2.520
2015-06-01,2.623
2015-07-01,2.572
2015-08-01,2.394
2015-09-01,2.164
2015-10-01,2.110
2015-11-01,2.005
2015-12-01,1.890
2016-01-01,1.797
2016-02-01,1.664
2016-03-01,1.858
2016-04-01,1.980
2016-05-01,2.134
2016-06-01,2.221
2016-07-01,2.128
2016-08-01,2.070
2016-09-01,2.099
2016-10-01,2.158
2016-11-01,2.070
2016-12-01,2.150
2017-01-01,2.247
2017-02-01,2.192
2017-03-01,2.198
2017-04-01,2.297
2017-05-01,2.272
2017-06-01,2.228
2017-07-01,2.164
2017-08-01,2.266
2017-09-01,2.586
2017-10-01,2.415
2017-11-01,2.412
2017-12-01,2.342
2018-01-01,2.416
2018-02-01,2.455
2018-03-01,2.439
2018-04-01,2.620
2018-05-01,2.713
2018-06-01,2.712
2018-07-01,2.651
2018-08-01,2.647
2018-09-01,2.632
2018-10-01,2.668
2018-11-01,2.434
2018-12-01,2.114
