DATE,VALUE
1994-12-01,1.112
1995-01-01,1.107
1995-02-01,1.099
1995-03-01,1.099
1995-04-01,1.143
1995-05-01,1.213
1995-06-01,1.226
1995-07-01,1.189
1995-08-01,1.161
1995-09-01,1.148
1995-10-01,1.122
1995-11-01,1.098
1995-12-01,1.105
1996-01-01,1.123
1996-02-01,1.121
1996-03-01,1.169
1996-04-01,1.259
1996-05-01,1.302
1996-06-01,1.282
1996-07-01,1.254
1996-08-01,1.238
1996-09-01,1.238
1996-10-01,1.243
1996-11-01,1.273
1996-12-01,1.273
1997-01-01,1.270
1997-02-01,1.263
1997-03-01,1.237
1997-04-01,1.228
1997-05-01,1.229
1997-06-01,1.227
1997-07-01,1.206
1997-08-01,1.250
1997-09-01,1.254
1997-10-01,1.222
1997-11-01,1.198
1997-12-01,1.159
1998-01-01,1.115
1998-02-01,1.082
1998-03-01,1.055
1998-04-01,1.064
1998-05-01,1.088
1998-06-01,1.086
1998-07-01,1.078
1998-08-01,1.049
1998-09-01,1.033
1998-10-01,1.045
1998-11-01,1.020
1998-12-01,0.964
1999-01-01,0.957
1999-02-01,0.940
1999-03-01,1.000
1999-04-01,1.137
1999-05-01,1.143
1999-06-01,1.134
1999-07-01,1.177
1999-08-01,1.237
1999-09-01,1.279
1999-10-01,1.271
1999-11-01,1.280
1999-12-01,1.302
2000-01-01,1.319
2000-02-01,1.409
2000-03-01,1.538
2000-04-01,1.476
2000-05-01,1.496
2000-06-01,1.645
2000-07-01,1.568
2000-08-01,1.480
2000-09-01,1.562
2000-10-01,1.546
2000-11-01,1.533
2000-12-01,1.458
2001-01-01,1.467
2001-02-01,1.471
2001-03-01,1.423
2001-04-01,1.557
2001-05-01,1.689
2001-06-01,1.586
2001-07-01,1.381
2001-08-01,1.422
2001-09-01,1.539
2001-10-01,1.312
2001-11-01,1.177
2001-12-01,1.111
2002-01-01,1.134
2002-02-01,1.129
2002-03-01,1.259
2002-04-01,1.402
2002-05-01,1.394
2002-06-01,1.380
2002-07-01,1.402
2002-08-01,1.398
2002-09-01,1.403
2002-10-01,1.466
2002-11-01,1.424
2002-12-01,1.389
2003-01-01,1.464
2003-02-01,1.622
2003-03-01,1.675
2003-04-01,1.557
2003-05-01,1.477
2003-06-01,1.489
2003-07-01,1.519
2003-08-01,1.625
2003-09-01,1.654
2003-10-01,1.551
2003-11-01,1.512
2003-12-01,1.488
2004-01-01,1.595
2004-02-01,1.654
2004-03-01,1.728
2004-04-01,1.794
2004-05-01,1.981
2004-06-01,1.950
2004-07-01,1.902
2004-08-01,1.880
2004-09-01,1.880
2004-10-01,1.993
2004-11-01,1.973
2004-12-01,1.843
2005-01-01,1.852
2005-02-01,1.927
2005-03-01,2.102
2005-04-01,2.251
2005-05-01,2.155
2005-06-01,2.162
2005-07-01,2.287
2005-08-01,2.489
2005-09-01,2.907
2005-10-01,2.736
2005-11-01,2.265
2005-12-01,2.216
2006-01-01,2.343
2006-02-01,2.293
2006-03-01,2.454
2006-04-01,2.762
2006-05-01,2.873
2006-06-01,2.849
2006-07-01,2.964
2006-08-01,2.952
2006-09-01,2.548
2006-10-01,2.258
2006-11-01,2.254
2006-12-01,2.328
2007-01-01,2.237
2007-02-01,2.276
2007-03-01,2.546
2007-04-01,2.831
2007-05-01,3.157
2007-06-01,3.067
2007-07-01,2.989
2007-08-01,2.821
2007-09-01,2.858
2007-10-01,2.838
2007-11-01,3.110
2007-12-01,3.032
2008-01-01,3.068
2008-02-01,3.064
2008-03-01,3.263
2008-04-01,3.468
2008-05-01,3.783
2008-06-01,4.038
2008-07-01,4.051
2008-08-01,3.789
2008-09-01,3.760
2008-10-01,3.065
2008-11-01,2.153
2008-12-01,1.721
2009-01-01,1.821
2009-02-01,1.942
2009-03-01,1.987
2009-04-01,2.071
2009-05-01,2.289
2009-06-01,2.645
2009-07-01,2.530
2009-08-01,2.613
2009-09-01,2.530
2009-10-01,2.549
2009-11-01,2.665
2009-12-01,2.620
2010-01-01,2.730
2010-02-01,2.657
2010-03-01,2.793
