DATE,VALUE
1994-12-01,1.052
1995-01-01,1.042
1995-02-01,1.042
1995-03-01,1.052
1995-04-01,1.118
1995-05-01,1.183
1995-06-01,1.187
1995-07-01,1.127
1995-08-01,1.102
1995-09-01,1.097
1995-10-01,1.062
1995-11-01,1.044
1995-12-01,1.070
1996-01-01,1.095
1996-02-01,1.094
1996-03-01,1.157
1996-04-01,1.235
1996-05-01,1.253
1996-06-01,1.230
1996-07-01,1.207
1996-08-01,1.191
1996-09-01,1.206
1996-10-01,1.215
1996-11-01,1.265
1996-12-01,1.257
1997-01-01,1.250
1997-02-01,1.228
1997-03-01,1.187
1997-04-01,1.179
1997-05-01,1.204
1997-06-01,1.212
1997-07-01,1.187
1997-08-01,1.247
1997-09-01,1.220
1997-10-01,1.169
1997-11-01,1.148
1997-12-01,1.098
1998-01-01,1.046
1998-02-01,1.037
1998-03-01,1.030
1998-04-01,1.047
1998-05-01,1.089
1998-06-01,1.088
1998-07-01,1.084
1998-08-01,1.040
1998-09-01,1.026
1998-10-01,1.035
1998-11-01,0.992
1998-12-01,0.924
1999-01-01,0.930
1999-02-01,0.910
1999-03-01,0.994
1999-04-01,1.116
1999-05-01,1.117
1999-06-01,1.116
1999-07-01,1.159
1999-08-01,1.215
1999-09-01,1.269
1999-10-01,1.234
1999-11-01,1.264
1999-12-01,1.282
2000-01-01,1.319
2000-02-01,1.431
2000-03-01,1.520
2000-04-01,1.422
2000-05-01,1.489
2000-06-01,1.775
2000-07-01,1.539
2000-08-01,1.424
2000-09-01,1.566
2000-10-01,1.535
2000-11-01,1.529
2000-12-01,1.430
2001-01-01,1.479
2001-02-01,1.462
2001-03-01,1.402
2001-04-01,1.591
2001-05-01,1.795
2001-06-01,1.602
2001-07-01,1.332
2001-08-01,1.488
2001-09-01,1.641
2001-10-01,1.258
2001-11-01,1.147
2001-12-01,1.108
2002-01-01,1.124
2002-02-01,1.122
2002-03-01,1.281
2002-04-01,1.399
2002-05-01,1.391
2002-06-01,1.383
2002-07-01,1.423
2002-08-01,1.395
2002-09-01,1.403
2002-10-01,1.494
2002-11-01,1.413
