DATE,VALUE
1994-11-28,1.122
1994-12-05,1.086
1994-12-12,1.057
1994-12-19,1.039
1994-12-26,1.027
1995-01-02,1.025
1995-01-09,1.046
1995-01-16,1.031
1995-01-23,1.054
1995-01-30,1.055
1995-02-06,1.045
1995-02-13,1.040
1995-02-20,1.031
1995-02-27,1.052
1995-03-06,1.053
1995-03-13,1.042
1995-03-20,1.048
1995-03-27,1.065
1995-04-03,1.091
1995-04-10,1.109
1995-04-17,1.123
1995-04-24,1.148
1995-05-01,1.144
1995-05-08,1.177
1995-05-15,1.183
1995-05-22,1.210
1995-05-29,1.202
1995-06-05,1.202
1995-06-12,1.195
1995-06-19,1.181
1995-06-26,1.169
1995-07-03,1.158
1995-07-10,1.141
1995-07-17,1.125
1995-07-24,1.112
1995-07-31,1.097
1995-08-07,1.102
1995-08-14,1.102
1995-08-21,1.108
1995-08-28,1.096
1995-09-04,1.098
1995-09-11,1.094
1995-09-18,1.097
1995-09-25,1.098
1995-10-02,1.091
1995-10-09,1.076
1995-10-16,1.059
1995-10-23,1.050
1995-10-30,1.033
1995-11-06,1.040
1995-11-13,1.046
1995-11-20,1.042
1995-11-27,1.047
1995-12-04,1.053
1995-12-11,1.049
1995-12-18,1.089
1995-12-25,1.087
1996-01-01,1.089
1996-01-08,1.108
1996-01-15,1.106
1996-01-22,1.092
1996-01-29,1.079
1996-02-05,1.079
1996-02-12,1.078
1996-02-19,1.089
1996-02-26,1.131
1996-03-04,1.146
1996-03-11,1.137
1996-03-18,1.154
1996-03-25,1.190
1996-04-01,1.196
1996-04-08,1.220
1996-04-15,1.257
1996-04-22,1.245
1996-04-29,1.257
1996-05-06,1.245
1996-05-13,1.250
1996-05-20,1.267
1996-05-27,1.251
1996-06-03,1.239
1996-06-10,1.233
1996-06-17,1.231
1996-06-24,1.217
1996-07-01,1.202
1996-07-08,1.206
1996-07-15,1.211
1996-07-22,1.214
1996-07-29,1.200
1996-08-05,1.183
1996-08-12,1.179
1996-08-19,1.196
1996-08-26,1.205
1996-09-02,1.192
1996-09-09,1.209
1996-09-16,1.211
1996-09-23,1.213
1996-09-30,1.205
1996-10-07,1.191
1996-10-14,1.216
1996-10-21,1.213
1996-10-28,1.241
1996-11-04,1.251
1996-11-11,1.260
1996-11-18,1.268
1996-11-25,1.282
1996-12-02,1.276
1996-12-09,1.274
1996-12-16,1.255
1996-12-23,1.243
