DATE,VALUE
1994-11-28,1.226
1994-12-05,1.215
1994-12-12,1.206
1994-12-19,1.175
1994-12-26,1.153
1995-01-02,1.168
1995-01-09,1.157
1995-01-16,1.147
1995-01-23,1.157
1995-01-30,1.143
1995-02-06,1.131
1995-02-13,1.139
1995-02-20,1.130
1995-02-27,1.119
1995-03-06,1.146
1995-03-13,1.132
1995-03-20,1.121
1995-03-27,1.151
1995-04-03,1.145
1995-04-10,1.176
1995-04-17,1.171
1995-04-24,1.163
1995-05-01,1.190
1995-05-08,1.181
1995-05-15,1.206
1995-05-22,1.206
1995-05-29,1.223
1995-06-05,1.217
1995-06-12,1.224
1995-06-19,1.214
1995-06-26,1.216
1995-07-03,1.219
1995-07-10,1.207
1995-07-17,1.201
1995-07-24,1.208
1995-07-31,1.197
1995-08-07,1.186
1995-08-14,1.197
1995-08-21,1.202
1995-08-28,1.193
1995-09-04,1.188
1995-09-11,1.202
1995-09-18,1.214
1995-09-25,1.209
1995-10-02,1.218
1995-10-09,1.206
1995-10-16,1.192
1995-10-23,1.184
1995-10-30,1.198
1995-11-06,1.186
1995-11-13,1.178
1995-11-20,1.197
1995-11-27,1.186
1995-12-04,1.169
1995-12-11,1.173
1995-12-18,1.161
1995-12-25,1.155
1996-01-01,1.147
1996-01-08,1.161
1996-01-15,1.158
1996-01-22,1.140
1996-01-29,1.154
1996-02-05,1.144
1996-02-12,1.131
1996-02-19,1.166
1996-02-26,1.157
1996-03-04,1.177
1996-03-11,1.170
1996-03-18,1.167
1996-03-25,1.209
1996-04-01,1.213
1996-04-08,1.247
1996-04-15,1.273
1996-04-22,1.297
1996-04-29,1.367
1996-05-06,1.384
1996-05-13,1.380
1996-05-20,1.396
1996-05-27,1.385
1996-06-03,1.363
1996-06-10,1.345
1996-06-17,1.355
1996-06-24,1.335
1996-07-01,1.332
1996-07-08,1.322
1996-07-15,1.306
1996-07-22,1.316
1996-07-29,1.306
1996-08-05,1.315
1996-08-12,1.328
1996-08-19,1.316
1996-08-26,1.328
1996-09-02,1.322
1996-09-09,1.316
1996-09-16,1.331
1996-09-23,1.326
1996-09-30,1.317
1996-10-07,1.324
1996-10-14,1.315
1996-10-21,1.310
1996-10-28,1.321
1996-11-04,1.318
1996-11-11,1.312
1996-11-18,1.325
1996-11-25,1.311
1996-12-02,1.301
1996-12-09,1.292
1996-12-16,1.305
1996-12-23,1.293
1996-12-30,1.285
1997-01-06,1.280
1997-01-13,1.299
1997-01-20,1.295
1997-01-27,1.300
1997-02-03,1.290
1997-02-10,1.299
1997-02-17,1.304
1997-02-24,1.298
1997-03-03,1.307
1997-03-10,1.297
1997-03-17,1.301
1997-03-24,1.285
1997-03-31,1.277
1997-04-07,1.313
1997-04-14,1.308
1997-04-21,1.315
1997-04-28,1.301
1997-05-05,1.287
1997-05-12,1.307
1997-05-19,1.312
1997-05-26,1.306
1997-06-02,1.327
1997-06-09,1.314
1997-06-16,1.298
1997-06-23,1.288
1997-06-30,1.305
1997-07-07,1.306
1997-07-14,1.312
1997-07-21,1.302
1997-07-28,1.284
1997-08-04,1.296
1997-08-11,1.315
1997-08-18,1.325
1997-08-25,1.334
1997-09-01,1.330
1997-09-08,1.344
1997-09-15,1.335
1997-09-22,1.322
1997-09-29,1.314
1997-10-06,1.323
1997-10-13,1.342
1997-10-20,1.333
1997-10-27,1.324
1997-11-03,1.314
1997-11-10,1.336
1997-11-17,1.329
1997-11-24,1.308
1997-12-01,1.295
1997-12-08,1.308
1997-12-15,1.316
1997-12-22,1.303
1997-12-29,1.288
1998-01-05,1.273
1998-01-12,1.253
1998-01-19,1.248
1998-01-26,1.228
1998-02-02,1.198
1998-02-09,1.163
1998-02-16,1.129
1998-02-23,1.155
1998-03-02,1.130
1998-03-09,1.109
1998-03-16,1.092
1998-03-23,1.069
1998-03-30,1.110
1998-04-06,1.095
1998-04-13,1.098
1998-04-20,1.117
1998-04-27,1.114
1998-05-04,1.129
1998-05-11,1.157
1998-05-18,1.171
1998-05-25,1.165
1998-06-01,1.159
1998-06-08,1.211
1998-06-15,1.199
1998-06-22,1.193
1998-06-29,1.172
1998-07-06,1.162
1998-07-13,1.163
1998-07-20,1.165
1998-07-27,1.162
1998-08-03,1.151
1998-08-10,1.146
1998-08-17,1.165
1998-08-24,1.160
1998-08-31,1.150
1998-09-07,1.136
1998-09-14,1.151
1998-09-21,1.148
1998-09-28,1.134
1998-10-05,1.129
1998-10-12,1.147
1998-10-19,1.138
1998-10-26,1.136
1998-11-02,1.127
1998-11-09,1.120
1998-11-16,1.139
1998-11-23,1.124
1998-11-30,1.107
1998-12-07,1.078
1998-12-14,1.042
1998-12-21,1.012
1998-12-28,0.998
1999-01-04,0.994
1999-01-11,0.993
1999-01-18,1.005
1999-01-25,0.997
1999-02-01,1.001
1999-02-08,0.995
1999-02-15,0.999
1999-02-22,1.000
1999-03-01,1.000
1999-03-08,1.005
1999-03-15,1.048
1999-03-22,1.076
1999-03-29,1.157
1999-04-05,1.205
1999-04-12,1.228
1999-04-19,1.235
1999-04-26,1.236
1999-05-03,1.241
1999-05-10,1.263
1999-05-17,1.260
1999-05-24,1.256
1999-05-31,1.244
1999-06-07,1.238
1999-06-14,1.234
1999-06-21,1.237
1999-06-28,1.245
1999-07-05,1.247
1999-07-12,1.245
1999-07-19,1.273
1999-07-26,1.312
1999-08-02,1.323
1999-08-09,1.353
1999-08-16,1.376
1999-08-23,1.398
1999-08-30,1.400
1999-09-06,1.404
1999-09-13,1.405
1999-09-20,1.406
1999-09-27,1.401
1999-10-04,1.397
1999-10-11,1.391
1999-10-18,1.390
1999-10-25,1.379
1999-11-01,1.368
1999-11-08,1.359
1999-11-15,1.358
1999-11-22,1.350
1999-11-29,1.348
1999-12-06,1.361
1999-12-13,1.362
1999-12-20,1.353
1999-12-27,1.346
2000-01-03,1.342
2000-01-10,1.331
2000-01-17,1.323
2000-01-24,1.323
2000-01-31,1.357
2000-02-07,1.358
2000-02-14,1.373
2000-02-21,1.401
2000-02-28,1.425
2000-03-06,1.494
2000-03-13,1.549
2000-03-20,1.584
2000-03-27,1.588
2000-04-03,1.586
2000-04-10,1.575
2000-04-17,1.557
2000-04-24,1.539
2000-05-01,1.518
2000-05-08,1.505
2000-05-15,1.526
2000-05-22,1.541
2000-05-29,1.548
2000-06-05,1.561
2000-06-12,1.584
2000-06-19,1.625
2000-06-26,1.645
2000-07-03,1.643
2000-07-10,1.661
2000-07-17,1.650
2000-07-24,1.631
2000-07-31,1.616
2000-08-07,1.601
2000-08-14,1.588
2000-08-21,1.581
2000-08-28,1.590
2000-09-04,1.592
2000-09-11,1.626
2000-09-18,1.657
2000-09-25,1.659
2000-10-02,1.650
2000-10-09,1.639
2000-10-16,1.640
2000-10-23,1.653
2000-10-30,1.671
2000-11-06,1.659
2000-11-13,1.643
2000-11-20,1.628
2000-11-27,1.611
2000-12-04,1.593
2000-12-11,1.553
2000-12-18,1.517
2000-12-25,1.493
2001-01-01,1.474
2001-01-08,1.470
2001-01-15,1.464
2001-01-22,1.463
2001-01-29,1.462
2001-02-05,1.480
2001-02-12,1.481
2001-02-19,1.475
2001-02-26,1.470
2001-03-05,1.461
2001-03-12,1.476
2001-03-19,1.469
2001-03-26,1.475
2001-04-02,1.498
2001-04-09,1.525
2001-04-16,1.547
2001-04-23,1.590
2001-04-30,1.633
2001-05-07,1.684
2001-05-14,1.697
2001-05-21,1.701
2001-05-28,1.714
2001-06-04,1.717
2001-06-11,1.707
2001-06-18,1.692
2001-06-25,1.657
2001-07-02,1.621
2001-07-09,1.584
2001-07-16,1.543
2001-07-23,1.504
2001-07-30,1.470
2001-08-06,1.440
2001-08-13,1.437
2001-08-20,1.472
2001-08-27,1.533
2001-09-03,1.607
2001-09-10,1.615
2001-09-17,1.615
2001-09-24,1.598
2001-10-01,1.568
2001-10-08,1.538
2001-10-15,1.508
2001-10-22,1.461
2001-10-29,1.415
2001-11-05,1.366
2001-11-12,1.317
2001-11-19,1.277
2001-11-26,1.238
2001-12-03,1.198
2001-12-10,1.168
2001-12-17,1.140
2001-12-24,1.129
2001-12-31,1.129
2002-01-07,1.135
2002-01-14,1.162
2002-01-21,1.168
2002-01-28,1.159
2002-02-04,1.150
2002-02-11,1.145
2002-02-18,1.142
2002-02-25,1.157
2002-03-04,1.159
2002-03-11,1.211
2002-03-18,1.287
2002-03-25,1.356
2002-04-01,1.407
2002-04-08,1.423
2002-04-15,1.432
2002-04-22,1.429
2002-04-29,1.438
2002-05-06,1.432
2002-05-13,1.423
2002-05-20,1.420
2002-05-27,1.431
2002-06-03,1.426
2002-06-10,1.418
2002-06-17,1.409
2002-06-24,1.431
2002-07-01,1.444
2002-07-08,1.446
2002-07-15,1.442
2002-07-22,1.499
2002-07-29,1.507
2002-08-05,1.506
2002-08-12,1.499
2002-08-19,1.492
2002-08-26,1.494
2002-09-02,1.488
2002-09-09,1.486
2002-09-16,1.481
2002-09-23,1.477
2002-09-30,1.482
2002-10-07,1.501
2002-10-14,1.508
2002-10-21,1.507
2002-10-28,1.507
2002-11-04,1.503
2002-11-11,1.496
2002-11-18,1.483
2002-11-25,1.464
2002-12-02,1.451
2002-12-09,1.432
2002-12-16,1.413
2002-12-23,1.421
2002-12-30,1.429
2003-01-06,1.451
2003-01-13,1.453
2003-01-20,1.454
2003-01-27,1.482
2003-02-03,1.526
2003-02-10,1.600
2003-02-17,1.661
2003-02-24,1.668
2003-03-03,1.688
2003-03-10,1.709
2003-03-17,1.721
2003-03-24,1.713
2003-03-31,1.689
2003-04-07,1.670
2003-04-14,1.638
2003-04-21,1.614
2003-04-28,1.596
2003-05-05,1.574
2003-05-12,1.553
2003-05-19,1.549
2003-05-26,1.537
2003-06-02,1.524
2003-06-09,1.520
2003-06-16,1.556
2003-06-23,1.561
2003-06-30,1.560
2003-07-07,1.562
2003-07-14,1.564
2003-07-21,1.585
2003-07-28,1.615
2003-08-04,1.625
2003-08-11,1.666
2003-08-18,1.693
2003-08-25,1.754
2003-09-01,1.792
2003-09-08,1.784
2003-09-15,1.764
2003-09-22,1.723
2003-09-29,1.678
2003-10-06,1.645
2003-10-13,1.618
2003-10-20,1.615
2003-10-27,1.631
2003-11-03,1.618
2003-11-10,1.599
2003-11-17,1.586
2003-11-24,1.577
2003-12-01,1.558
2003-12-08,1.540
2003-12-15,1.526
2003-12-22,1.550
2003-12-29,1.542
2004-01-05,1.536
2004-01-12,1.567
2004-01-19,1.584
2004-01-26,1.612
2004-02-02,1.610
2004-02-09,1.616
2004-02-16,1.632
2004-02-23,1.647
2004-03-01,1.684
2004-03-08,1.752
2004-03-15,1.770
2004-03-22,1.790
2004-03-29,1.820
2004-04-05,1.832
2004-04-12,1.848
2004-04-19,1.901
2004-04-26,1.916
2004-05-03,1.935
2004-05-10,2.009
2004-05-17,2.030
2004-05-24,2.059
2004-05-31,2.057
2004-06-07,2.048
2004-06-14,2.023
2004-06-21,1.988
2004-06-28,1.966
2004-07-05,1.944
2004-07-12,1.947
2004-07-19,1.967
2004-07-26,1.960
2004-08-02,1.948
2004-08-09,1.941
2004-08-16,1.930
2004-08-23,1.940
2004-08-30,1.937
2004-09-06,1.927
2004-09-13,1.917
2004-09-20,1.917
2004-09-27,1.934
2004-10-04,1.960
2004-10-11,1.990
2004-10-18,2.034
2004-10-25,2.048
2004-11-01,2.046
2004-11-08,2.035
2004-11-15,2.011
2004-11-22,1.990
2004-11-29,1.980
2004-12-06,1.960
2004-12-13,1.920
2004-12-20,1.893
2004-12-27,1.863
2005-01-03,1.843
2005-01-10,1.819
2005-01-17,1.819
2005-01-24,1.833
2005-01-31,1.867
2005-02-07,1.891
2005-02-14,1.894
2005-02-21,1.926
2005-02-28,1.949
2005-03-07,2.022
2005-03-14,2.082
2005-03-21,2.114
2005-03-28,2.173
2005-04-04,2.203
2005-04-11,2.300
2005-04-18,2.300
2005-04-25,2.296
2005-05-02,2.308
2005-05-09,2.290
2005-05-16,2.269
2005-05-23,2.242
2005-05-30,2.208
2005-06-06,2.198
2005-06-13,2.201
2005-06-20,2.200
2005-06-27,2.226
2005-07-04,2.256
2005-07-11,2.317
2005-07-18,2.338
2005-07-25,2.328
2005-08-01,2.322
2005-08-08,2.359
2005-08-15,2.481
2005-08-22,2.585
2005-08-29,2.622
2005-09-05,3.016
2005-09-12,2.988
2005-09-19,2.915
2005-09-26,2.897
2005-10-03,2.930
2005-10-10,2.886
2005-10-17,2.826
2005-10-24,2.746
2005-10-31,2.629
2005-11-07,2.506
2005-11-14,2.387
2005-11-21,2.291
2005-11-28,2.221
2005-12-05,2.153
2005-12-12,2.144
2005-12-19,2.158
2005-12-26,2.153
2006-01-02,2.163
2006-01-09,2.240
2006-01-16,2.240
2006-01-23,2.261
2006-01-30,2.279
2006-02-06,2.287
2006-02-13,2.278
2006-02-20,2.261
2006-02-27,2.278
2006-03-06,2.317
2006-03-13,2.344
2006-03-20,2.435
2006-03-27,2.435
2006-04-03,2.460
2006-04-10,2.522
2006-04-17,2.602
2006-04-24,2.749
2006-05-01,2.834
2006-05-08,2.867
2006-05-15,2.883
2006-05-22,2.878
2006-05-29,2.875
2006-06-05,2.870
2006-06-12,2.894
2006-06-19,2.888
2006-06-26,2.875
2006-07-03,2.920
2006-07-10,2.929
2006-07-17,2.934
2006-07-24,2.948
2006-07-31,2.980
2006-08-07,3.038
2006-08-14,3.063
2006-08-21,3.053
2006-08-28,3.031
2006-09-04,2.987
2006-09-11,2.928
2006-09-18,2.839
2006-09-25,2.740
2006-10-02,2.633
2006-10-09,2.538
2006-10-16,2.461
2006-10-23,2.398
2006-10-30,2.354
2006-11-06,2.318
2006-11-13,2.298
2006-11-20,2.284
2006-11-27,2.278
2006-12-04,2.290
2006-12-11,2.290
2006-12-18,2.285
2006-12-25,2.291
2007-01-01,2.289
2007-01-08,2.277
2007-01-15,2.243
2007-01-22,2.203
2007-01-29,2.166
2007-02-05,2.167
2007-02-12,2.184
2007-02-19,2.229
2007-02-26,2.289
2007-03-05,2.396
2007-03-12,2.457
2007-03-19,2.533
2007-03-26,2.580
2007-04-02,2.660
2007-04-09,2.761
2007-04-16,2.845
2007-04-23,2.889
2007-04-30,3.003
2007-05-07,3.138
2007-05-14,3.239
2007-05-21,3.312
2007-05-28,3.324
2007-06-04,3.308
2007-06-11,3.273
2007-06-18,3.229
2007-06-25,3.186
2007-07-02,3.144
2007-07-09,3.111
2007-07-16,3.137
2007-07-23,3.082
2007-07-30,3.028
2007-08-06,2.989
2007-08-13,2.924
2007-08-20,2.885
2007-08-27,2.850
2007-09-03,2.865
2007-09-10,2.880
2007-09-17,2.870
2007-09-24,2.860
2007-10-01,2.854
2007-10-08,2.845
2007-10-15,2.840
2007-10-22,2.891
2007-10-29,2.920
2007-11-05,3.018
2007-11-12,3.108
2007-11-19,3.113
2007-11-26,3.108
2007-12-03,3.100
2007-12-10,3.056
2007-12-17,3.015
2007-12-24,2.976
2007-12-31,2.970
2008-01-07,2.999
2008-01-14,2.997
2008-01-21,2.976
2008-01-28,2.964
2008-02-04,2.989
2008-02-11,2.983
2008-02-18,3.005
2008-02-25,3.096
2008-03-03,3.133
2008-03-10,3.154
2008-03-17,3.225
2008-03-24,3.245
2008-03-31,3.278
2008-04-07,3.312
2008-04-14,3.369
2008-04-21,3.461
2008-04-28,3.523
2008-05-05,3.540
2008-05-12,3.655
2008-05-19,3.733
2008-05-26,3.899
2008-06-02,3.939
2008-06-09,3.988
2008-06-16,4.043
2008-06-23,4.051
2008-06-30,4.082
2008-07-07,4.114
2008-07-14,4.147
2008-07-21,4.155
2008-07-28,4.111
2008-08-04,4.059
2008-08-11,4.005
2008-08-18,3.939
2008-08-25,3.884
2008-09-01,3.861
2008-09-08,3.815
2008-09-15,3.802
2008-09-22,3.699
2008-09-29,3.647
2008-10-06,3.545
2008-10-13,3.320
2008-10-20,3.091
2008-10-27,2.813
2008-11-03,2.532
2008-11-10,2.305
2008-11-17,2.080
2008-11-24,1.893
2008-12-01,1.784
2008-12-08,1.668
2008-12-15,1.603
2008-12-22,1.568
2008-12-29,1.550
2009-01-05,1.540
2009-01-12,1.610
2009-01-19,1.653
2009-01-26,1.689
2009-02-02,1.756
2009-02-09,1.822
2009-02-16,1.862
2009-02-23,1.843
2009-03-02,1.834
2009-03-09,1.856
2009-03-16,1.861
2009-03-23,1.908
2009-03-30,1.979
2009-04-06,2.008
2009-04-13,2.052
