DATE,VALUE
1994-11-28,1.175
1994-12-05,1.143
1994-12-12,1.118
1994-12-19,1.099
1994-12-26,1.088
1995-01-02,1.104
1995-01-09,1.111
1995-01-16,1.102
1995-01-23,1.110
1995-01-30,1.109
1995-02-06,1.103
1995-02-13,1.099
1995-02-20,1.093
1995-02-27,1.101
1995-03-06,1.103
1995-03-13,1.096
1995-03-20,1.095
1995-03-27,1.102
1995-04-03,1.116
1995-04-10,1.134
1995-04-17,1.149
1995-04-24,1.173
1995-05-01,1.181
1995-05-08,1.204
1995-05-15,1.213
1995-05-22,1.232
1995-05-29,1.234
1995-06-05,1.234
1995-06-12,1.230
1995-06-19,1.224
1995-06-26,1.217
1995-07-03,1.209
1995-07-10,1.200
1995-07-17,1.189
1995-07-24,1.179
1995-07-31,1.166
1995-08-07,1.164
1995-08-14,1.162
1995-08-21,1.163
1995-08-28,1.154
1995-09-04,1.151
1995-09-11,1.148
1995-09-18,1.147
1995-09-25,1.146
1995-10-02,1.140
1995-10-09,1.132
1995-10-16,1.121
1995-10-23,1.113
1995-10-30,1.102
1995-11-06,1.100
1995-11-13,1.099
1995-11-20,1.095
1995-11-27,1.096
1995-12-04,1.097
1995-12-11,1.097
1995-12-18,1.111
1995-12-25,1.114
1996-01-01,1.116
1996-01-08,1.125
1996-01-15,1.131
1996-01-22,1.124
1996-01-29,1.118
1996-02-05,1.115
1996-02-12,1.112
1996-02-19,1.118
1996-02-26,1.138
1996-03-04,1.155
1996-03-11,1.156
1996-03-18,1.167
1996-03-25,1.196
1996-04-01,1.210
1996-04-08,1.233
1996-04-15,1.272
1996-04-22,1.282
1996-04-29,1.296
1996-05-06,1.298
1996-05-13,1.301
1996-05-20,1.308
1996-05-27,1.299
1996-06-03,1.292
1996-06-10,1.286
1996-06-17,1.280
1996-06-24,1.268
1996-07-01,1.258
1996-07-08,1.256
1996-07-15,1.254
1996-07-22,1.254
1996-07-29,1.247
1996-08-05,1.239
1996-08-12,1.235
1996-08-19,1.238
1996-08-26,1.240
1996-09-02,1.232
1996-09-09,1.239
1996-09-16,1.241
1996-09-23,1.241
1996-09-30,1.237
1996-10-07,1.230
1996-10-14,1.241
1996-10-21,1.244
1996-10-28,1.256
1996-11-04,1.264
1996-11-11,1.268
1996-11-18,1.277
1996-11-25,1.284
1996-12-02,1.281
1996-12-09,1.280
1996-12-16,1.272
1996-12-23,1.267
1996-12-30,1.263
1997-01-06,1.260
1997-01-13,1.275
1997-01-20,1.275
1997-01-27,1.271
1997-02-03,1.270
1997-02-10,1.266
1997-02-17,1.260
1997-02-24,1.257
1997-03-03,1.248
