DATE,VALUE
1995-01-01,1.276
1995-02-01,1.257
1995-03-01,1.251
1995-04-01,1.267
1995-05-01,1.309
1995-06-01,1.321
1995-07-01,1.323
1995-08-01,1.318
1995-09-01,1.314
1995-10-01,1.304
1995-11-01,1.297
1995-12-01,1.287
1996-01-01,1.280
1996-02-01,1.268
1996-03-01,1.296
1996-04-01,1.402
1996-05-01,1.515
1996-06-01,1.504
1996-07-01,1.480
1996-08-01,1.463
1996-09-01,1.438
1996-10-01,1.423
1996-11-01,1.374
1996-12-01,1.327
1997-01-01,1.337
1997-02-01,1.366
1997-03-01,1.374
1997-04-01,1.388
1997-05-01,1.377
1997-06-01,1.348
1997-07-01,1.322
1997-08-01,1.353
1997-09-01,1.424
1997-10-01,1.424
1997-11-01,1.400
1997-12-01,1.355
1998-01-01,1.311
1998-02-01,1.246
1998-03-01,1.169
1998-04-01,1.171
1998-05-01,1.208
1998-06-01,1.201
1998-07-01,1.193
1998-08-01,1.181
1998-09-01,1.170
1998-10-01,1.165
1998-11-01,1.154
1998-12-01,1.132
1999-01-01,1.112
1999-02-01,1.082
1999-03-01,1.157
1999-04-01,1.427
1999-05-01,1.384
1999-06-01,1.350
1999-07-01,1.397
1999-08-01,1.453
1999-09-01,1.433
1999-10-01,1.405
1999-11-01,1.386
1999-12-01,1.397
2000-01-01,1.396
2000-02-01,1.451
2000-03-01,1.651
2000-04-01,1.685
2000-05-01,1.621
2000-06-01,1.602
2000-07-01,1.666
2000-08-01,1.669
2000-09-01,1.742
2000-10-01,1.746
2000-11-01,1.716
2000-12-01,1.658
2001-01-01,1.576
2001-02-01,1.573
2001-03-01,1.592
2001-04-01,1.597
2001-05-01,1.642
2001-06-01,1.659
2001-07-01,1.581
2001-08-01,1.520
2001-09-01,1.671
2001-10-01,1.587
2001-11-01,1.439
2001-12-01,1.264
2002-01-01,1.233
2002-02-01,1.227
2002-03-01,1.305
2002-04-01,1.453
2002-05-01,1.462
2002-06-01,1.482
2002-07-01,1.499
2002-08-01,1.492
2002-09-01,1.472
2002-10-01,1.439
2002-11-01,1.442
2002-12-01,1.414
2003-01-01,1.447
2003-02-01,1.650
