DATE,VALUE
1993-04-01,1.050
1993-05-01,1.071
1993-06-01,1.075
1993-07-01,1.064
1993-08-01,1.048
1993-09-01,1.031
1993-10-01,1.064
1993-11-01,1.048
1993-12-01,1.011
1994-01-01,0.987
1994-02-01,0.995
1994-03-01,0.994
1994-04-01,1.005
1994-05-01,1.021
1994-06-01,1.048
1994-07-01,1.073
1994-08-01,1.116
1994-09-01,1.118
1994-10-01,1.103
1994-11-01,1.122
1994-12-01,1.159
1995-01-01,1.152
1995-02-01,1.140
1995-03-01,1.132
1995-04-01,1.156
1995-05-01,1.234
1995-06-01,1.261
1995-07-01,1.236
1995-08-01,1.204
1995-09-01,1.183
1995-10-01,1.157
1995-11-01,1.123
1995-12-01,1.121
1996-01-01,1.140
1996-02-01,1.138
1996-03-01,1.171
1996-04-01,1.263
1996-05-01,1.315
1996-06-01,1.296
1996-07-01,1.268
1996-08-01,1.248
1996-09-01,1.240
1996-10-01,1.247
1996-11-01,1.281
1996-12-01,1.303
1997-01-01,1.305
1997-02-01,1.297
1997-03-01,1.270
1997-04-01,1.249
1997-05-01,1.237
1997-06-01,1.233
1997-07-01,1.215
1997-08-01,1.261
1997-09-01,1.282
1997-10-01,1.250
1997-11-01,1.221
1997-12-01,1.185
1998-01-01,1.147
1998-02-01,1.106
1998-03-01,1.069
1998-04-01,1.074
1998-05-01,1.078
1998-06-01,1.072
1998-07-01,1.063
1998-08-01,1.043
1998-09-01,1.026
1998-10-01,1.041
1998-11-01,1.029
1998-12-01,0.986
1999-01-01,0.971
1999-02-01,0.952
1999-03-01,0.983
1999-04-01,1.098
1999-05-01,1.123
1999-06-01,1.116
1999-07-01,1.157
1999-08-01,1.219
1999-09-01,1.265
1999-10-01,1.285
1999-11-01,1.288
1999-12-01,1.316
2000-01-01,1.327
2000-02-01,1.398
2000-03-01,1.543
2000-04-01,1.499
2000-05-01,1.502
2000-06-01,1.595
2000-07-01,1.604
2000-08-01,1.526
2000-09-01,1.557
2000-10-01,1.543
2000-11-01,1.531
2000-12-01,1.479
2001-01-01,1.471
2001-02-01,1.482
2001-03-01,1.435
2001-04-01,1.547
2001-05-01,1.666
2001-06-01,1.635
2001-07-01,1.481
2001-08-01,1.423
2001-09-01,1.457
2001-10-01,1.327
2001-11-01,1.185
2001-12-01,1.112
2002-01-01,1.146
2002-02-01,1.143
2002-03-01,1.250
2002-04-01,1.420
2002-05-01,1.421
2002-06-01,1.399
2002-07-01,1.403
2002-08-01,1.421
2002-09-01,1.426
2002-10-01,1.472
2002-11-01,1.465
2002-12-01,1.449
2003-01-01,1.511
2003-02-01,1.641
2003-03-01,1.684
2003-04-01,1.599
2003-05-01,1.510
2003-06-01,1.499
2003-07-01,1.535
2003-08-01,1.626
2003-09-01,1.711
2003-10-01,1.616
2003-11-01,1.562
2003-12-01,1.540
2004-01-01,1.629
2004-02-01,1.690
2004-03-01,1.756
2004-04-01,1.800
2004-05-01,1.996
2004-06-01,2.031
