DATE,VALUE
1993-04-01,1.074
1993-05-01,1.092
1993-06-01,1.092
1993-07-01,1.082
1993-08-01,1.066
1993-09-01,1.052
1993-10-01,1.080
1993-11-01,1.053
1993-12-01,1.010
1994-01-01,0.984
1994-02-01,0.986
1994-03-01,0.983
1994-04-01,1.011
1994-05-01,1.025
1994-06-01,1.051
1994-07-01,1.076
1994-08-01,1.124
1994-09-01,1.124
1994-10-01,1.101
1994-11-01,1.108
1994-12-01,1.147
1995-01-01,1.143
1995-02-01,1.133
1995-03-01,1.126
1995-04-01,1.160
1995-05-01,1.232
1995-06-01,1.248
1995-07-01,1.214
1995-08-01,1.171
1995-09-01,1.148
1995-10-01,1.122
1995-11-01,1.095
1995-12-01,1.100
1996-01-01,1.124
1996-02-01,1.124
1996-03-01,1.172
1996-04-01,1.269
1996-05-01,1.303
1996-06-01,1.281
1996-07-01,1.247
1996-08-01,1.229
1996-09-01,1.223
1996-10-01,1.227
1996-11-01,1.257
1996-12-01,1.268
1997-01-01,1.263
1997-02-01,1.262
1997-03-01,1.239
1997-04-01,1.226
1997-05-01,1.213
1997-06-01,1.212
1997-07-01,1.194
1997-08-01,1.227
1997-09-01,1.234
1997-10-01,1.209
1997-11-01,1.182
1997-12-01,1.155
1998-01-01,1.123
1998-02-01,1.084
1998-03-01,1.054
1998-04-01,1.057
1998-05-01,1.052
1998-06-01,1.042
1998-07-01,1.034
1998-08-01,1.012
1998-09-01,0.991
1998-10-01,1.010
1998-11-01,0.989
1998-12-01,0.948
1999-01-01,0.941
1999-02-01,0.932
1999-03-01,0.966
1999-04-01,1.083
1999-05-01,1.099
1999-06-01,1.095
1999-07-01,1.129
1999-08-01,1.189
1999-09-01,1.232
1999-10-01,1.248
1999-11-01,1.247
1999-12-01,1.273
2000-01-01,1.280
2000-02-01,1.362
2000-03-01,1.510
2000-04-01,1.467
2000-05-01,1.469
2000-06-01,1.540
2000-07-01,1.550
2000-08-01,1.466
2000-09-01,1.499
2000-10-01,1.481
2000-11-01,1.463
2000-12-01,1.403
2001-01-01,1.417
2001-02-01,1.436
2001-03-01,1.387
2001-04-01,1.522
2001-05-01,1.622
2001-06-01,1.551
2001-07-01,1.352
2001-08-01,1.338
2001-09-01,1.424
2001-10-01,1.275
2001-11-01,1.126
2001-12-01,1.062
2002-01-01,1.095
2002-02-01,1.094
2002-03-01,1.225
2002-04-01,1.375
2002-05-01,1.368
2002-06-01,1.346
2002-07-01,1.345
2002-08-01,1.353
2002-09-01,1.365
2002-10-01,1.430
2002-11-01,1.406
2002-12-01,1.378
2003-01-01,1.449
2003-02-01,1.591
2003-03-01,1.630
2003-04-01,1.523
2003-05-01,1.424
2003-06-01,1.427
2003-07-01,1.470
2003-08-01,1.555
2003-09-01,1.572
2003-10-01,1.466
2003-11-01,1.439
2003-12-01,1.437
2004-01-01,1.541
2004-02-01,1.596
2004-03-01,1.656
2004-04-01,1.724
2004-05-01,1.898
2004-06-01,1.900
2004-07-01,1.844
2004-08-01,1.828
2004-09-01,1.811
2004-10-01,1.929
2004-11-01,1.916
2004-12-01,1.790
2005-01-01,1.791
2005-02-01,1.861
2005-03-01,2.034
2005-04-01,2.198
2005-05-01,2.104
2005-06-01,2.108
2005-07-01,2.237
2005-08-01,2.448
2005-09-01,2.818
2005-10-01,2.752
2005-11-01,2.253
2005-12-01,2.177
2006-01-01,2.300
2006-02-01,2.242
2006-03-01,2.411
2006-04-01,2.775
2006-05-01,2.847
2006-06-01,2.819
2006-07-01,2.910
2006-08-01,2.889
2006-09-01,2.492
2006-10-01,2.171
2006-11-01,2.150
2006-12-01,2.242
2007-01-01,2.156
2007-02-01,2.170
2007-03-01,2.450
2007-04-01,2.769
2007-05-01,3.034
2007-06-01,2.989
2007-07-01,2.906
2007-08-01,2.740
2007-09-01,2.734
2007-10-01,2.741
2007-11-01,3.004
2007-12-01,2.935
2008-01-01,2.981
2008-02-01,2.982
2008-03-01,3.205
2008-04-01,3.415
2008-05-01,3.713
2008-06-01,3.962
2008-07-01,3.987
2008-08-01,3.697
2008-09-01,3.687
2008-10-01,2.961
2008-11-01,2.078
