DATE,VALUE
1993-04-05,1.064
1993-04-12,1.071
1993-04-19,1.081
1993-04-26,1.081
1993-05-03,1.084
1993-05-10,1.088
1993-05-17,1.097
1993-05-24,1.096
1993-05-31,1.096
1993-06-07,1.095
1993-06-14,1.094
1993-06-21,1.090
1993-06-28,1.087
1993-07-05,1.089
1993-07-12,1.083
1993-07-19,1.080
1993-07-26,1.075
1993-08-02,1.070
1993-08-09,1.067
1993-08-16,1.064
1993-08-23,1.067
1993-08-30,1.062
1993-09-06,1.060
1993-09-13,1.054
1993-09-20,1.050
1993-09-27,1.042
1993-10-04,1.086
1993-10-11,1.081
1993-10-18,1.078
1993-10-25,1.073
1993-11-01,1.069
1993-11-08,1.062
1993-11-15,1.052
1993-11-22,1.044
1993-11-29,1.040
1993-12-06,1.030
1993-12-13,1.014
1993-12-20,1.001
1993-12-27,0.993
1994-01-03,0.989
1994-01-10,0.984
1994-01-17,0.982
1994-01-24,0.981
1994-01-31,0.983
1994-02-07,0.986
1994-02-14,0.992
1994-02-21,0.985
1994-02-28,0.981
1994-03-07,0.978
1994-03-14,0.976
1994-03-21,0.981
1994-03-28,0.995
1994-04-04,0.999
1994-04-11,1.010
1994-04-18,1.015
1994-04-25,1.021
1994-05-02,1.024
1994-05-09,1.024
1994-05-16,1.025
1994-05-23,1.023
1994-05-30,1.028
1994-06-06,1.037
1994-06-13,1.049
1994-06-20,1.051
1994-06-27,1.067
1994-07-04,1.072
1994-07-11,1.072
1994-07-18,1.079
1994-07-25,1.081
1994-08-01,1.096
1994-08-08,1.126
1994-08-15,1.132
1994-08-22,1.134
1994-08-29,1.134
1994-09-05,1.131
1994-09-12,1.129
1994-09-19,1.123
1994-09-26,1.114
1994-10-03,1.109
1994-10-10,1.103
1994-10-17,1.096
1994-10-24,1.093
1994-10-31,1.105
1994-11-07,1.111
1994-11-14,1.105
1994-11-21,1.100
1994-11-28,1.116
1994-12-05,1.135
1994-12-12,1.147
1994-12-19,1.159
1994-12-26,1.146
1995-01-02,1.146
1995-01-09,1.146
1995-01-16,1.143
1995-01-23,1.138
1995-01-30,1.142
1995-02-06,1.139
1995-02-13,1.133
1995-02-20,1.129
1995-02-27,1.132
1995-03-06,1.133
1995-03-13,1.129
1995-03-20,1.120
1995-03-27,1.121
1995-04-03,1.132
1995-04-10,1.149
1995-04-17,1.168
1995-04-24,1.192
1995-05-01,1.208
1995-05-08,1.221
1995-05-15,1.231
1995-05-22,1.247
1995-05-29,1.254
1995-06-05,1.253
1995-06-12,1.249
1995-06-19,1.246
1995-06-26,1.243
1995-07-03,1.235
1995-07-10,1.227
1995-07-17,1.214
1995-07-24,1.202
1995-07-31,1.190
1995-08-07,1.179
1995-08-14,1.174
1995-08-21,1.168
1995-08-28,1.162
1995-09-04,1.154
1995-09-11,1.149
1995-09-18,1.145
1995-09-25,1.143
1995-10-02,1.132
1995-10-09,1.131
1995-10-16,1.124
1995-10-23,1.117
1995-10-30,1.108
1995-11-06,1.099
1995-11-13,1.096
1995-11-20,1.092
1995-11-27,1.092
1995-12-04,1.093
1995-12-11,1.099
1995-12-18,1.100
