DATE,VALUE
1993-04-01,1.078
1993-05-01,1.100
1993-06-01,1.097
1993-07-01,1.078
1993-08-01,1.062
1993-09-01,1.050
1993-10-01,1.092
1993-11-01,1.066
1993-12-01,1.014
1994-01-01,0.998
1994-02-01,1.009
1994-03-01,1.008
1994-04-01,1.027
1994-05-01,1.047
1994-06-01,1.078
1994-07-01,1.106
1994-08-01,1.155
1994-09-01,1.144
1994-10-01,1.114
1994-11-01,1.119
1994-12-01,1.129
1995-01-01,1.130
1995-02-01,1.120
1995-03-01,1.119
1995-04-01,1.157
1995-05-01,1.225
1995-06-01,1.239
1995-07-01,1.201
1995-08-01,1.170
1995-09-01,1.158
1995-10-01,1.134
1995-11-01,1.109
1995-12-01,1.118
1996-01-01,1.137
1996-02-01,1.136
1996-03-01,1.183
1996-04-01,1.275
1996-05-01,1.324
1996-06-01,1.300
1996-07-01,1.272
1996-08-01,1.251
1996-09-01,1.247
1996-10-01,1.249
1996-11-01,1.278
1996-12-01,1.282
1997-01-01,1.283
1997-02-01,1.276
1997-03-01,1.251
1997-04-01,1.244
1997-05-01,1.245
1997-06-01,1.242
1997-07-01,1.220
1997-08-01,1.268
1997-09-01,1.276
1997-10-01,1.242
1997-11-01,1.216
1997-12-01,1.177
1998-01-01,1.132
1998-02-01,1.096
1998-03-01,1.064
1998-04-01,1.077
1998-05-01,1.105
1998-06-01,1.103
1998-07-01,1.094
1998-08-01,1.065
1998-09-01,1.049
1998-10-01,1.059
1998-11-01,1.036
1998-12-01,0.987
1999-01-01,0.980
1999-02-01,0.962
1999-03-01,1.022
1999-04-01,1.171
1999-05-01,1.171
1999-06-01,1.154
1999-07-01,1.197
1999-08-01,1.260
1999-09-01,1.295
1999-10-01,1.285
1999-11-01,1.292
1999-12-01,1.313
2000-01-01,1.329
2000-02-01,1.415
2000-03-01,1.556
2000-04-01,1.506
2000-05-01,1.526
2000-06-01,1.666
2000-07-01,1.591
2000-08-01,1.506
2000-09-01,1.588
2000-10-01,1.571
2000-11-01,1.557
2000-12-01,1.483
2001-01-01,1.487
2001-02-01,1.490
2001-03-01,1.450
2001-04-01,1.591
2001-05-01,1.738
2001-06-01,1.658
2001-07-01,1.466
2001-08-01,1.461
2001-09-01,1.557
2001-10-01,1.357
2001-11-01,1.212
2001-12-01,1.127
2002-01-01,1.148
2002-02-01,1.155
2002-03-01,1.289
2002-04-01,1.439
2002-05-01,1.434
2002-06-01,1.424
2002-07-01,1.438
2002-08-01,1.438
2002-09-01,1.441
2002-10-01,1.486
2002-11-01,1.461
2002-12-01,1.429
2003-01-01,1.500
2003-02-01,1.655
2003-03-01,1.734
2003-04-01,1.633
2003-05-01,1.539
2003-06-01,1.533
2003-07-01,1.554
2003-08-01,1.661
2003-09-01,1.721
2003-10-01,1.606
2003-11-01,1.555
2003-12-01,1.522
2004-01-01,1.614
2004-02-01,1.690
2004-03-01,1.778
2004-04-01,1.839
2004-05-01,2.023
2004-06-01,2.013
2004-07-01,1.954
2004-08-01,1.920
2004-09-01,1.912
2004-10-01,2.042
2004-11-01,2.023
2004-12-01,1.887
2005-01-01,1.875
2005-02-01,1.953
2005-03-01,2.120
2005-04-01,2.285
2005-05-01,2.205
2005-06-01,2.198
2005-07-01,2.333
2005-08-01,2.529
2005-09-01,2.951
2005-10-01,2.765
2005-11-01,2.303
2005-12-01,2.229
2006-01-01,2.360
2006-02-01,2.326
2006-03-01,2.468
2006-04-01,2.787
2006-05-01,2.953
2006-06-01,2.930
2006-07-01,3.025
2006-08-01,2.999
2006-09-01,2.606
2006-10-01,2.293
2006-11-01,2.275
2006-12-01,2.359
2007-01-01,2.289
2007-02-01,2.323
2007-03-01,2.609
2007-04-01,2.891
2007-05-01,3.187
2007-06-01,3.102
2007-07-01,3.011
2007-08-01,2.834
2007-09-01,2.849
2007-10-01,2.853
2007-11-01,3.128
2007-12-01,3.070
2008-01-01,3.095
2008-02-01,3.078
2008-03-01,3.293
2008-04-01,3.507
2008-05-01,3.815
2008-06-01,4.105
2008-07-01,4.114
2008-08-01,3.833
2008-09-01,3.756
2008-10-01,3.112
2008-11-01,2.208
2008-12-01,1.745
2009-01-01,1.840
2009-02-01,1.975
2009-03-01,2.011
2009-04-01,2.102
2009-05-01,2.316
2009-06-01,2.681
2009-07-01,2.582
2009-08-01,2.670
2009-09-01,2.609
2009-10-01,2.605
2009-11-01,2.706
2009-12-01,2.663
2010-01-01,2.769
2010-02-01,2.699
2010-03-01,2.824
2010-04-01,2.900
2010-05-01,2.890
2010-06-01,2.785
2010-07-01,2.782
2010-08-01,2.783
2010-09-01,2.757
2010-10-01,2.853
2010-11-01,2.913
2010-12-01,3.048
2011-01-01,3.148
2011-02-01,3.264
2011-03-01,3.615
2011-04-01,3.852
2011-05-01,3.960
2011-06-01,3.735
2011-07-01,3.705
2011-08-01,3.696
2011-09-01,3.667
2011-10-01,3.506
2011-11-01,3.443
2011-12-01,3.326
2012-01-01,3.440
2012-02-01,3.640
2012-03-01,3.907
2012-04-01,3.958
2012-05-01,3.791
2012-06-01,3.596
2012-07-01,3.498
2012-08-01,3.780
2012-09-01,3.910
2012-10-01,3.812
2012-11-01,3.521
2012-12-01,3.381
2013-01-01,3.391
2013-02-01,3.736
2013-03-01,3.779
2013-04-01,3.638
2013-05-01,3.675
2013-06-01,3.689
2013-07-01,3.661
2013-08-01,3.645
2013-09-01,3.604
2013-10-01,3.420
2013-11-01,3.322
2013-12-01,3.357
2014-01-01,3.392
2014-02-01,3.434
2014-03-01,3.606
2014-04-01,3.735
2014-05-01,3.750
2014-06-01,3.766
2014-07-01,3.688
2014-08-01,3.565
2014-09-01,3.484
2014-10-01,3.255
2014-11-01,2.997
2014-12-01,2.632
2015-01-01,2.208
2015-02-01,2.301
2015-03-01,2.546
2015-04-01,2.555
2015-05-01,2.802
2015-06-01,2.885
2015-07-01,2.880
2015-08-01,2.726
2015-09-01,2.462
2015-10-01,2.387
2015-11-01,2.260
2015-12-01,2.144
2016-01-01,2.057
2016-02-01,1.872
2016-03-01,2.071
2016-04-01,2.216
2016-05-01,2.371
2016-06-01,2.467
2016-07-01,2.345
2016-08-01,2.284
2016-09-01,2.327
2016-10-01,2.359
