DATE,VALUE
1993-04-01,1.071
1993-05-01,1.095
1993-06-01,1.083
1993-07-01,1.050
1993-08-01,1.032
1993-09-01,1.019
1993-10-01,1.070
1993-11-01,1.038
1993-12-01,0.965
1994-01-01,0.966
1994-02-01,0.987
1994-03-01,0.986
1994-04-01,1.016
1994-05-01,1.039
1994-06-01,1.075
1994-07-01,1.106
1994-08-01,1.166
1994-09-01,1.135
1994-10-01,1.084
1994-11-01,1.079
1994-12-01,1.052
1995-01-01,1.061
1995-02-01,1.059
1995-03-01,1.067
1995-04-01,1.131
1995-05-01,1.197
1995-06-01,1.202
1995-07-01,1.143
1995-08-01,1.116
1995-09-01,1.112
1995-10-01,1.078
1995-11-01,1.058
1995-12-01,1.085
1996-01-01,1.110
1996-02-01,1.108
1996-03-01,1.170
1996-04-01,1.247
1996-05-01,1.273
1996-06-01,1.244
1996-07-01,1.223
1996-08-01,1.205
1996-09-01,1.218
1996-10-01,1.228
1996-11-01,1.280
1996-12-01,1.273
1997-01-01,1.265
1997-02-01,1.243
1997-03-01,1.200
1997-04-01,1.191
1997-05-01,1.217
1997-06-01,1.225
1997-07-01,1.199
1997-08-01,1.258
1997-09-01,1.232
1997-10-01,1.180
1997-11-01,1.159
1997-12-01,1.111
1998-01-01,1.058
1998-02-01,1.048
1998-03-01,1.041
1998-04-01,1.060
1998-05-01,1.101
1998-06-01,1.098
1998-07-01,1.094
1998-08-01,1.049
1998-09-01,1.034
1998-10-01,1.041
1998-11-01,1.001
1998-12-01,0.934
1999-01-01,0.942
1999-02-01,0.919
1999-03-01,1.002
1999-04-01,1.125
1999-05-01,1.127
1999-06-01,1.124
1999-07-01,1.167
1999-08-01,1.220
1999-09-01,1.277
1999-10-01,1.240
1999-11-01,1.269
1999-12-01,1.287
2000-01-01,1.323
2000-02-01,1.437
2000-03-01,1.523
2000-04-01,1.433
2000-05-01,1.522
2000-06-01,1.807
2000-07-01,1.543
2000-08-01,1.421
2000-09-01,1.566
2000-10-01,1.536
2000-11-01,1.531
2000-12-01,1.433
2001-01-01,1.486
2001-02-01,1.467
2001-03-01,1.404
2001-04-01,1.611
2001-05-01,1.818
2001-06-01,1.619
2001-07-01,1.340
2001-08-01,1.502
2001-09-01,1.661
2001-10-01,1.281
2001-11-01,1.160
2001-12-01,1.119
2002-01-01,1.129
2002-02-01,1.126
2002-03-01,1.289
2002-04-01,1.412
2002-05-01,1.410
2002-06-01,1.402
2002-07-01,1.432
2002-08-01,1.409
2002-09-01,1.418
2002-10-01,1.506
2002-11-01,1.423
2002-12-01,1.377
2003-01-01,1.470
2003-02-01,1.635
2003-03-01,1.662
2003-04-01,1.516
2003-05-01,1.470
2003-06-01,1.500
2003-07-01,1.509
2003-08-01,1.634
2003-09-01,1.640
2003-10-01,1.554
2003-11-01,1.508
2003-12-01,1.463
2004-01-01,1.590
2004-02-01,1.648
2004-03-01,1.709
2004-04-01,1.783
2004-05-01,1.984
2004-06-01,1.901
2004-07-01,1.881
2004-08-01,1.873
2004-09-01,1.867
2004-10-01,1.979
2004-11-01,1.938
2004-12-01,1.778
2005-01-01,1.841
2005-02-01,1.918
2005-03-01,2.109
2005-04-01,2.219
2005-05-01,2.096
2005-06-01,2.142
2005-07-01,2.273
2005-08-01,2.487
2005-09-01,2.862
2005-10-01,2.638
2005-11-01,2.168
2005-12-01,2.207
2006-01-01,2.321
2006-02-01,2.253
2006-03-01,2.465
2006-04-01,2.744
2006-05-01,2.828
2006-06-01,2.841
2006-07-01,2.999
2006-08-01,2.941
2006-09-01,2.425
2006-10-01,2.190
2006-11-01,2.236
2006-12-01,2.288
2007-01-01,2.157
2007-02-01,2.287
2007-03-01,2.519
2007-04-01,2.804
2007-05-01,3.252
2007-06-01,3.094
2007-07-01,3.028
2007-08-01,2.857
2007-09-01,2.948
2007-10-01,2.818
2007-11-01,3.105
2007-12-01,2.990
2008-01-01,3.031
2008-02-01,3.040
2008-03-01,3.225
2008-04-01,3.456
2008-05-01,3.799
2008-06-01,4.025
2008-07-01,4.016
2008-08-01,3.758
2008-09-01,3.759
2008-10-01,2.950
2008-11-01,2.030
2008-12-01,1.665
2009-01-01,1.846
2009-02-01,1.896
2009-03-01,1.961
2009-04-01,2.031
2009-05-01,2.304
2009-06-01,2.677
2009-07-01,2.484
2009-08-01,2.578
2009-09-01,2.471
2009-10-01,2.533
2009-11-01,2.630
2009-12-01,2.576
2010-01-01,2.702
2010-02-01,2.597
2010-03-01,2.762
2010-04-01,2.858
2010-05-01,2.812
