DATE,VALUE
1993-04-05,1.061
1993-04-12,1.077
1993-04-19,1.067
1993-04-26,1.078
1993-05-03,1.073
1993-05-10,1.091
1993-05-17,1.107
1993-05-24,1.103
1993-05-31,1.102
1993-06-07,1.095
1993-06-14,1.092
1993-06-21,1.077
1993-06-28,1.068
1993-07-05,1.063
1993-07-12,1.054
1993-07-19,1.045
1993-07-26,1.036
1993-08-02,1.028
1993-08-09,1.026
1993-08-16,1.025
1993-08-23,1.043
1993-08-30,1.040
1993-09-06,1.029
1993-09-13,1.020
1993-09-20,1.009
1993-09-27,1.016
1993-10-04,1.063
1993-10-11,1.065
1993-10-18,1.078
1993-10-25,1.074
1993-11-01,1.062
1993-11-08,1.051
1993-11-15,1.034
1993-11-22,1.026
1993-11-29,1.017
1993-12-06,0.994
1993-12-13,0.969
1993-12-20,0.948
1993-12-27,0.949
1994-01-03,0.939
1994-01-10,0.956
1994-01-17,0.974
1994-01-24,0.972
1994-01-31,0.989
1994-02-07,0.989
1994-02-14,1.001
1994-02-21,0.984
1994-02-28,0.975
1994-03-07,0.988
1994-03-14,0.981
1994-03-21,0.984
1994-03-28,0.992
1994-04-04,0.989
1994-04-11,1.019
1994-04-18,1.025
1994-04-25,1.029
1994-05-02,1.029
1994-05-09,1.036
1994-05-16,1.034
1994-05-23,1.045
1994-05-30,1.053
1994-06-06,1.059
1994-06-13,1.067
1994-06-20,1.075
1994-06-27,1.097
1994-07-04,1.095
1994-07-11,1.099
1994-07-18,1.109
1994-07-25,1.119
1994-08-01,1.140
1994-08-08,1.175
1994-08-15,1.172
1994-08-22,1.179
1994-08-29,1.164
1994-09-05,1.158
1994-09-12,1.145
1994-09-19,1.128
1994-09-26,1.110
1994-10-03,1.092
1994-10-10,1.087
1994-10-17,1.073
1994-10-24,1.072
1994-10-31,1.094
1994-11-07,1.092
1994-11-14,1.087
1994-11-21,1.072
1994-11-28,1.064
1994-12-05,1.061
1994-12-12,1.054
1994-12-19,1.053
1994-12-26,1.041
1995-01-02,1.045
1995-01-09,1.066
1995-01-16,1.051
1995-01-23,1.071
1995-01-30,1.072
1995-02-06,1.062
1995-02-13,1.058
1995-02-20,1.049
1995-02-27,1.068
1995-03-06,1.068
1995-03-13,1.057
1995-03-20,1.064
1995-03-27,1.080
1995-04-03,1.104
1995-04-10,1.122
1995-04-17,1.137
1995-04-24,1.160
1995-05-01,1.158
1995-05-08,1.191
1995-05-15,1.197
1995-05-22,1.224
1995-05-29,1.217
1995-06-05,1.217
1995-06-12,1.210
1995-06-19,1.197
1995-06-26,1.185
1995-07-03,1.174
1995-07-10,1.157
1995-07-17,1.142
1995-07-24,1.129
1995-07-31,1.114
1995-08-07,1.116
1995-08-14,1.117
1995-08-21,1.122
1995-08-28,1.110
1995-09-04,1.112
1995-09-11,1.109
1995-09-18,1.112
1995-09-25,1.114
1995-10-02,1.106
1995-10-09,1.092
1995-10-16,1.076
1995-10-23,1.066
1995-10-30,1.049
1995-11-06,1.056
1995-11-13,1.059
1995-11-20,1.056
1995-11-27,1.061
1995-12-04,1.068
1995-12-11,1.066
1995-12-18,1.103
1995-12-25,1.103
1996-01-01,1.104
1996-01-08,1.124
1996-01-15,1.122
1996-01-22,1.107
1996-01-29,1.094
1996-02-05,1.094
1996-02-12,1.092
1996-02-19,1.103
1996-02-26,1.144
1996-03-04,1.160
1996-03-11,1.151
1996-03-18,1.167
1996-03-25,1.202
1996-04-01,1.209
1996-04-08,1.232
1996-04-15,1.268
1996-04-22,1.258
1996-04-29,1.270
1996-05-06,1.260
1996-05-13,1.266
1996-05-20,1.284
1996-05-27,1.267
1996-06-03,1.256
1996-06-10,1.251
1996-06-17,1.247
1996-06-24,1.233
1996-07-01,1.218
1996-07-08,1.222
1996-07-15,1.225
1996-07-22,1.228
1996-07-29,1.213
1996-08-05,1.198
1996-08-12,1.192
