DATE,VALUE
1994-12-01,1.229
1995-01-01,1.235
1995-02-01,1.226
1995-03-01,1.213
1995-04-01,1.215
1995-05-01,1.278
1995-06-01,1.311
1995-07-01,1.294
1995-08-01,1.264
1995-09-01,1.249
1995-10-01,1.226
1995-11-01,1.191
1995-12-01,1.192
1996-01-01,1.214
1996-02-01,1.209
1996-03-01,1.224
1996-04-01,1.308
1996-05-01,1.377
1996-06-01,1.364
1996-07-01,1.334
1996-08-01,1.307
1996-09-01,1.295
1996-10-01,1.300
1996-11-01,1.334
1996-12-01,1.365
1997-01-01,1.369
1997-02-01,1.356
1997-03-01,1.322
1997-04-01,1.298
1997-05-01,1.282
1997-06-01,1.285
1997-07-01,1.267
1997-08-01,1.324
1997-09-01,1.355
1997-10-01,1.321
1997-11-01,1.287
1997-12-01,1.250
1998-01-01,1.212
1998-02-01,1.168
1998-03-01,1.118
1998-04-01,1.113
1998-05-01,1.111
1998-06-01,1.110
1998-07-01,1.103
1998-08-01,1.086
1998-09-01,1.071
1998-10-01,1.079
1998-11-01,1.067
1998-12-01,1.041
1999-01-01,1.025
1999-02-01,1.000
1999-03-01,1.013
1999-04-01,1.126
1999-05-01,1.164
1999-06-01,1.162
1999-07-01,1.194
1999-08-01,1.262
1999-09-01,1.308
1999-10-01,1.337
1999-11-01,1.335
1999-12-01,1.360
2000-01-01,1.369
2000-02-01,1.413
2000-03-01,1.565
2000-04-01,1.552
2000-05-01,1.547
2000-06-01,1.656
2000-07-01,1.687
2000-08-01,1.640
2000-09-01,1.638
2000-10-01,1.618
2000-11-01,1.606
2000-12-01,1.570
2001-01-01,1.535
2001-02-01,1.526
2001-03-01,1.495
2001-04-01,1.580
2001-05-01,1.756
2001-06-01,1.761
2001-07-01,1.634
2001-08-01,1.520
2001-09-01,1.493
2001-10-01,1.388
2001-11-01,1.248
2001-12-01,1.151
2002-01-01,1.172
2002-02-01,1.173
2002-03-01,1.265
2002-04-01,1.441
2002-05-01,1.467
2002-06-01,1.450
2002-07-01,1.445
2002-08-01,1.478
2002-09-01,1.480
2002-10-01,1.499
2002-11-01,1.517
2002-12-01,1.516
2003-01-01,1.553
2003-02-01,1.664
2003-03-01,1.716
2003-04-01,1.667
2003-05-01,1.589
2003-06-01,1.544
2003-07-01,1.560
2003-08-01,1.648
2003-09-01,1.801
2003-10-01,1.717
2003-11-01,1.637
2003-12-01,1.586
2004-01-01,1.642
2004-02-01,1.705
2004-03-01,1.768
2004-04-01,1.806
2004-05-01,2.027
2004-06-01,2.109
2004-07-01,2.024
2004-08-01,1.978
2004-09-01,1.936
2004-10-01,2.041
2004-11-01,2.047
2004-12-01,1.947
2005-01-01,1.903
2005-02-01,1.946
2005-03-01,2.058
2005-04-01,2.231
2005-05-01,2.224
2005-06-01,2.227
2005-07-01,2.395
2005-08-01,2.571
2005-09-01,3.126
2005-10-01,2.784
2005-11-01,2.301
2005-12-01,2.239
2006-01-01,2.418
2006-02-01,2.356
2006-03-01,2.429
2006-04-01,2.789
2006-05-01,3.045
2006-06-01,3.057
2006-07-01,3.129
2006-08-01,3.077
2006-09-01,2.685
2006-10-01,2.291
2006-11-01,2.251
2006-12-01,2.378
2007-01-01,2.344
2007-02-01,2.295
2007-03-01,2.596
2007-04-01,2.862
2007-05-01,3.103
2007-06-01,3.093
2007-07-01,3.010
2007-08-01,2.834
2007-09-01,2.760
2007-10-01,2.783
2007-11-01,3.076
2007-12-01,3.100
2008-01-01,3.121
2008-02-01,3.077
2008-03-01,3.232
2008-04-01,3.445
2008-05-01,3.830
2008-06-01,4.127
2008-07-01,4.139
2008-08-01,3.843
2008-09-01,3.672
2008-10-01,3.101
2008-11-01,2.293
2008-12-01,1.812
2009-01-01,1.802
2009-02-01,1.958
2009-03-01,1.984
2009-04-01,2.074
2009-05-01,2.299
2009-06-01,2.650
2009-07-01,2.609
2009-08-01,2.682
2009-09-01,2.634
2009-10-01,2.575
2009-11-01,2.714
2009-12-01,2.685
2010-01-01,2.775
2010-02-01,2.738
2010-03-01,2.794
2010-04-01,2.874
2010-05-01,2.923
2010-06-01,2.797
2010-07-01,2.777
2010-08-01,2.757
2010-09-01,2.695
2010-10-01,2.845
2010-11-01,2.966
2010-12-01,3.114
2011-01-01,3.192
2011-02-01,3.276
2011-03-01,3.602
2011-04-01,3.842
2011-05-01,4.032
2011-06-01,3.832
2011-07-01,3.801
2011-08-01,3.784
2011-09-01,3.709
2011-10-01,3.548
2011-11-01,3.489
2011-12-01,3.379
2012-01-01,3.496
2012-02-01,3.697
2012-03-01,3.871
2012-04-01,3.989
2012-05-01,3.822
2012-06-01,3.599
2012-07-01,3.585
2012-08-01,3.813
2012-09-01,3.947
2012-10-01,3.886
2012-11-01,3.699
2012-12-01,3.557
2013-01-01,3.554
2013-02-01,3.793
2013-03-01,3.792
2013-04-01,3.653
2013-05-01,3.621
2013-06-01,3.643
2013-07-01,3.728
2013-08-01,3.755
2013-09-01,3.678
2013-10-01,3.485
2013-11-01,3.429
2013-12-01,3.537
2014-01-01,3.533
2014-02-01,3.515
2014-03-01,3.628
2014-04-01,3.717
2014-05-01,3.777
2014-06-01,3.795
2014-07-01,3.769
2014-08-01,3.608
2014-09-01,3.510
2014-10-01,3.315
2014-11-01,3.071
2014-12-01,2.794
2015-01-01,2.362
2015-02-01,2.323
2015-03-01,2.500
2015-04-01,2.528
2015-05-01,2.759
2015-06-01,2.844
2015-07-01,2.842
2015-08-01,2.650
2015-09-01,2.406
2015-10-01,2.297
2015-11-01,2.265
2015-12-01,2.194
2016-01-01,2.081
2016-02-01,1.920
2016-03-01,2.018
2016-04-01,2.205
2016-05-01,2.373
2016-06-01,2.429
2016-07-01,2.350
2016-08-01,2.265
2016-09-01,2.311
2016-10-01,2.348
2016-11-01,2.375
2016-12-01,2.447
2017-01-01,2.537
2017-02-01,2.470
2017-03-01,2.442
2017-04-01,2.528
2017-05-01,2.530
2017-06-01,2.493
2017-07-01,2.456
2017-08-01,2.526
2017-09-01,2.856
2017-10-01,2.672
2017-11-01,2.706
2017-12-01,2.656
2018-01-01,2.721
2018-02-01,2.764
2018-03-01,2.721
2018-04-01,2.872
2018-05-01,2.999
2018-06-01,2.968
2018-07-01,2.927
2018-08-01,2.922
2018-09-01,2.910
2018-10-01,2.896
2018-11-01,2.717
2018-12-01,2.514
