DATE,VALUE
1994-11-28,1.169
1994-12-05,1.203
1994-12-12,1.224
1994-12-19,1.246
1994-12-26,1.243
1995-01-02,1.238
1995-01-09,1.237
1995-01-16,1.234
1995-01-23,1.235
1995-01-30,1.231
1995-02-06,1.229
1995-02-13,1.227
1995-02-20,1.225
1995-02-27,1.224
1995-03-06,1.220
1995-03-13,1.215
1995-03-20,1.210
1995-03-27,1.205
1995-04-03,1.205
1995-04-10,1.207
1995-04-17,1.215
1995-04-24,1.232
1995-05-01,1.246
1995-05-08,1.264
1995-05-15,1.277
1995-05-22,1.292
1995-05-29,1.309
1995-06-05,1.312
1995-06-12,1.313
1995-06-19,1.311
1995-06-26,1.308
1995-07-03,1.304
1995-07-10,1.300
1995-07-17,1.296
1995-07-24,1.288
1995-07-31,1.281
1995-08-07,1.274
1995-08-14,1.266
1995-08-21,1.259
1995-08-28,1.257
1995-09-04,1.254
1995-09-11,1.251
1995-09-18,1.246
1995-09-25,1.243
1995-10-02,1.239
1995-10-09,1.233
1995-10-16,1.228
1995-10-23,1.220
1995-10-30,1.209
1995-11-06,1.199
1995-11-13,1.194
1995-11-20,1.187
1995-11-27,1.184
1995-12-04,1.186
1995-12-11,1.189
1995-12-18,1.194
1995-12-25,1.200
1996-01-01,1.208
1996-01-08,1.210
1996-01-15,1.217
1996-01-22,1.218
1996-01-29,1.216
1996-02-05,1.213
1996-02-12,1.209
1996-02-19,1.206
1996-02-26,1.209
1996-03-04,1.216
1996-03-11,1.219
1996-03-18,1.221
1996-03-25,1.240
1996-04-01,1.256
1996-04-08,1.276
1996-04-15,1.319
1996-04-22,1.336
1996-04-29,1.354
1996-05-06,1.373
1996-05-13,1.377
1996-05-20,1.379
1996-05-27,1.376
1996-06-03,1.377
1996-06-10,1.371
1996-06-17,1.361
1996-06-24,1.356
1996-07-01,1.346
1996-07-08,1.342
1996-07-15,1.334
1996-07-22,1.332
1996-07-29,1.322
1996-08-05,1.315
1996-08-12,1.310
1996-08-19,1.302
1996-08-26,1.299
1996-09-02,1.296
1996-09-09,1.295
1996-09-16,1.296
1996-09-23,1.296
1996-09-30,1.295
1996-10-07,1.295
1996-10-14,1.297
1996-10-21,1.302
1996-10-28,1.307
1996-11-04,1.322
1996-11-11,1.325
1996-11-18,1.339
1996-11-25,1.348
1996-12-02,1.354
1996-12-09,1.364
1996-12-16,1.368
1996-12-23,1.369
1996-12-30,1.370
1997-01-06,1.368
1997-01-13,1.373
1997-01-20,1.369
1997-01-27,1.365
1997-02-03,1.362
1997-02-10,1.360
1997-02-17,1.354
1997-02-24,1.346
1997-03-03,1.336
1997-03-10,1.327
1997-03-17,1.320
1997-03-24,1.316
1997-03-31,1.312
1997-04-07,1.309
1997-04-14,1.302
1997-04-21,1.293
1997-04-28,1.286
1997-05-05,1.283
1997-05-12,1.280
1997-05-19,1.279
1997-05-26,1.287
1997-06-02,1.289
1997-06-09,1.290
1997-06-16,1.287
1997-06-23,1.281
1997-06-30,1.277
1997-07-07,1.270
1997-07-14,1.266
1997-07-21,1.265
1997-07-28,1.266
1997-08-04,1.287
1997-08-11,1.317
1997-08-18,1.331
1997-08-25,1.359
1997-09-01,1.364
1997-09-08,1.364
1997-09-15,1.359
1997-09-22,1.350
1997-09-29,1.339
1997-10-06,1.330
1997-10-13,1.326
1997-10-20,1.318
1997-10-27,1.308
1997-11-03,1.300
1997-11-10,1.292
1997-11-17,1.282
1997-11-24,1.275
1997-12-01,1.268
1997-12-08,1.259
1997-12-15,1.250
1997-12-22,1.240
1997-12-29,1.234
1998-01-05,1.229
1998-01-12,1.219
1998-01-19,1.205
1998-01-26,1.193
1998-02-02,1.182
1998-02-09,1.173
1998-02-16,1.162
1998-02-23,1.153
1998-03-02,1.139
1998-03-09,1.126
1998-03-16,1.110
1998-03-23,1.098
1998-03-30,1.115
1998-04-06,1.116
1998-04-13,1.115
1998-04-20,1.111
1998-04-27,1.110
1998-05-04,1.109
1998-05-11,1.117
1998-05-18,1.108
1998-05-25,1.110
1998-06-01,1.110
1998-06-08,1.112
1998-06-15,1.111
1998-06-22,1.109
1998-06-29,1.109
1998-07-06,1.105
1998-07-13,1.103
1998-07-20,1.103
1998-07-27,1.100
1998-08-03,1.093
1998-08-10,1.091
1998-08-17,1.087
1998-08-24,1.082
1998-08-31,1.078
1998-09-07,1.073
1998-09-14,1.071
1998-09-21,1.067
1998-09-28,1.071
1998-10-05,1.075
1998-10-12,1.081
1998-10-19,1.079
1998-10-26,1.079
1998-11-02,1.073
1998-11-09,1.071
1998-11-16,1.069
1998-11-23,1.063
1998-11-30,1.057
1998-12-07,1.051
1998-12-14,1.042
1998-12-21,1.037
1998-12-28,1.033
1999-01-04,1.030
1999-01-11,1.026
1999-01-18,1.025
1999-01-25,1.019
1999-02-01,1.011
1999-02-08,1.006
1999-02-15,0.996
1999-02-22,0.988
1999-03-01,0.984
1999-03-08,0.982
1999-03-15,1.006
1999-03-22,1.031
1999-03-29,1.063
1999-04-05,1.095
1999-04-12,1.124
1999-04-19,1.136
1999-04-26,1.147
1999-05-03,1.152
1999-05-10,1.166
1999-05-17,1.168
1999-05-24,1.168
1999-05-31,1.165
1999-06-07,1.163
1999-06-14,1.162
1999-06-21,1.162
1999-06-28,1.162
1999-07-05,1.166
1999-07-12,1.187
1999-07-19,1.203
1999-07-26,1.219
1999-08-02,1.231
1999-08-09,1.248
1999-08-16,1.268
1999-08-23,1.278
1999-08-30,1.283
1999-09-06,1.290
1999-09-13,1.299
1999-09-20,1.318
1999-09-27,1.324
1999-10-04,1.337
1999-10-11,1.338
1999-10-18,1.338
1999-10-25,1.334
1999-11-01,1.330
1999-11-08,1.326
1999-11-15,1.329
1999-11-22,1.336
1999-11-29,1.355
1999-12-06,1.358
1999-12-13,1.359
1999-12-20,1.361
1999-12-27,1.362
2000-01-03,1.364
2000-01-10,1.360
2000-01-17,1.358
2000-01-24,1.378
2000-01-31,1.383
2000-02-07,1.388
2000-02-14,1.398
2000-02-21,1.426
2000-02-28,1.440
2000-03-06,1.522
2000-03-13,1.573
2000-03-20,1.583
2000-03-27,1.580
2000-04-03,1.568
2000-04-10,1.560
2000-04-17,1.544
2000-04-24,1.534
2000-05-01,1.524
2000-05-08,1.523
2000-05-15,1.536
2000-05-22,1.570
2000-05-29,1.580
2000-06-05,1.613
2000-06-12,1.643
2000-06-19,1.677
2000-06-26,1.692
2000-07-03,1.703
2000-07-10,1.697
2000-07-17,1.691
2000-07-24,1.680
2000-07-31,1.663
2000-08-07,1.653
2000-08-14,1.642
2000-08-21,1.634
2000-08-28,1.631
2000-09-04,1.629
2000-09-11,1.642
2000-09-18,1.642
2000-09-25,1.640
2000-10-02,1.627
2000-10-09,1.616
2000-10-16,1.614
2000-10-23,1.616
2000-10-30,1.616
2000-11-06,1.615
2000-11-13,1.607
2000-11-20,1.603
2000-11-27,1.600
2000-12-04,1.593
2000-12-11,1.578
2000-12-18,1.563
2000-12-25,1.546
2001-01-01,1.541
2001-01-08,1.530
2001-01-15,1.536
2001-01-22,1.538
2001-01-29,1.532
2001-02-05,1.526
2001-02-12,1.531
2001-02-19,1.527
2001-02-26,1.520
2001-03-05,1.508
2001-03-12,1.501
2001-03-19,1.490
2001-03-26,1.480
2001-04-02,1.487
2001-04-09,1.523
2001-04-16,1.578
2001-04-23,1.629
2001-04-30,1.683
2001-05-07,1.724
2001-05-14,1.759
2001-05-21,1.757
2001-05-28,1.785
2001-06-04,1.781
2001-06-11,1.776
2001-06-18,1.755
2001-06-25,1.730
2001-07-02,1.696
2001-07-09,1.671
2001-07-16,1.638
2001-07-23,1.598
2001-07-30,1.565
2001-08-06,1.536
2001-08-13,1.528
2001-08-20,1.514
2001-08-27,1.500
2001-09-03,1.497
2001-09-10,1.495
2001-09-17,1.493
2001-09-24,1.486
2001-10-01,1.451
2001-10-08,1.420
2001-10-15,1.388
2001-10-22,1.357
2001-10-29,1.325
2001-11-05,1.292
2001-11-12,1.262
2001-11-19,1.232
2001-11-26,1.205
2001-12-03,1.176
2001-12-10,1.156
2001-12-17,1.140
