DATE,VALUE
1994-12-01,1.207
1995-01-01,1.159
1995-02-01,1.149
1995-03-01,1.139
1995-04-01,1.147
1995-05-01,1.200
1995-06-01,1.220
1995-07-01,1.194
1995-08-01,1.150
1995-09-01,1.120
1995-10-01,1.091
1995-11-01,1.053
1995-12-01,1.058
1996-01-01,1.088
1996-02-01,1.097
1996-03-01,1.148
1996-04-01,1.256
1996-05-01,1.294
1996-06-01,1.271
1996-07-01,1.222
1996-08-01,1.185
1996-09-01,1.185
1996-10-01,1.197
1996-11-01,1.209
1996-12-01,1.214
1997-01-01,1.211
1997-02-01,1.207
1997-03-01,1.191
1997-04-01,1.181
1997-05-01,1.181
1997-06-01,1.188
1997-07-01,1.164
1997-08-01,1.213
1997-09-01,1.224
1997-10-01,1.190
1997-11-01,1.160
1997-12-01,1.137
1998-01-01,1.106
1998-02-01,1.061
1998-03-01,1.026
1998-04-01,1.034
1998-05-01,1.038
1998-06-01,1.036
1998-07-01,1.032
1998-08-01,1.015
1998-09-01,0.997
1998-10-01,1.006
1998-11-01,0.996
1998-12-01,0.970
1999-01-01,0.952
1999-02-01,0.940
1999-03-01,0.962
1999-04-01,1.064
1999-05-01,1.090
1999-06-01,1.086
1999-07-01,1.111
1999-08-01,1.169
1999-09-01,1.215
1999-10-01,1.230
1999-11-01,1.225
1999-12-01,1.245
2000-01-01,1.256
2000-02-01,1.324
2000-03-01,1.497
2000-04-01,1.491
2000-05-01,1.479
2000-06-01,1.538
2000-07-01,1.563
2000-08-01,1.484
2000-09-01,1.488
2000-10-01,1.467
2000-11-01,1.447
2000-12-01,1.396
2001-01-01,1.414
2001-02-01,1.425
2001-03-01,1.387
2001-04-01,1.564
2001-05-01,1.670
2001-06-01,1.603
2001-07-01,1.406
2001-08-01,1.340
2001-09-01,1.403
2001-10-01,1.285
2001-11-01,1.110
2001-12-01,1.033
2002-01-01,1.065
2002-02-01,1.077
2002-03-01,1.219
2002-04-01,1.397
2002-05-01,1.394
2002-06-01,1.373
2002-07-01,1.354
2002-08-01,1.359
2002-09-01,1.364
2002-10-01,1.418
2002-11-01,1.397
2002-12-01,1.365
2003-01-01,1.445
2003-02-01,1.585
2003-03-01,1.624
2003-04-01,1.525
2003-05-01,1.423
2003-06-01,1.428
2003-07-01,1.463
2003-08-01,1.545
2003-09-01,1.565
2003-10-01,1.450
2003-11-01,1.421
2003-12-01,1.418
2004-01-01,1.524
2004-02-01,1.594
2004-03-01,1.637
2004-04-01,1.704
2004-05-01,1.874
2004-06-01,1.895
2004-07-01,1.825
2004-08-01,1.809
2004-09-01,1.797
2004-10-01,1.910
2004-11-01,1.901
2004-12-01,1.772
2005-01-01,1.765
2005-02-01,1.834
2005-03-01,2.005
2005-04-01,2.165
2005-05-01,2.099
2005-06-01,2.104
2005-07-01,2.238
2005-08-01,2.476
2005-09-01,2.881
2005-10-01,2.769
2005-11-01,2.222
2005-12-01,2.152
2006-01-01,2.303
2006-02-01,2.228
2006-03-01,2.404
2006-04-01,2.817
2006-05-01,2.941
2006-06-01,2.904
2006-07-01,2.945
2006-08-01,2.865
2006-09-01,2.419
2006-10-01,2.105
2006-11-01,2.104
2006-12-01,2.219
2007-01-01,2.136
2007-02-01,2.144
2007-03-01,2.430
2007-04-01,2.770
2007-05-01,2.992
2007-06-01,2.954
2007-07-01,2.854
2007-08-01,2.688
2007-09-01,2.655
2007-10-01,2.673
2007-11-01,2.945
2007-12-01,2.891
2008-01-01,2.957
2008-02-01,2.950
2008-03-01,3.198
2008-04-01,3.421
2008-05-01,3.707
2008-06-01,3.957
2008-07-01,3.968
2008-08-01,3.650
2008-09-01,3.615
2008-10-01,2.955
2008-11-01,1.995
2008-12-01,1.611
2009-01-01,1.675
2009-02-01,1.837
2009-03-01,1.889
2009-04-01,2.015
2009-05-01,2.194
2009-06-01,2.516
2009-07-01,2.402
2009-08-01,2.522
2009-09-01,2.374
2009-10-01,2.421
2009-11-01,2.551
2009-12-01,2.504
2010-01-01,2.615
2010-02-01,2.532
2010-03-01,2.685
2010-04-01,2.784
2010-05-01,2.777
2010-06-01,2.622
2010-07-01,2.598
2010-08-01,2.609
2010-09-01,2.564
2010-10-01,2.697
2010-11-01,2.717
2010-12-01,2.879
2011-01-01,2.979
2011-02-01,3.095
2011-03-01,3.492
2011-04-01,3.766
2011-05-01,3.852
2011-06-01,3.587
2011-07-01,3.591
2011-08-01,3.562
2011-09-01,3.421
2011-10-01,3.275
2011-11-01,3.219
2011-12-01,3.122
2012-01-01,3.265
2012-02-01,3.533
2012-03-01,3.814
2012-04-01,3.884
2012-05-01,3.622
2012-06-01,3.369
2012-07-01,3.334
2012-08-01,3.579
2012-09-01,3.695
2012-10-01,3.526
2012-11-01,3.222
2012-12-01,3.132
2013-01-01,3.260
2013-02-01,3.557
2013-03-01,3.651
2013-04-01,3.515
2013-05-01,3.473
2013-06-01,3.474
2013-07-01,3.541
2013-08-01,3.520
2013-09-01,3.354
2013-10-01,3.165
2013-11-01,3.115
2013-12-01,3.189
2014-01-01,3.198
2014-02-01,3.216
2014-03-01,3.410
2014-04-01,3.570
2014-05-01,3.527
2014-06-01,3.563
2014-07-01,3.499
2014-08-01,3.356
2014-09-01,3.286
2014-10-01,3.041
2014-11-01,2.762
2014-12-01,2.376
2015-01-01,1.961
2015-02-01,2.082
2015-03-01,2.310
2015-04-01,2.362
2015-05-01,2.557
2015-06-01,2.664
2015-07-01,2.622
2015-08-01,2.430
2015-09-01,2.153
2015-10-01,2.094
2015-11-01,1.983
2015-12-01,1.896
2016-01-01,1.806
2016-02-01,1.637
2016-03-01,1.863
2016-04-01,2.006
2016-05-01,2.120
2016-06-01,2.240
2016-07-01,2.154
2016-08-01,2.058
2016-09-01,2.053
2016-10-01,2.116
2016-11-01,2.057
2016-12-01,2.111
2017-01-01,2.233
2017-02-01,2.156
2017-03-01,2.183
2017-04-01,2.341
2017-05-01,2.272
2017-06-01,2.232
2017-07-01,2.155
2017-08-01,2.254
2017-09-01,2.604
2017-10-01,2.353
2017-11-01,2.342
2017-12-01,2.260
2018-01-01,2.364
2018-02-01,2.345
