DATE,VALUE
1994-12-01,1.229
1995-01-01,1.228
1995-02-01,1.215
1995-03-01,1.203
1995-04-01,1.213
1995-05-01,1.270
1995-06-01,1.285
1995-07-01,1.258
1995-08-01,1.218
1995-09-01,1.203
1995-10-01,1.192
1995-11-01,1.165
1995-12-01,1.167
1996-01-01,1.184
1996-02-01,1.187
1996-03-01,1.227
1996-04-01,1.339
1996-05-01,1.422
1996-06-01,1.403
1996-07-01,1.359
1996-08-01,1.314
1996-09-01,1.288
1996-10-01,1.275
1996-11-01,1.276
1996-12-01,1.295
1997-01-01,1.314
1997-02-01,1.317
1997-03-01,1.306
1997-04-01,1.311
1997-05-01,1.303
1997-06-01,1.292
1997-07-01,1.261
1997-08-01,1.321
1997-09-01,1.364
1997-10-01,1.334
1997-11-01,1.300
1997-12-01,1.261
1998-01-01,1.213
1998-02-01,1.157
1998-03-01,1.098
1998-04-01,1.114
1998-05-01,1.165
1998-06-01,1.165
1998-07-01,1.153
1998-08-01,1.128
1998-09-01,1.113
1998-10-01,1.115
1998-11-01,1.105
1998-12-01,1.081
1999-01-01,1.070
1999-02-01,1.047
1999-03-01,1.107
1999-04-01,1.305
1999-05-01,1.282
1999-06-01,1.235
1999-07-01,1.280
1999-08-01,1.356
1999-09-01,1.362
1999-10-01,1.352
1999-11-01,1.346
1999-12-01,1.368
2000-01-01,1.373
2000-02-01,1.441
2000-03-01,1.634
2000-04-01,1.621
2000-05-01,1.611
2000-06-01,1.695
2000-07-01,1.681
2000-08-01,1.619
2000-09-01,1.691
2000-10-01,1.674
2000-11-01,1.653
2000-12-01,1.590
2001-01-01,1.561
2001-02-01,1.565
2001-03-01,1.555
2001-04-01,1.677
2001-05-01,1.846
2001-06-01,1.803
2001-07-01,1.633
2001-08-01,1.537
2001-09-01,1.593
2001-10-01,1.445
2001-11-01,1.281
2001-12-01,1.158
2002-01-01,1.177
2002-02-01,1.206
2002-03-01,1.349
2002-04-01,1.512
2002-05-01,1.514
2002-06-01,1.509
2002-07-01,1.508
2002-08-01,1.517
2002-09-01,1.517
2002-10-01,1.526
2002-11-01,1.533
2002-12-01,1.508
2003-01-01,1.571
2003-02-01,1.720
2003-03-01,1.852
2003-04-01,1.783
2003-05-01,1.664
2003-06-01,1.624
2003-07-01,1.627
2003-08-01,1.732
2003-09-01,1.856
2003-10-01,1.718
2003-11-01,1.641
2003-12-01,1.591
2004-01-01,1.654
2004-02-01,1.763
2004-03-01,1.881
2004-04-01,1.930
2004-05-01,2.108
2004-06-01,2.140
2004-07-01,2.060
2004-08-01,2.002
2004-09-01,1.979
2004-10-01,2.140
2004-11-01,2.126
2004-12-01,1.978
2005-01-01,1.921
2005-02-01,2.006
2005-03-01,2.159
2005-04-01,2.354
2005-05-01,2.306
2005-06-01,2.272
2005-07-01,2.427
2005-08-01,2.610
2005-09-01,3.042
2005-10-01,2.824
2005-11-01,2.380
2005-12-01,2.256
2006-01-01,2.397
2006-02-01,2.393
2006-03-01,2.496
2006-04-01,2.837
2006-05-01,3.115
2006-06-01,3.094
2006-07-01,3.150
2006-08-01,3.094
2006-09-01,2.725
2006-10-01,2.363
2006-11-01,2.320
2006-12-01,2.423
2007-01-01,2.396
2007-02-01,2.418
2007-03-01,2.738
2007-04-01,3.013
2007-05-01,3.248
2007-06-01,3.173
2007-07-01,3.055
2007-08-01,2.862
2007-09-01,2.830
2007-10-01,2.884
2007-11-01,3.166
2007-12-01,3.148
2008-01-01,3.150
2008-02-01,3.107
2008-03-01,3.356
2008-04-01,3.588
2008-05-01,3.882
2008-06-01,4.243
2008-07-01,4.243
2008-08-01,3.921
2008-09-01,3.747
2008-10-01,3.207
2008-11-01,2.319
2008-12-01,1.793
2009-01-01,1.880
2009-02-01,2.044
2009-03-01,2.060
2009-04-01,2.165
2009-05-01,2.373
2009-06-01,2.755
2009-07-01,2.686
2009-08-01,2.786
2009-09-01,2.769
2009-10-01,2.718
2009-11-01,2.788
2009-12-01,2.750
2010-01-01,2.848
2010-02-01,2.787
2010-03-01,2.888
2010-04-01,2.966
