DATE,VALUE
1994-12-01,1.182
1995-01-01,1.158
1995-02-01,1.146
1995-03-01,1.137
1995-04-01,1.181
1995-05-01,1.260
1995-06-01,1.277
1995-07-01,1.227
1995-08-01,1.178
1995-09-01,1.176
1995-10-01,1.153
1995-11-01,1.117
1995-12-01,1.152
1996-01-01,1.175
1996-02-01,1.163
1996-03-01,1.222
1996-04-01,1.294
1996-05-01,1.345
1996-06-01,1.328
1996-07-01,1.282
1996-08-01,1.252
1996-09-01,1.261
1996-10-01,1.276
1996-11-01,1.334
1996-12-01,1.343
1997-01-01,1.326
1997-02-01,1.305
1997-03-01,1.251
1997-04-01,1.229
1997-05-01,1.263
1997-06-01,1.269
1997-07-01,1.235
1997-08-01,1.293
1997-09-01,1.266
1997-10-01,1.206
1997-11-01,1.188
1997-12-01,1.158
1998-01-01,1.103
1998-02-01,1.089
1998-03-01,1.076
1998-04-01,1.104
1998-05-01,1.158
1998-06-01,1.158
1998-07-01,1.153
1998-08-01,1.102
1998-09-01,1.085
1998-10-01,1.084
1998-11-01,1.056
1998-12-01,0.996
1999-01-01,1.010
1999-02-01,0.977
1999-03-01,1.050
1999-04-01,1.172
1999-05-01,1.179
1999-06-01,1.162
1999-07-01,1.203
1999-08-01,1.246
1999-09-01,1.317
1999-10-01,1.273
1999-11-01,1.294
1999-12-01,1.308
2000-01-01,1.346
2000-02-01,1.464
2000-03-01,1.541
2000-04-01,1.489
2000-05-01,1.681
2000-06-01,1.962
2000-07-01,1.567
2000-08-01,1.411
2000-09-01,1.568
2000-10-01,1.543
2000-11-01,1.546
2000-12-01,1.451
2001-01-01,1.520
2001-02-01,1.491
2001-03-01,1.420
2001-04-01,1.695
2001-05-01,1.929
2001-06-01,1.704
2001-07-01,1.381
2001-08-01,1.574
2001-09-01,1.761
2001-10-01,1.392
2001-11-01,1.225
2001-12-01,1.170
2002-01-01,1.154
2002-02-01,1.143
2002-03-01,1.332
2002-04-01,1.477
2002-05-01,1.507
2002-06-01,1.499
2002-07-01,1.477
2002-08-01,1.471
2002-09-01,1.488
2002-10-01,1.568
2002-11-01,1.476
2002-12-01,1.423
2003-01-01,1.515
2003-02-01,1.683
2003-03-01,1.717
2003-04-01,1.576
2003-05-01,1.530
2003-06-01,1.566
2003-07-01,1.568
2003-08-01,1.680
2003-09-01,1.712
2003-10-01,1.624
2003-11-01,1.585
2003-12-01,1.522
2004-01-01,1.642
2004-02-01,1.711
2004-03-01,1.752
2004-04-01,1.851
2004-05-01,2.061
2004-06-01,1.968
2004-07-01,1.934
2004-08-01,1.923
2004-09-01,1.916
2004-10-01,2.051
2004-11-01,1.990
2004-12-01,1.821
2005-01-01,1.879
2005-02-01,1.944
2005-03-01,2.147
2005-04-01,2.286
2005-05-01,2.175
2005-06-01,2.204
2005-07-01,2.359
2005-08-01,2.584
2005-09-01,2.913
2005-10-01,2.732
2005-11-01,2.253
2005-12-01,2.252
2006-01-01,2.352
2006-02-01,2.274
2006-03-01,2.494
2006-04-01,2.810
2006-05-01,2.913
2006-06-01,2.971
2006-07-01,3.159
2006-08-01,3.092
2006-09-01,2.613
2006-10-01,2.258
2006-11-01,2.271
2006-12-01,2.335
2007-01-01,2.217
2007-02-01,2.329
2007-03-01,2.532
2007-04-01,2.887
2007-05-01,3.385
2007-06-01,3.267
2007-07-01,3.132
2007-08-01,2.958
2007-09-01,3.046
2007-10-01,2.851
2007-11-01,3.104
2007-12-01,3.027
2008-01-01,3.078
2008-02-01,3.072
2008-03-01,3.291
2008-04-01,3.598
2008-05-01,3.932
2008-06-01,4.150
2008-07-01,4.166
2008-08-01,3.917
2008-09-01,3.939
2008-10-01,3.192
2008-11-01,2.177
2008-12-01,1.703
2009-01-01,1.904
2009-02-01,1.939
2009-03-01,2.014
2009-04-01,2.115
2009-05-01,2.442
2009-06-01,2.785
2009-07-01,2.594
2009-08-01,2.672
2009-09-01,2.542
2009-10-01,2.609
2009-11-01,2.703
2009-12-01,2.643
2010-01-01,2.774
2010-02-01,2.665
2010-03-01,2.837
2010-04-01,3.000
2010-05-01,2.963
2010-06-01,2.835
2010-07-01,2.813
2010-08-01,2.798
2010-09-01,2.860
2010-10-01,2.885
2010-11-01,2.939
2010-12-01,3.070
2011-01-01,3.186
2011-02-01,3.295
2011-03-01,3.653
2011-04-01,4.011
2011-05-01,4.149
2011-06-01,3.908
2011-07-01,3.861
2011-08-01,3.779
2011-09-01,3.706
2011-10-01,3.447
2011-11-01,3.405
2011-12-01,3.302
2012-01-01,3.478
2012-02-01,3.579
2012-03-01,4.107
2012-04-01,4.123
2012-05-01,3.897
2012-06-01,3.700
2012-07-01,3.606
2012-08-01,4.009
2012-09-01,4.066
2012-10-01,3.730
2012-11-01,3.455
2012-12-01,3.353
2013-01-01,3.352
2013-02-01,3.832
2013-03-01,3.838
2013-04-01,3.855
2013-05-01,4.010
2013-06-01,4.033
2013-07-01,3.819
2013-08-01,3.718
2013-09-01,3.634
2013-10-01,3.406
2013-11-01,3.299
2013-12-01,3.315
2014-01-01,3.398
2014-02-01,3.479
2014-03-01,3.761
2014-04-01,3.922
2014-05-01,3.852
2014-06-01,3.953
2014-07-01,3.710
2014-08-01,3.620
2014-09-01,3.601
2014-10-01,3.278
2014-11-01,3.039
2014-12-01,2.560
2015-01-01,2.123
2015-02-01,2.347
2015-03-01,2.582
2015-04-01,2.656
2015-05-01,2.861
2015-06-01,3.054
2015-07-01,2.933
2015-08-01,2.896
2015-09-01,2.600
2015-10-01,2.544
2015-11-01,2.229
2015-12-01,2.076
2016-01-01,1.950
2016-02-01,1.734
2016-03-01,2.108
2016-04-01,2.249
2016-05-01,2.459
2016-06-01,2.642
2016-07-01,2.365
2016-08-01,2.332
2016-09-01,2.341
2016-10-01,2.342
2016-11-01,2.216
2016-12-01,2.401
2017-01-01,2.470
2017-02-01,2.389
2017-03-01,2.405
2017-04-01,2.571
2017-05-01,2.521
2017-06-01,2.421
2017-07-01,2.425
2017-08-01,2.476
2017-09-01,2.621
2017-10-01,2.566
2017-11-01,2.758
