DATE,VALUE
1994-11-28,1.206
1994-12-05,1.212
1994-12-12,1.181
1994-12-19,1.167
1994-12-26,1.166
1995-01-02,1.152
1995-01-09,1.160
1995-01-16,1.164
1995-01-23,1.162
1995-01-30,1.153
1995-02-06,1.149
1995-02-13,1.151
1995-02-20,1.140
1995-02-27,1.145
1995-03-06,1.135
1995-03-13,1.125
1995-03-20,1.137
1995-03-27,1.151
1995-04-03,1.157
1995-04-10,1.168
1995-04-17,1.196
1995-04-24,1.204
1995-05-01,1.221
1995-05-08,1.249
1995-05-15,1.256
1995-05-22,1.289
1995-05-29,1.286
1995-06-05,1.286
1995-06-12,1.281
1995-06-19,1.276
1995-06-26,1.265
1995-07-03,1.256
1995-07-10,1.245
1995-07-17,1.229
1995-07-24,1.210
1995-07-31,1.194
1995-08-07,1.184
1995-08-14,1.179
1995-08-21,1.177
1995-08-28,1.172
1995-09-04,1.170
1995-09-11,1.173
1995-09-18,1.179
1995-09-25,1.183
1995-10-02,1.174
1995-10-09,1.167
1995-10-16,1.156
1995-10-23,1.141
1995-10-30,1.128
1995-11-06,1.126
1995-11-13,1.115
1995-11-20,1.109
1995-11-27,1.116
1995-12-04,1.123
1995-12-11,1.139
1995-12-18,1.165
1995-12-25,1.180
1996-01-01,1.175
1996-01-08,1.189
1996-01-15,1.184
1996-01-22,1.169
1996-01-29,1.158
1996-02-05,1.158
1996-02-12,1.148
1996-02-19,1.154
1996-02-26,1.191
1996-03-04,1.213
1996-03-11,1.210
1996-03-18,1.213
1996-03-25,1.250
1996-04-01,1.257
1996-04-08,1.272
1996-04-15,1.305
1996-04-22,1.312
1996-04-29,1.322
1996-05-06,1.327
1996-05-13,1.339
1996-05-20,1.366
1996-05-27,1.349
1996-06-03,1.347
1996-06-10,1.335
1996-06-17,1.320
1996-06-24,1.308
1996-07-01,1.295
1996-07-08,1.289
1996-07-15,1.286
1996-07-22,1.276
1996-07-29,1.266
1996-08-05,1.256
1996-08-12,1.244
1996-08-19,1.249
1996-08-26,1.260
1996-09-02,1.244
1996-09-09,1.259
1996-09-16,1.263
1996-09-23,1.271
1996-09-30,1.267
1996-10-07,1.261
1996-10-14,1.274
1996-10-21,1.276
1996-10-28,1.292
1996-11-04,1.308
1996-11-11,1.331
1996-11-18,1.344
1996-11-25,1.353
1996-12-02,1.355
1996-12-09,1.352
1996-12-16,1.343
1996-12-23,1.335
1996-12-30,1.329
1997-01-06,1.321
1997-01-13,1.333
1997-01-20,1.329
1997-01-27,1.322
1997-02-03,1.317
1997-02-10,1.311
1997-02-17,1.303
1997-02-24,1.289
1997-03-03,1.274
1997-03-10,1.263
1997-03-17,1.243
1997-03-24,1.241
1997-03-31,1.233
1997-04-07,1.223
1997-04-14,1.229
1997-04-21,1.232
1997-04-28,1.230
1997-05-05,1.253
1997-05-12,1.243
1997-05-19,1.265
1997-05-26,1.289
1997-06-02,1.285
1997-06-09,1.280
1997-06-16,1.273
1997-06-23,1.262
1997-06-30,1.244
1997-07-07,1.239
1997-07-14,1.233
1997-07-21,1.236
1997-07-28,1.230
1997-08-04,1.274
1997-08-11,1.299
1997-08-18,1.293
1997-08-25,1.306
1997-09-01,1.294
1997-09-08,1.286
1997-09-15,1.274
1997-09-22,1.249
1997-09-29,1.229
1997-10-06,1.223
1997-10-13,1.210
1997-10-20,1.199
1997-10-27,1.192
1997-11-03,1.188
1997-11-10,1.186
1997-11-17,1.188
1997-11-24,1.189
1997-12-01,1.183
1997-12-08,1.175
1997-12-15,1.158
1997-12-22,1.141
1997-12-29,1.134
1998-01-05,1.125
1998-01-12,1.112
1998-01-19,1.093
1998-01-26,1.082
1998-02-02,1.079
1998-02-09,1.091
1998-02-16,1.084
1998-02-23,1.103
1998-03-02,1.088
1998-03-09,1.073
1998-03-16,1.056
1998-03-23,1.054
1998-03-30,1.107
1998-04-06,1.095
1998-04-13,1.087
1998-04-20,1.104
1998-04-27,1.130
1998-05-04,1.141
1998-05-11,1.165
1998-05-18,1.166
1998-05-25,1.158
1998-06-01,1.166
1998-06-08,1.175
1998-06-15,1.159
1998-06-22,1.155
1998-06-29,1.133
1998-07-06,1.165
1998-07-13,1.160
1998-07-20,1.154
1998-07-27,1.131
1998-08-03,1.117
1998-08-10,1.107
1998-08-17,1.104
1998-08-24,1.093
1998-08-31,1.088
1998-09-07,1.084
1998-09-14,1.081
1998-09-21,1.080
1998-09-28,1.094
1998-10-05,1.088
1998-10-12,1.091
1998-10-19,1.074
1998-10-26,1.084
1998-11-02,1.077
1998-11-09,1.085
1998-11-16,1.055
1998-11-23,1.042
1998-11-30,1.020
1998-12-07,1.001
1998-12-14,1.000
1998-12-21,0.996
1998-12-28,0.985
1999-01-04,0.984
1999-01-11,0.987
1999-01-18,1.039
1999-01-25,1.030
1999-02-01,0.999
1999-02-08,0.985
1999-02-15,0.976
1999-02-22,0.947
1999-03-01,0.971
1999-03-08,0.949
1999-03-15,1.059
1999-03-22,1.117
1999-03-29,1.155
1999-04-05,1.167
1999-04-12,1.186
1999-04-19,1.172
1999-04-26,1.162
1999-05-03,1.160
1999-05-10,1.209
1999-05-17,1.192
1999-05-24,1.174
1999-05-31,1.160
1999-06-07,1.138
1999-06-14,1.163
1999-06-21,1.183
1999-06-28,1.164
1999-07-05,1.171
1999-07-12,1.208
1999-07-19,1.201
1999-07-26,1.231
1999-08-02,1.225
1999-08-09,1.213
1999-08-16,1.278
1999-08-23,1.270
1999-08-30,1.245
1999-09-06,1.303
1999-09-13,1.285
1999-09-20,1.346
1999-09-27,1.332
1999-10-04,1.305
1999-10-11,1.294
1999-10-18,1.259
1999-10-25,1.234
1999-11-01,1.254
1999-11-08,1.269
1999-11-15,1.301
1999-11-22,1.318
1999-11-29,1.330
1999-12-06,1.316
1999-12-13,1.317
1999-12-20,1.300
1999-12-27,1.297
2000-01-03,1.308
2000-01-10,1.298
2000-01-17,1.325
2000-01-24,1.412
2000-01-31,1.386
2000-02-07,1.379
2000-02-14,1.441
2000-02-21,1.526
2000-02-28,1.511
2000-03-06,1.587
2000-03-13,1.556
2000-03-20,1.525
2000-03-27,1.496
2000-04-03,1.520
2000-04-10,1.485
2000-04-17,1.445
2000-04-24,1.504
2000-05-01,1.510
