DATE,VALUE
1995-01-01,1.304
1995-02-01,1.286
1995-03-01,1.271
1995-04-01,1.281
1995-05-01,1.315
1995-06-01,1.305
1995-07-01,1.270
1995-08-01,1.222
1995-09-01,1.202
1995-10-01,1.216
1995-11-01,1.213
1995-12-01,1.200
1996-01-01,1.206
1996-02-01,1.221
1996-03-01,1.283
1996-04-01,1.448
1996-05-01,1.574
1996-06-01,1.543
1996-07-01,1.487
1996-08-01,1.412
1996-09-01,1.349
1996-10-01,1.294
1996-11-01,1.227
1996-12-01,1.237
1997-01-01,1.294
1997-02-01,1.331
1997-03-01,1.370
1997-04-01,1.431
1997-05-01,1.409
1997-06-01,1.369
1997-07-01,1.318
1997-08-01,1.387
1997-09-01,1.481
1997-10-01,1.468
1997-11-01,1.426
1997-12-01,1.378
1998-01-01,1.318
1998-02-01,1.227
1998-03-01,1.132
1998-04-01,1.169
1998-05-01,1.280
1998-06-01,1.265
1998-07-01,1.241
1998-08-01,1.215
1998-09-01,1.200
1998-10-01,1.196
1998-11-01,1.196
1998-12-01,1.189
1999-01-01,1.176
1999-02-01,1.158
1999-03-01,1.282
1999-04-01,1.647
1999-05-01,1.521
1999-06-01,1.391
1999-07-01,1.461
1999-08-01,1.564
1999-09-01,1.482
1999-10-01,1.432
1999-11-01,1.406
1999-12-01,1.429
2000-01-01,1.413
2000-02-01,1.490
2000-03-01,1.790
2000-04-01,1.791
2000-05-01,1.692
2000-06-01,1.675
2000-07-01,1.761
2000-08-01,1.727
2000-09-01,1.874
2000-10-01,1.863
2000-11-01,1.820
2000-12-01,1.735
2001-01-01,1.650
2001-02-01,1.677
2001-03-01,1.731
2001-04-01,1.832
2001-05-01,1.997
2001-06-01,1.973
2001-07-01,1.812
2001-08-01,1.602
2001-09-01,1.701
2001-10-01,1.587
2001-11-01,1.399
2001-12-01,1.201
2002-01-01,1.228
2002-02-01,1.313
2002-03-01,1.500
2002-04-01,1.650
2002-05-01,1.612
2002-06-01,1.630
2002-07-01,1.645
2002-08-01,1.633
2002-09-01,1.623
2002-10-01,1.576
2002-11-01,1.619
2002-12-01,1.581
2003-01-01,1.656
2003-02-01,1.846
2003-03-01,2.145
2003-04-01,2.090
2003-05-01,1.887
2003-06-01,1.798
2003-07-01,1.775
2003-08-01,1.904
2003-09-01,2.057
2003-10-01,1.829
2003-11-01,1.729
2003-12-01,1.671
2004-01-01,1.712
2004-02-01,1.899
2004-03-01,2.129
2004-04-01,2.172
2004-05-01,2.288
2004-06-01,2.305
2004-07-01,2.212
2004-08-01,2.115
2004-09-01,2.103
2004-10-01,2.356
2004-11-01,2.330
2004-12-01,2.127
2005-01-01,2.003
2005-02-01,2.148
2005-03-01,2.329
2005-04-01,2.578
2005-05-01,2.507
2005-06-01,2.398
2005-07-01,2.543
2005-08-01,2.706
2005-09-01,3.033
2005-10-01,2.918
2005-11-01,2.562
2005-12-01,2.310
2006-01-01,2.413
2006-02-01,2.526
2006-03-01,2.605
2006-04-01,2.909
2006-05-01,3.317
2006-06-01,3.236
2006-07-01,3.233
2006-08-01,3.183
2006-09-01,2.901
2006-10-01,2.560
2006-11-01,2.483
2006-12-01,2.566
2007-01-01,2.593
2007-02-01,2.677
2007-03-01,3.065
2007-04-01,3.306
2007-05-01,3.454
2007-06-01,3.303
2007-07-01,3.144
2007-08-01,2.918
2007-09-01,2.896
2007-10-01,3.077
2007-11-01,3.359
2007-12-01,3.321
2008-01-01,3.267
2008-02-01,3.201
2008-03-01,3.573
2008-04-01,3.803
2008-05-01,3.979
2008-06-01,4.496
2008-07-01,4.475
2008-08-01,4.098
2008-09-01,3.814
2008-10-01,3.412
2008-11-01,2.493
2008-12-01,1.854
2009-01-01,2.026
2009-02-01,2.243
2009-03-01,2.215
2009-04-01,2.334
2009-05-01,2.491
2009-06-01,2.940
2009-07-01,2.892
2009-08-01,3.026
2009-09-01,3.122
2009-10-01,3.012
2009-11-01,2.974
2009-12-01,2.934
2010-01-01,3.030
2010-02-01,2.962
2010-03-01,3.078
2010-04-01,3.119
2010-05-01,3.110
2010-06-01,3.102
2010-07-01,3.137
2010-08-01,3.150
2010-09-01,3.031
2010-10-01,3.110
2010-11-01,3.171
2010-12-01,3.267
2011-01-01,3.358
2011-02-01,3.547
2011-03-01,3.964
2011-04-01,4.161
2011-05-01,4.188
2011-06-01,3.932
2011-07-01,3.802
2011-08-01,3.782
2011-09-01,3.925
2011-10-01,3.845
2011-11-01,3.802
2011-12-01,3.611
2012-01-01,3.711
2012-02-01,3.989
2012-03-01,4.374
2012-04-01,4.261
2012-05-01,4.308
2012-06-01,4.088
2012-07-01,3.779
2012-08-01,4.050
2012-09-01,4.170
2012-10-01,4.396
2012-11-01,3.863
2012-12-01,3.591
2013-01-01,3.633
2013-02-01,4.080
2013-03-01,4.160
2013-04-01,3.997
2013-05-01,4.003
2013-06-01,4.006
2013-07-01,4.016
2013-08-01,3.882
2013-09-01,3.937
2013-10-01,3.780
2013-11-01,3.600
2013-12-01,3.601
2014-01-01,3.632
2014-02-01,3.690
2014-03-01,3.933
2014-04-01,4.148
2014-05-01,4.163
2014-06-01,4.113
2014-07-01,4.064
2014-08-01,3.920
2014-09-01,3.779
2014-10-01,3.542
2014-11-01,3.196
2014-12-01,2.871
2015-01-01,2.539
2015-02-01,2.701
2015-03-01,3.309
2015-04-01,3.188
2015-05-01,3.719
2015-06-01,3.529
2015-07-01,3.731
2015-08-01,3.523
2015-09-01,3.111
2015-10-01,2.884
2015-11-01,2.759
2015-12-01,2.713
2016-01-01,2.751
2016-02-01,2.411
2016-03-01,2.612
2016-04-01,2.772
2016-05-01,2.804
2016-06-01,2.876
2016-07-01,2.859
2016-08-01,2.690
2016-09-01,2.748
2016-10-01,2.805
2016-11-01,2.736
2016-12-01,2.687
2017-01-01,2.791
2017-02-01,2.882
2017-03-01,2.989
2017-04-01,3.002
2017-05-01,3.036
2017-06-01,3.017
2017-07-01,2.943
2017-08-01,3.005
2017-09-01,3.152
2017-10-01,3.076
2017-11-01,3.219
2017-12-01,3.120
2018-01-01,3.192
2018-02-01,3.333
2018-03-01,3.391
2018-04-01,3.547
2018-05-01,3.612
2018-06-01,3.604
2018-07-01,3.532
2018-08-01,3.472
2018-09-01,3.497
2018-10-01,3.659
2018-11-01,3.542
2018-12-01,3.293
