DATE,VALUE
1995-01-02,1.306
1995-01-09,1.309
1995-01-16,1.310
1995-01-23,1.300
1995-01-30,1.295
1995-02-06,1.291
1995-02-13,1.288
1995-02-20,1.285
1995-02-27,1.280
1995-03-06,1.281
1995-03-13,1.271
1995-03-20,1.269
1995-03-27,1.263
1995-04-03,1.261
1995-04-10,1.282
1995-04-17,1.281
1995-04-24,1.298
1995-05-01,1.300
1995-05-08,1.312
1995-05-15,1.321
1995-05-22,1.322
1995-05-29,1.318
1995-06-05,1.312
1995-06-12,1.307
1995-06-19,1.304
1995-06-26,1.297
1995-07-03,1.292
1995-07-10,1.283
1995-07-17,1.270
1995-07-24,1.260
1995-07-31,1.245
1995-08-07,1.234
1995-08-14,1.225
1995-08-21,1.215
1995-08-28,1.214
1995-09-04,1.214
1995-09-11,1.201
1995-09-18,1.199
1995-09-25,1.192
1995-10-02,1.211
1995-10-09,1.214
1995-10-16,1.220
1995-10-23,1.221
1995-10-30,1.215
1995-11-06,1.211
1995-11-13,1.217
1995-11-20,1.213
1995-11-27,1.209
1995-12-04,1.200
1995-12-11,1.196
1995-12-18,1.199
1995-12-25,1.205
1996-01-01,1.200
1996-01-08,1.195
1996-01-15,1.210
1996-01-22,1.214
1996-01-29,1.212
1996-02-05,1.206
1996-02-12,1.209
1996-02-19,1.222
1996-02-26,1.246
1996-03-04,1.260
1996-03-11,1.278
1996-03-18,1.290
1996-03-25,1.303
1996-04-01,1.333
1996-04-08,1.369
1996-04-15,1.419
1996-04-22,1.534
1996-04-29,1.585
1996-05-06,1.586
1996-05-13,1.581
1996-05-20,1.571
1996-05-27,1.559
1996-06-03,1.564
1996-06-10,1.547
1996-06-17,1.536
1996-06-24,1.524
1996-07-01,1.509
1996-07-08,1.500
1996-07-15,1.491
1996-07-22,1.476
1996-07-29,1.458
1996-08-05,1.437
1996-08-12,1.416
1996-08-19,1.397
1996-08-26,1.399
1996-09-02,1.361
1996-09-09,1.350
1996-09-16,1.353
1996-09-23,1.346
1996-09-30,1.334
1996-10-07,1.319
1996-10-14,1.306
1996-10-21,1.287
1996-10-28,1.265
1996-11-04,1.247
1996-11-11,1.221
1996-11-18,1.218
1996-11-25,1.220
1996-12-02,1.223
1996-12-09,1.228
1996-12-16,1.237
1996-12-23,1.246
1996-12-30,1.251
1997-01-06,1.270
1997-01-13,1.294
1997-01-20,1.305
1997-01-27,1.308
1997-02-03,1.320
1997-02-10,1.333
1997-02-17,1.333
1997-02-24,1.339
1997-03-03,1.340
1997-03-10,1.358
1997-03-17,1.369
1997-03-24,1.380
1997-03-31,1.402
1997-04-07,1.426
1997-04-14,1.436
1997-04-21,1.433
1997-04-28,1.427
1997-05-05,1.420
1997-05-12,1.414
1997-05-19,1.405
