DATE,VALUE
1993-04-01,1.125
1993-05-01,1.155
1993-06-01,1.135
1993-07-01,1.121
1993-08-01,1.116
1993-09-01,1.110
1993-10-01,1.163
1993-11-01,1.168
1993-12-01,1.126
1994-01-01,1.076
1994-02-01,1.072
1994-03-01,1.058
1994-04-01,1.052
1994-05-01,1.076
1994-06-01,1.136
1994-07-01,1.170
1994-08-01,1.241
1994-09-01,1.257
1994-10-01,1.189
1994-11-01,1.183
1994-12-01,1.176
1995-01-01,1.157
1995-02-01,1.132
1995-03-01,1.145
1995-04-01,1.170
1995-05-01,1.209
1995-06-01,1.214
1995-07-01,1.200
1995-08-01,1.184
1995-09-01,1.192
1995-10-01,1.186
1995-11-01,1.179
1995-12-01,1.170
1996-01-01,1.156
1996-02-01,1.154
1996-03-01,1.193
1996-04-01,1.278
1996-05-01,1.357
1996-06-01,1.327
1996-07-01,1.301
1996-08-01,1.302
1996-09-01,1.306
1996-10-01,1.310
1996-11-01,1.318
1996-12-01,1.301
1997-01-01,1.294
1997-02-01,1.291
1997-03-01,1.285
1997-04-01,1.304
1997-05-01,1.289
1997-06-01,1.291
1997-07-01,1.296
1997-08-01,1.313
1997-09-01,1.316
1997-10-01,1.311
1997-11-01,1.305
1997-12-01,1.289
1998-01-01,1.235
1998-02-01,1.143
1998-03-01,1.070
1998-04-01,1.095
1998-05-01,1.149
1998-06-01,1.188
1998-07-01,1.164
1998-08-01,1.155
1998-09-01,1.143
1998-10-01,1.138
1998-11-01,1.124
1998-12-01,1.033
1999-01-01,0.997
1999-02-01,0.999
1999-03-01,1.058
1999-04-01,1.228
1999-05-01,1.254
1999-06-01,1.240
1999-07-01,1.270
1999-08-01,1.371
1999-09-01,1.405
1999-10-01,1.390
1999-11-01,1.358
1999-12-01,1.356
2000-01-01,1.336
2000-02-01,1.390
2000-03-01,1.554
2000-04-01,1.565
2000-05-01,1.529
2000-06-01,1.604
2000-07-01,1.640
2000-08-01,1.590
2000-09-01,1.634
2000-10-01,1.651
2000-11-01,1.636
2000-12-01,1.539
2001-01-01,1.466
2001-02-01,1.476
2001-03-01,1.470
2001-04-01,1.558
2001-05-01,1.699
2001-06-01,1.693
2001-07-01,1.544
2001-08-01,1.471
2001-09-01,1.609
2001-10-01,1.498
2001-11-01,1.300
2001-12-01,1.153
2002-01-01,1.156
2002-02-01,1.149
2002-03-01,1.253
2002-04-01,1.426
2002-05-01,1.427
2002-06-01,1.421
2002-07-01,1.468
2002-08-01,1.498
2002-09-01,1.483
2002-10-01,1.506
2002-11-01,1.487
