DATE,VALUE
1993-04-01,1.155
1993-05-01,1.175
1993-06-01,1.186
1993-07-01,1.175
1993-08-01,1.156
1993-09-01,1.161
1993-10-01,1.212
1993-11-01,1.177
1993-12-01,1.131
1994-01-01,1.108
1994-02-01,1.108
1994-03-01,1.112
1994-04-01,1.123
1994-05-01,1.146
1994-06-01,1.170
1994-07-01,1.196
1994-08-01,1.223
1994-09-01,1.225
1994-10-01,1.229
1994-11-01,1.232
1994-12-01,1.257
1995-01-01,1.262
1995-02-01,1.244
1995-03-01,1.230
1995-04-01,1.243
1995-05-01,1.285
1995-06-01,1.291
1995-07-01,1.273
1995-08-01,1.248
1995-09-01,1.237
1995-10-01,1.241
1995-11-01,1.227
1995-12-01,1.219
1996-01-01,1.225
1996-02-01,1.228
1996-03-01,1.273
1996-04-01,1.413
1996-05-01,1.539
1996-06-01,1.512
1996-07-01,1.470
1996-08-01,1.421
1996-09-01,1.372
1996-10-01,1.333
1996-11-01,1.281
1996-12-01,1.265
1997-01-01,1.305
1997-02-01,1.345
1997-03-01,1.369
1997-04-01,1.410
1997-05-01,1.390
1997-06-01,1.352
1997-07-01,1.310
1997-08-01,1.362
1997-09-01,1.448
1997-10-01,1.441
1997-11-01,1.406
1997-12-01,1.358
1998-01-01,1.307
1998-02-01,1.225
1998-03-01,1.135
1998-04-01,1.164
1998-05-01,1.243
1998-06-01,1.232
1998-07-01,1.215
1998-08-01,1.195
1998-09-01,1.182
1998-10-01,1.177
1998-11-01,1.173
1998-12-01,1.159
1999-01-01,1.144
1999-02-01,1.121
1999-03-01,1.224
1999-04-01,1.550
1999-05-01,1.458
1999-06-01,1.367
1999-07-01,1.427
1999-08-01,1.511
1999-09-01,1.454
1999-10-01,1.413
1999-11-01,1.392
1999-12-01,1.409
2000-01-01,1.399
2000-02-01,1.467
2000-03-01,1.725
2000-04-01,1.740
2000-05-01,1.660
2000-06-01,1.637
2000-07-01,1.713
2000-08-01,1.695
2000-09-01,1.811
2000-10-01,1.806
2000-11-01,1.768
2000-12-01,1.695
2001-01-01,1.614
2001-02-01,1.634
2001-03-01,1.674
2001-04-01,1.734
2001-05-01,1.845
2001-06-01,1.856
2001-07-01,1.732
2001-08-01,1.573
2001-09-01,1.691
2001-10-01,1.587
2001-11-01,1.413
2001-12-01,1.223
2002-01-01,1.230
2002-02-01,1.284
2002-03-01,1.432
2002-04-01,1.581
2002-05-01,1.560
2002-06-01,1.579
2002-07-01,1.594
2002-08-01,1.584
2002-09-01,1.571
2002-10-01,1.528
2002-11-01,1.558
2002-12-01,1.523
2003-01-01,1.583
2003-02-01,1.778
2003-03-01,2.053
2003-04-01,1.991
2003-05-01,1.813
2003-06-01,1.760
2003-07-01,1.748
2003-08-01,1.875
2003-09-01,2.013
2003-10-01,1.798
2003-11-01,1.715
2003-12-01,1.659
2004-01-01,1.701
2004-02-01,1.862
2004-03-01,2.063
2004-04-01,2.121
2004-05-01,2.266
2004-06-01,2.270
2004-07-01,2.164
2004-08-01,2.084
2004-09-01,2.087
2004-10-01,2.291
2004-11-01,2.265
2004-12-01,2.082
2005-01-01,1.971
2005-02-01,2.113
2005-03-01,2.291
2005-04-01,2.540
2005-05-01,2.482
2005-06-01,2.377
2005-07-01,2.516
2005-08-01,2.683
2005-09-01,3.017
2005-10-01,2.896
2005-11-01,2.542
2005-12-01,2.300
2006-01-01,2.390
2006-02-01,2.480
2006-03-01,2.567
2006-04-01,2.865
2006-05-01,3.263
2006-06-01,3.195
2006-07-01,3.179
2006-08-01,3.146
2006-09-01,2.895
2006-10-01,2.564
2006-11-01,2.488
2006-12-01,2.570
2007-01-01,2.586
2007-02-01,2.618
2007-03-01,2.970
2007-04-01,3.235
2007-05-01,3.416
2007-06-01,3.278
2007-07-01,3.113
2007-08-01,2.905
2007-09-01,2.888
2007-10-01,3.047
2007-11-01,3.312
2007-12-01,3.274
2008-01-01,3.226
2008-02-01,3.179
2008-03-01,3.530
2008-04-01,3.740
2008-05-01,3.935
2008-06-01,4.423
2008-07-01,4.418
2008-08-01,4.071
2008-09-01,3.806
2008-10-01,3.381
2008-11-01,2.488
2008-12-01,1.875
2009-01-01,2.019
2009-02-01,2.227
2009-03-01,2.210
2009-04-01,2.317
2009-05-01,2.472
2009-06-01,2.894
2009-07-01,2.861
2009-08-01,2.981
2009-09-01,3.067
2009-10-01,2.952
2009-11-01,2.942
2009-12-01,2.905
2010-01-01,2.991
2010-02-01,2.935
2010-03-01,3.049
2010-04-01,3.103
2010-05-01,3.095
2010-06-01,3.072
2010-07-01,3.107
2010-08-01,3.130
2010-09-01,3.022
2010-10-01,3.089
2010-11-01,3.145
2010-12-01,3.236
2011-01-01,3.325
2011-02-01,3.504
2011-03-01,3.897
2011-04-01,4.094
2011-05-01,4.136
2011-06-01,3.914
2011-07-01,3.793
2011-08-01,3.776
2011-09-01,3.904
2011-10-01,3.829
2011-11-01,3.775
2011-12-01,3.585
2012-01-01,3.659
2012-02-01,3.908
2012-03-01,4.276
2012-04-01,4.224
2012-05-01,4.266
2012-06-01,4.067
2012-07-01,3.749
2012-08-01,3.990
2012-09-01,4.125
2012-10-01,4.290
2012-11-01,3.816
2012-12-01,3.553
2013-01-01,3.561
2013-02-01,3.965
2013-03-01,4.077
2013-04-01,3.932
2013-05-01,3.960
2013-06-01,3.954
2013-07-01,3.969
2013-08-01,3.864
2013-09-01,3.878
2013-10-01,3.726
2013-11-01,3.552
2013-12-01,3.541
2014-01-01,3.568
2014-02-01,3.615
2014-03-01,3.847
2014-04-01,4.048
2014-05-01,4.081
2014-06-01,4.064
2014-07-01,4.033
2014-08-01,3.910
2014-09-01,3.779
2014-10-01,3.528
2014-11-01,3.195
2014-12-01,2.875
2015-01-01,2.503
2015-02-01,2.605
2015-03-01,3.158
2015-04-01,3.068
2015-05-01,3.531
2015-06-01,3.420
2015-07-01,3.577
2015-08-01,3.396
2015-09-01,3.022
2015-10-01,2.792
2015-11-01,2.680
2015-12-01,2.627
2016-01-01,2.637
2016-02-01,2.318
2016-03-01,2.491
2016-04-01,2.650
2016-05-01,2.715
2016-06-01,2.792
2016-07-01,2.786
2016-08-01,2.640
2016-09-01,2.698
2016-10-01,2.747
2016-11-01,2.690
2016-12-01,2.637
2017-01-01,2.741
2017-02-01,2.813
2017-03-01,2.915
2017-04-01,2.943
2017-05-01,2.970
2017-06-01,2.948
2017-07-01,2.883
2017-08-01,2.942
2017-09-01,3.088
2017-10-01,3.010
2017-11-01,3.126
2017-12-01,3.046
2018-01-01,3.094
2018-02-01,3.212
2018-03-01,3.274
2018-04-01,3.441
2018-05-01,3.519
2018-06-01,3.517
2018-07-01,3.455
2018-08-01,3.403
2018-09-01,3.421
2018-10-01,3.558
2018-11-01,3.460
2018-12-01,3.215
