DATE,VALUE
1994-04-01,1.118
1994-05-01,1.110
1994-06-01,1.110
1994-07-01,1.117
1994-08-01,1.124
1994-09-01,1.117
1994-10-01,1.115
1994-11-01,1.127
1994-12-01,1.117
1995-01-01,1.113
1995-02-01,1.102
1995-03-01,1.093
1995-04-01,1.098
1995-05-01,1.122
1995-06-01,1.119
1995-07-01,1.103
1995-08-01,1.100
1995-09-01,1.107
1995-10-01,1.102
1995-11-01,1.100
1995-12-01,1.115
1996-01-01,1.150
1996-02-01,1.158
1996-03-01,1.196
1996-04-01,1.271
1996-05-01,1.248
1996-06-01,1.185
1996-07-01,1.170
1996-08-01,1.189
1996-09-01,1.243
1996-10-01,1.317
1996-11-01,1.316
1996-12-01,1.319
1997-01-01,1.312
1997-02-01,1.286
1997-03-01,1.221
1997-04-01,1.196
1997-05-01,1.185
1997-06-01,1.163
1997-07-01,1.151
1997-08-01,1.164
1997-09-01,1.153
1997-10-01,1.183
1997-11-01,1.182
1997-12-01,1.160
1998-01-01,1.129
1998-02-01,1.104
1998-03-01,1.077
1998-04-01,1.073
1998-05-01,1.073
1998-06-01,1.050
1998-07-01,1.038
1998-08-01,1.009
1998-09-01,1.021
1998-10-01,1.039
1998-11-01,1.024
1998-12-01,0.981
1999-01-01,0.976
1999-02-01,0.966
1999-03-01,0.993
1999-04-01,1.053
1999-05-01,1.055
1999-06-01,1.052
1999-07-01,1.101
1999-08-01,1.147
1999-09-01,1.197
1999-10-01,1.216
1999-11-01,1.246
1999-12-01,1.284
2000-01-01,1.397
2000-02-01,1.553
2000-03-01,1.488
2000-04-01,1.419
2000-05-01,1.421
2000-06-01,1.426
2000-07-01,1.440
2000-08-01,1.473
2000-09-01,1.620
2000-10-01,1.618
2000-11-01,1.629
2000-12-01,1.587
2001-01-01,1.558
2001-02-01,1.517
2001-03-01,1.407
2001-04-01,1.431
2001-05-01,1.447
2001-06-01,1.438
2001-07-01,1.374
2001-08-01,1.372
2001-09-01,1.422
2001-10-01,1.315
2001-11-01,1.245
2001-12-01,1.184
2002-01-01,1.184
2002-02-01,1.180
2002-03-01,1.242
2002-04-01,1.310
2002-05-01,1.312
2002-06-01,1.291
2002-07-01,1.302
2002-08-01,1.325
2002-09-01,1.393
2002-10-01,1.448
2002-11-01,1.411
2002-12-01,1.433
2003-01-01,1.514
2003-02-01,1.699
2003-03-01,1.770
2003-04-01,1.600
2003-05-01,1.497
2003-06-01,1.437
2003-07-01,1.442
2003-08-01,1.474
2003-09-01,1.458
2003-10-01,1.474
2003-11-01,1.479
2003-12-01,1.499
2004-01-01,1.584
2004-02-01,1.609
2004-03-01,1.635
2004-04-01,1.649
2004-05-01,1.689
2004-06-01,1.690
2004-07-01,1.720
2004-08-01,1.820
2004-09-01,1.912
2004-10-01,2.138
2004-11-01,2.167
2004-12-01,2.068
2005-01-01,2.019
2005-02-01,2.046
2005-03-01,2.213
2005-04-01,2.288
2005-05-01,2.215
2005-06-01,2.322
2005-07-01,2.394
2005-08-01,2.483
2005-09-01,2.827
2005-10-01,3.062
2005-11-01,2.545
2005-12-01,2.467
2006-01-01,2.509
2006-02-01,2.506
2006-03-01,2.583
2006-04-01,2.748
2006-05-01,2.887
2006-06-01,2.890
2006-07-01,2.910
2006-08-01,2.988
2006-09-01,2.759
2006-10-01,2.538
2006-11-01,2.524
2006-12-01,2.602
2007-01-01,2.470
2007-02-01,2.476
2007-03-01,2.648
2007-04-01,2.815
2007-05-01,2.787
2007-06-01,2.804
2007-07-01,2.852
2007-08-01,2.841
2007-09-01,2.944
2007-10-01,3.066
2007-11-01,3.391
2007-12-01,3.386
2008-01-01,3.374
2008-02-01,3.429
2008-03-01,3.933
2008-04-01,4.140
2008-05-01,4.474
2008-06-01,4.734
2008-07-01,4.762
2008-08-01,4.361
2008-09-01,4.078
2008-10-01,3.647
2008-11-01,2.998
2008-12-01,2.559
2009-01-01,2.374
2009-02-01,2.268
2009-03-01,2.163
2009-04-01,2.264
