DATE,VALUE
1994-03-21,1.119
1994-03-28,1.115
1994-04-04,1.122
1994-04-11,1.119
1994-04-18,1.115
1994-04-25,1.116
1994-05-02,1.113
1994-05-09,1.112
1994-05-16,1.109
1994-05-23,1.108
1994-05-30,1.106
1994-06-06,1.109
1994-06-13,1.106
1994-06-20,1.112
1994-06-27,1.114
1994-07-04,1.117
1994-07-11,1.117
1994-07-18,1.117
1994-07-25,1.118
1994-08-01,1.120
1994-08-08,1.127
1994-08-15,1.127
1994-08-22,1.125
1994-08-29,1.120
1994-09-05,1.122
1994-09-12,1.117
1994-09-19,1.117
1994-09-26,1.113
1994-10-03,1.112
1994-10-10,1.111
1994-10-17,1.112
1994-10-24,1.116
1994-10-31,1.126
1994-11-07,1.126
1994-11-14,1.128
1994-11-21,1.128
1994-11-28,1.124
1994-12-05,1.124
1994-12-12,1.117
1994-12-19,1.114
1994-12-26,1.113
1995-01-02,1.115
1995-01-09,1.112
1995-01-16,1.114
1995-01-23,1.112
1995-01-30,1.110
1995-02-06,1.101
1995-02-13,1.103
1995-02-20,1.102
1995-02-27,1.101
1995-03-06,1.097
1995-03-13,1.094
1995-03-20,1.088
1995-03-27,1.094
1995-04-03,1.090
1995-04-10,1.095
1995-04-17,1.099
1995-04-24,1.107
1995-05-01,1.113
1995-05-08,1.120
1995-05-15,1.123
1995-05-22,1.120
1995-05-29,1.128
1995-06-05,1.120
1995-06-12,1.120
1995-06-19,1.117
1995-06-26,1.116
1995-07-03,1.112
1995-07-10,1.106
1995-07-17,1.102
1995-07-24,1.100
1995-07-31,1.095
1995-08-07,1.099
1995-08-14,1.100
1995-08-21,1.101
1995-08-28,1.101
1995-09-04,1.107
1995-09-11,1.107
1995-09-18,1.107
1995-09-25,1.106
1995-10-02,1.104
1995-10-09,1.100
1995-10-16,1.104
1995-10-23,1.102
1995-10-30,1.098
1995-11-06,1.100
1995-11-13,1.100
1995-11-20,1.098
1995-11-27,1.103
1995-12-04,1.101
1995-12-11,1.109
1995-12-18,1.120
1995-12-25,1.131
1996-01-01,1.147
1996-01-08,1.149
1996-01-15,1.159
1996-01-22,1.152
1996-01-29,1.143
1996-02-05,1.141
1996-02-12,1.142
1996-02-19,1.168
1996-02-26,1.182
1996-03-04,1.190
1996-03-11,1.183
1996-03-18,1.180
1996-03-25,1.231
1996-04-01,1.235
1996-04-08,1.251
1996-04-15,1.299
1996-04-22,1.297
1996-04-29,1.269
1996-05-06,1.272
1996-05-13,1.260
1996-05-20,1.244
1996-05-27,1.226
1996-06-03,1.211
1996-06-10,1.193
1996-06-17,1.179
1996-06-24,1.170
1996-07-01,1.168
1996-07-08,1.168
1996-07-15,1.173
1996-07-22,1.179
1996-07-29,1.171
1996-08-05,1.178
1996-08-12,1.182
1996-08-19,1.190
1996-08-26,1.206
1996-09-02,1.207
1996-09-09,1.224
1996-09-16,1.252
1996-09-23,1.254
1996-09-30,1.276
1996-10-07,1.296
1996-10-14,1.322
1996-10-21,1.325
1996-10-28,1.323
1996-11-04,1.316
1996-11-11,1.306
1996-11-18,1.317
1996-11-25,1.324
1996-12-02,1.324
1996-12-09,1.324
1996-12-16,1.314
1996-12-23,1.320
1996-12-30,1.314
1997-01-06,1.314
1997-01-13,1.317
1997-01-20,1.316
1997-01-27,1.302
1997-02-03,1.302
1997-02-10,1.291
1997-02-17,1.280
1997-02-24,1.270
1997-03-03,1.248
1997-03-10,1.227
1997-03-17,1.212
1997-03-24,1.209
1997-03-31,1.210
1997-04-07,1.203
1997-04-14,1.201
1997-04-21,1.194
1997-04-28,1.187
1997-05-05,1.191
1997-05-12,1.181
1997-05-19,1.182
1997-05-26,1.184
1997-06-02,1.178
1997-06-09,1.173
1997-06-16,1.161
1997-06-23,1.155
1997-06-30,1.149
1997-07-07,1.156
1997-07-14,1.151
1997-07-21,1.148
1997-07-28,1.147
1997-08-04,1.156
1997-08-11,1.168
1997-08-18,1.165
1997-08-25,1.167
1997-09-01,1.158
1997-09-08,1.154
1997-09-15,1.150
1997-09-22,1.150
1997-09-29,1.155
