DATE,VALUE
1994-04-01,1.064
1994-05-01,1.054
1994-06-01,1.062
1994-07-01,1.076
1994-08-01,1.092
1994-09-01,1.089
1994-10-01,1.081
1994-11-01,1.092
1994-12-01,1.074
1995-01-01,1.059
1995-02-01,1.050
1995-03-01,1.046
1995-04-01,1.066
1995-05-01,1.086
1995-06-01,1.080
1995-07-01,1.060
1995-08-01,1.063
1995-09-01,1.084
1995-10-01,1.072
1995-11-01,1.073
1995-12-01,1.085
1996-01-01,1.106
1996-02-01,1.105
1996-03-01,1.151
1996-04-01,1.227
1996-05-01,1.201
1996-06-01,1.141
1996-07-01,1.119
1996-08-01,1.149
1996-09-01,1.215
1996-10-01,1.288
1996-11-01,1.281
1996-12-01,1.271
1997-01-01,1.255
1997-02-01,1.230
1997-03-01,1.176
1997-04-01,1.159
1997-05-01,1.156
1997-06-01,1.145
1997-07-01,1.126
1997-08-01,1.139
1997-09-01,1.130
1997-10-01,1.157
1997-11-01,1.162
1997-12-01,1.141
1998-01-01,1.102
1998-02-01,1.065
1998-03-01,1.041
1998-04-01,1.045
1998-05-01,1.044
1998-06-01,1.017
1998-07-01,1.007
1998-08-01,0.985
1998-09-01,0.998
1998-10-01,1.017
1998-11-01,0.997
1998-12-01,0.945
1999-01-01,0.940
1999-02-01,0.934
1999-03-01,0.964
1999-04-01,1.043
1999-05-01,1.036
1999-06-01,1.028
1999-07-01,1.082
1999-08-01,1.132
1999-09-01,1.181
1999-10-01,1.190
1999-11-01,1.218
1999-12-01,1.257
2000-01-01,1.321
2000-02-01,1.394
2000-03-01,1.426
2000-04-01,1.369
2000-05-01,1.369
2000-06-01,1.368
2000-07-01,1.390
2000-08-01,1.428
2000-09-01,1.586
2000-10-01,1.580
2000-11-01,1.574
2000-12-01,1.496
2001-01-01,1.457
2001-02-01,1.441
2001-03-01,1.339
2001-04-01,1.358
2001-05-01,1.420
2001-06-01,1.433
2001-07-01,1.345
2001-08-01,1.331
2001-09-01,1.414
2001-10-01,1.284
2001-11-01,1.199
2001-12-01,1.123
2002-01-01,1.121
2002-02-01,1.122
2002-03-01,1.200
2002-04-01,1.273
2002-05-01,1.272
2002-06-01,1.247
2002-07-01,1.262
2002-08-01,1.290
2002-09-01,1.369
2002-10-01,1.430
2002-11-01,1.363
2002-12-01,1.377
2003-01-01,1.459
2003-02-01,1.621
2003-03-01,1.637
2003-04-01,1.443
2003-05-01,1.375
2003-06-01,1.367
2003-07-01,1.383
2003-08-01,1.435
2003-09-01,1.407
2003-10-01,1.428
2003-11-01,1.431
2003-12-01,1.442
2004-01-01,1.516
2004-02-01,1.530
2004-03-01,1.568
2004-04-01,1.616
2004-05-01,1.654
2004-06-01,1.634
2004-07-01,1.669
2004-08-01,1.780
2004-09-01,1.871
2004-10-01,2.073
2004-11-01,2.080
2004-12-01,1.939
2005-01-01,1.906
2005-02-01,1.958
2005-03-01,2.148
2005-04-01,2.226
