DATE,VALUE
1994-03-21,1.065
1994-03-28,1.064
1994-04-04,1.069
1994-04-11,1.066
1994-04-18,1.058
1994-04-25,1.062
1994-05-02,1.060
1994-05-09,1.055
1994-05-16,1.054
1994-05-23,1.050
1994-05-30,1.050
1994-06-06,1.056
1994-06-13,1.058
1994-06-20,1.061
1994-06-27,1.073
1994-07-04,1.074
1994-07-11,1.078
1994-07-18,1.078
1994-07-25,1.078
1994-08-01,1.082
1994-08-08,1.098
1994-08-15,1.099
1994-08-22,1.094
1994-08-29,1.088
1994-09-05,1.088
1994-09-12,1.097
1994-09-19,1.088
1994-09-26,1.084
1994-10-03,1.080
1994-10-10,1.074
1994-10-17,1.077
1994-10-24,1.081
1994-10-31,1.093
1994-11-07,1.095
1994-11-14,1.095
1994-11-21,1.091
1994-11-28,1.086
1994-12-05,1.082
1994-12-12,1.076
1994-12-19,1.071
1994-12-26,1.065
1995-01-02,1.063
1995-01-09,1.065
1995-01-16,1.060
1995-01-23,1.056
1995-01-30,1.051
1995-02-06,1.050
1995-02-13,1.050
1995-02-20,1.050
1995-02-27,1.050
1995-03-06,1.051
1995-03-13,1.046
1995-03-20,1.043
1995-03-27,1.042
1995-04-03,1.053
1995-04-10,1.063
1995-04-17,1.070
1995-04-24,1.078
1995-05-01,1.080
1995-05-08,1.087
1995-05-15,1.086
1995-05-22,1.087
1995-05-29,1.087
1995-06-05,1.084
1995-06-12,1.084
1995-06-19,1.078
1995-06-26,1.071
1995-07-03,1.067
1995-07-10,1.063
1995-07-17,1.058
1995-07-24,1.056
1995-07-31,1.055
1995-08-07,1.056
1995-08-14,1.062
1995-08-21,1.064
1995-08-28,1.071
1995-09-04,1.079
1995-09-11,1.084
1995-09-18,1.085
1995-09-25,1.086
1995-10-02,1.080
1995-10-09,1.077
1995-10-16,1.071
1995-10-23,1.069
1995-10-30,1.063
1995-11-06,1.069
1995-11-13,1.073
1995-11-20,1.075
1995-11-27,1.074
1995-12-04,1.076
1995-12-11,1.076
1995-12-18,1.088
1995-12-25,1.099
1996-01-01,1.106
1996-01-08,1.107
1996-01-15,1.117
1996-01-22,1.106
1996-01-29,1.094
1996-02-05,1.088
1996-02-12,1.093
1996-02-19,1.115
1996-02-26,1.125
1996-03-04,1.135
1996-03-11,1.142
1996-03-18,1.139
1996-03-25,1.186
1996-04-01,1.196
1996-04-08,1.218
1996-04-15,1.265
1996-04-22,1.258
1996-04-29,1.214
1996-05-06,1.216
1996-05-13,1.204
1996-05-20,1.200
1996-05-27,1.184
1996-06-03,1.180
1996-06-10,1.158
1996-06-17,1.133
1996-06-24,1.117
1996-07-01,1.109
1996-07-08,1.113
1996-07-15,1.122
1996-07-22,1.129
1996-07-29,1.130
1996-08-05,1.128
1996-08-12,1.138
1996-08-19,1.156
1996-08-26,1.173
1996-09-02,1.179
1996-09-09,1.197
1996-09-16,1.228
1996-09-23,1.228
1996-09-30,1.243
1996-10-07,1.273
1996-10-14,1.294
1996-10-21,1.291
1996-10-28,1.292
1996-11-04,1.286
1996-11-11,1.277
1996-11-18,1.277
1996-11-25,1.283
1996-12-02,1.281
1996-12-09,1.279
1996-12-16,1.271
1996-12-23,1.264
1996-12-30,1.261
1997-01-06,1.255
1997-01-13,1.261
1997-01-20,1.259
1997-01-27,1.245
1997-02-03,1.237
1997-02-10,1.235
1997-02-17,1.225
1997-02-24,1.222
1997-03-03,1.202
1997-03-10,1.175
1997-03-17,1.166
