DATE,VALUE
2007-02-01,2.490
2007-03-01,2.662
2007-04-01,2.833
2007-05-01,2.813
2007-06-01,2.823
2007-07-01,2.867
2007-08-01,2.852
2007-09-01,2.954
2007-10-01,3.081
2007-11-01,3.403
2007-12-01,3.411
2008-01-01,3.402
2008-02-01,3.445
2008-03-01,3.951
2008-04-01,4.161
2008-05-01,4.491
2008-06-01,4.749
2008-07-01,4.775
2008-08-01,4.384
2008-09-01,4.095
2008-10-01,3.663
2008-11-01,3.013
2008-12-01,2.569
2009-01-01,2.387
2009-02-01,2.285
2009-03-01,2.175
2009-04-01,2.273
2009-05-01,2.274
2009-06-01,2.553
2009-07-01,2.562
2009-08-01,2.666
2009-09-01,2.640
2009-10-01,2.686
2009-11-01,2.815
2009-12-01,2.768
2010-01-01,2.893
2010-02-01,2.839
2010-03-01,2.948
2010-04-01,3.071
2010-05-01,3.088
2010-06-01,2.971
2010-07-01,2.928
2010-08-01,2.959
2010-09-01,2.938
2010-10-01,3.050
2010-11-01,3.140
2010-12-01,3.257
2011-01-01,3.429
2011-02-01,3.634
2011-03-01,3.936
2011-04-01,4.070
2011-05-01,4.059
2011-06-01,3.950
2011-07-01,3.937
2011-08-01,3.894
2011-09-01,3.856
2011-10-01,3.808
2011-11-01,3.944
2011-12-01,3.891
2012-01-01,3.916
2012-02-01,4.041
2012-03-01,4.178
2012-04-01,4.167
2012-05-01,4.025
2012-06-01,3.797
2012-07-01,3.768
2012-08-01,3.975
2012-09-01,4.109
2012-10-01,4.090
2012-11-01,4.054
2012-12-01,4.041
2013-01-01,4.008
2013-02-01,4.160
2013-03-01,4.105
2013-04-01,3.964
2013-05-01,3.866
2013-06-01,3.841
2013-07-01,3.875
2013-08-01,3.916
2013-09-01,3.969
2013-10-01,3.902
2013-11-01,3.861
2013-12-01,3.919
2014-01-01,3.958
2014-02-01,4.116
2014-03-01,4.132
2014-04-01,4.070
2014-05-01,4.036
2014-06-01,3.985
2014-07-01,3.944
2014-08-01,3.881
2014-09-01,3.819
2014-10-01,3.690
2014-11-01,3.557
2014-12-01,3.384
2015-01-01,3.081
2015-02-01,2.957
2015-03-01,3.058
2015-04-01,2.935
2015-05-01,2.999
2015-06-01,2.972
2015-07-01,2.884
2015-08-01,2.683
2015-09-01,2.563
2015-10-01,2.525
2015-11-01,2.486
2015-12-01,2.346
2016-01-01,2.201
2016-02-01,2.076
2016-03-01,2.145
2016-04-01,2.208
2016-05-01,2.344
2016-06-01,2.443
2016-07-01,2.415
2016-08-01,2.353
2016-09-01,2.398
2016-10-01,2.451
2016-11-01,2.454
2016-12-01,2.538
2017-01-01,2.632
2017-02-01,2.627
2017-03-01,2.609
2017-04-01,2.622
2017-05-01,2.605
2017-06-01,2.556
2017-07-01,2.538
2017-08-01,2.619
2017-09-01,2.810
2017-10-01,2.803
2017-11-01,2.884
2017-12-01,2.902
2018-01-01,3.052
2018-02-01,3.096
2018-03-01,3.029
2018-04-01,3.110
2018-05-01,3.243
2018-06-01,3.250
2018-07-01,3.228
2018-08-01,3.217
2018-09-01,3.247
2018-10-01,3.350
2018-11-01,3.304
2018-12-01,3.166
