DATE,VALUE
2007-02-05,2.451
2007-02-12,2.478
2007-02-19,2.494
2007-02-26,2.538
2007-03-05,2.619
2007-03-12,2.681
2007-03-19,2.675
2007-03-26,2.673
2007-04-02,2.782
2007-04-09,2.830
2007-04-16,2.875
2007-04-23,2.850
2007-04-30,2.829
2007-05-07,2.813
2007-05-14,2.787
2007-05-21,2.820
2007-05-28,2.833
2007-06-04,2.815
2007-06-11,2.812
2007-06-18,2.818
2007-06-25,2.846
2007-07-02,2.841
2007-07-09,2.866
2007-07-16,2.888
2007-07-23,2.877
2007-07-30,2.862
2007-08-06,2.878
2007-08-13,2.834
2007-08-20,2.851
2007-08-27,2.844
2007-09-03,2.876
2007-09-10,2.921
2007-09-17,2.973
2007-09-24,3.047
2007-10-01,3.062
2007-10-08,3.045
2007-10-15,3.039
2007-10-22,3.096
2007-10-29,3.163
2007-11-05,3.299
2007-11-12,3.423
2007-11-19,3.423
2007-11-26,3.467
2007-12-03,3.463
2007-12-10,3.398
2007-12-17,3.387
2007-12-24,3.384
2007-12-31,3.421
2008-01-07,3.458
2008-01-14,3.420
2008-01-21,3.375
2008-01-28,3.353
2008-02-04,3.358
2008-02-11,3.344
2008-02-18,3.459
2008-02-25,3.619
2008-03-03,3.715
2008-03-10,3.886
2008-03-17,4.054
2008-03-24,4.062
2008-03-31,4.036
2008-04-07,4.027
2008-04-14,4.137
2008-04-21,4.229
2008-04-28,4.250
2008-05-05,4.218
2008-05-12,4.396
2008-05-19,4.558
2008-05-26,4.791
2008-06-02,4.772
2008-06-09,4.758
2008-06-16,4.768
2008-06-23,4.725
2008-06-30,4.723
2008-07-07,4.799
2008-07-14,4.832
2008-07-21,4.787
2008-07-28,4.682
2008-08-04,4.584
2008-08-11,4.444
2008-08-18,4.286
2008-08-25,4.220
2008-09-01,4.189
2008-09-08,4.124
2008-09-15,4.095
2008-09-22,4.033
2008-09-29,4.032
2008-10-06,3.944
2008-10-13,3.727
2008-10-20,3.569
2008-10-27,3.412
2008-11-03,3.234
2008-11-10,3.077
2008-11-17,2.939
2008-11-24,2.800
2008-12-01,2.744
2008-12-08,2.638
2008-12-15,2.547
2008-12-22,2.482
2008-12-29,2.435
2009-01-05,2.391
2009-01-12,2.407
2009-01-19,2.391
2009-01-26,2.358
2009-02-02,2.341
2009-02-09,2.315
2009-02-16,2.268
2009-02-23,2.216
2009-03-02,2.170
2009-03-09,2.138
2009-03-16,2.107
2009-03-23,2.173
2009-03-30,2.288
2009-04-06,2.285
2009-04-13,2.281
2009-04-20,2.274
2009-04-27,2.252
2009-05-04,2.238
2009-05-11,2.265
2009-05-18,2.283
2009-05-25,2.309
2009-06-01,2.371
2009-06-08,2.519
2009-06-15,2.605
2009-06-22,2.639
2009-06-29,2.633
2009-07-06,2.614
