DATE,VALUE
2007-02-01,2.415
2007-03-01,2.625
2007-04-01,2.796
2007-05-01,2.750
2007-06-01,2.763
2007-07-01,2.802
2007-08-01,2.805
2007-09-01,2.895
2007-10-01,2.988
2007-11-01,3.316
2007-12-01,3.282
2008-01-01,3.260
2008-02-01,3.343
2008-03-01,3.833
2008-04-01,4.024
2008-05-01,4.370
2008-06-01,4.640
2008-07-01,4.680
2008-08-01,4.253
2008-09-01,3.993
2008-10-01,3.540
2008-11-01,2.823
2008-12-01,2.400
2009-01-01,2.228
2009-02-01,2.140
2009-03-01,2.058
2009-04-01,2.193
2009-05-01,2.201
2009-06-01,2.498
2009-07-01,2.496
2009-08-01,2.589
2009-09-01,2.551
2009-10-01,2.610
2009-11-01,2.739
2009-12-01,2.699
2010-01-01,2.807
2010-02-01,2.746
2010-03-01,2.879
2010-04-01,3.019
2010-05-01,3.025
2010-06-01,2.894
2010-07-01,2.864
2010-08-01,2.914
2010-09-01,2.884
2010-10-01,2.967
2010-11-01,3.055
2010-12-01,3.176
2011-01-01,3.339
2011-02-01,3.531
2011-03-01,3.838
2011-04-01,3.991
2011-05-01,3.979
2011-06-01,3.876
2011-07-01,3.862
2011-08-01,3.823
2011-09-01,3.771
2011-10-01,3.725
2011-11-01,3.860
2011-12-01,3.764
2012-01-01,3.757
2012-02-01,3.878
2012-03-01,4.041
2012-04-01,4.025
2012-05-01,3.885
2012-06-01,3.678
2012-07-01,3.639
2012-08-01,3.875
2012-09-01,4.018
2012-10-01,3.993
2012-11-01,3.891
2012-12-01,3.857
2013-01-01,3.834
2013-02-01,4.024
2013-03-01,4.006
2013-04-01,3.843
2013-05-01,3.756
2013-06-01,3.750
2013-07-01,3.794
2013-08-01,3.829
2013-09-01,3.875
2013-10-01,3.796
2013-11-01,3.755
2013-12-01,3.776
2014-01-01,3.781
2014-02-01,3.788
2014-03-01,3.803
2014-04-01,3.807
2014-05-01,3.796
2014-06-01,3.790
2014-07-01,3.782
2014-08-01,3.744
2014-09-01,3.704
2014-10-01,3.613
2014-11-01,3.537
2014-12-01,3.312
2015-01-01,2.910
2015-02-01,2.777
2015-03-01,2.749
2015-04-01,2.651
2015-05-01,2.780
2015-06-01,2.769
2015-07-01,2.676
2015-08-01,2.458
2015-09-01,2.353
2015-10-01,2.322
2015-11-01,2.289
2015-12-01,2.191
2016-01-01,2.041
2016-02-01,1.884
2016-03-01,1.972
2016-04-01,2.024
2016-05-01,2.182
2016-06-01,2.292
2016-07-01,2.262
2016-08-01,2.221
2016-09-01,2.248
2016-10-01,2.326
2016-11-01,2.311
2016-12-01,2.391
2017-01-01,2.430
2017-02-01,2.423
2017-03-01,2.402
2017-04-01,2.444
2017-05-01,2.407
2017-06-01,2.355
2017-07-01,2.329
2017-08-01,2.414
2017-09-01,2.631
2017-10-01,2.616
2017-11-01,2.692
2017-12-01,2.706
2018-01-01,2.813
2018-02-01,2.835
2018-03-01,2.796
2018-04-01,2.897
2018-05-01,3.019
2018-06-01,3.022
2018-07-01,3.000
2018-08-01,2.993
2018-09-01,3.046
2018-10-01,3.138
2018-11-01,3.068
2018-12-01,2.907
