DATE,VALUE
2007-02-01,2.464
2007-03-01,2.661
2007-04-01,2.831
2007-05-01,2.784
2007-06-01,2.795
2007-07-01,2.870
2007-08-01,2.881
2007-09-01,2.986
2007-10-01,3.077
2007-11-01,3.394
2007-12-01,3.326
2008-01-01,3.289
2008-02-01,3.358
2008-03-01,3.865
2008-04-01,4.053
2008-05-01,4.392
2008-06-01,4.615
2008-07-01,4.638
2008-08-01,4.236
2008-09-01,4.001
2008-10-01,3.570
2008-11-01,2.844
2008-12-01,2.441
2009-01-01,2.278
2009-02-01,2.154
2009-03-01,2.041
2009-04-01,2.169
2009-05-01,2.175
2009-06-01,2.505
2009-07-01,2.517
2009-08-01,2.612
2009-09-01,2.609
2009-10-01,2.662
2009-11-01,2.776
2009-12-01,2.727
2010-01-01,2.815
2010-02-01,2.744
2010-03-01,2.886
2010-04-01,3.037
2010-05-01,3.041
2010-06-01,2.916
2010-07-01,2.879
2010-08-01,2.931
2010-09-01,2.923
2010-10-01,3.039
2010-11-01,3.124
2010-12-01,3.222
2011-01-01,3.353
2011-02-01,3.533
2011-03-01,3.855
2011-04-01,4.025
2011-05-01,4.001
2011-06-01,3.885
2011-07-01,3.880
2011-08-01,3.840
2011-09-01,3.808
2011-10-01,3.754
2011-11-01,3.952
2011-12-01,3.807
2012-01-01,3.723
2012-02-01,3.843
2012-03-01,4.019
2012-04-01,4.013
2012-05-01,3.877
2012-06-01,3.676
2012-07-01,3.682
2012-08-01,3.971
2012-09-01,4.062
2012-10-01,4.058
2012-11-01,3.950
2012-12-01,3.937
2013-01-01,3.854
2013-02-01,4.078
2013-03-01,4.031
2013-04-01,3.911
2013-05-01,3.907
2013-06-01,3.871
2013-07-01,3.850
2013-08-01,3.873
2013-09-01,3.942
2013-10-01,3.855
2013-11-01,3.812
2013-12-01,3.867
2014-01-01,3.862
2014-02-01,3.982
2014-03-01,3.992
2014-04-01,3.942
2014-05-01,3.910
2014-06-01,3.860
2014-07-01,3.828
2014-08-01,3.782
2014-09-01,3.731
2014-10-01,3.631
2014-11-01,3.735
2014-12-01,3.460
2015-01-01,2.951
2015-02-01,2.788
2015-03-01,2.803
2015-04-01,2.665
2015-05-01,2.764
2015-06-01,2.762
2015-07-01,2.682
2015-08-01,2.509
2015-09-01,2.459
2015-10-01,2.566
2015-11-01,2.478
2015-12-01,2.258
2016-01-01,2.059
2016-02-01,1.927
2016-03-01,2.054
2016-04-01,2.104
2016-05-01,2.282
2016-06-01,2.382
2016-07-01,2.371
2016-08-01,2.317
2016-09-01,2.372
2016-10-01,2.425
2016-11-01,2.381
2016-12-01,2.461
2017-01-01,2.528
2017-02-01,2.493
2017-03-01,2.479
2017-04-01,2.516
2017-05-01,2.494
2017-06-01,2.439
2017-07-01,2.440
2017-08-01,2.562
2017-09-01,2.736
2017-10-01,2.766
2017-11-01,2.876
2017-12-01,2.862
2018-01-01,2.973
2018-02-01,2.995
2018-03-01,2.913
2018-04-01,3.013
2018-05-01,3.179
2018-06-01,3.185
2018-07-01,3.163
2018-08-01,3.143
2018-09-01,3.203
2018-10-01,3.325
2018-11-01,3.237
2018-12-01,3.010
