DATE,VALUE
2007-02-05,2.398
2007-02-12,2.454
2007-02-19,2.461
2007-02-26,2.542
2007-03-05,2.617
2007-03-12,2.681
2007-03-19,2.677
2007-03-26,2.668
2007-04-02,2.791
2007-04-09,2.850
2007-04-16,2.874
2007-04-23,2.847
2007-04-30,2.794
2007-05-07,2.779
2007-05-14,2.762
2007-05-21,2.792
2007-05-28,2.802
2007-06-04,2.787
2007-06-11,2.779
2007-06-18,2.792
2007-06-25,2.820
2007-07-02,2.819
2007-07-09,2.832
2007-07-16,2.896
2007-07-23,2.899
2007-07-30,2.902
2007-08-06,2.904
2007-08-13,2.855
2007-08-20,2.878
2007-08-27,2.885
2007-09-03,2.925
2007-09-10,2.957
2007-09-17,2.996
2007-09-24,3.065
2007-10-01,3.075
2007-10-08,3.045
2007-10-15,3.044
2007-10-22,3.085
2007-10-29,3.137
2007-11-05,3.291
2007-11-12,3.425
2007-11-19,3.416
2007-11-26,3.444
2007-12-03,3.413
2007-12-10,3.306
2007-12-17,3.292
2007-12-24,3.295
2007-12-31,3.325
2008-01-07,3.361
2008-01-14,3.309
2008-01-21,3.249
2008-01-28,3.236
2008-02-04,3.258
2008-02-11,3.264
2008-02-18,3.377
2008-02-25,3.534
2008-03-03,3.652
2008-03-10,3.789
2008-03-17,3.966
2008-03-24,3.975
2008-03-31,3.944
2008-04-07,3.931
2008-04-14,4.025
2008-04-21,4.110
2008-04-28,4.144
2008-05-05,4.116
2008-05-12,4.305
2008-05-19,4.469
2008-05-26,4.677
2008-06-02,4.653
2008-06-09,4.625
2008-06-16,4.629
2008-06-23,4.586
2008-06-30,4.583
2008-07-07,4.660
2008-07-14,4.705
2008-07-21,4.661
2008-07-28,4.527
2008-08-04,4.432
2008-08-11,4.281
2008-08-18,4.142
2008-08-25,4.088
2008-09-01,4.082
2008-09-08,4.036
2008-09-15,3.991
2008-09-22,3.946
2008-09-29,3.952
2008-10-06,3.879
2008-10-13,3.661
2008-10-20,3.474
2008-10-27,3.265
2008-11-03,3.034
2008-11-10,2.910
2008-11-17,2.788
2008-11-24,2.644
2008-12-01,2.592
2008-12-08,2.504
2008-12-15,2.415
2008-12-22,2.369
2008-12-29,2.325
2009-01-05,2.282
2009-01-12,2.304
2009-01-19,2.281
2009-01-26,2.245
2009-02-02,2.212
2009-02-09,2.183
2009-02-16,2.144
2009-02-23,2.076
2009-03-02,2.034
2009-03-09,1.988
2009-03-16,1.964
2009-03-23,2.037
2009-03-30,2.180
2009-04-06,2.182
2009-04-13,2.179
2009-04-20,2.169
2009-04-27,2.145
2009-05-04,2.127
2009-05-11,2.160
2009-05-18,2.176
2009-05-25,2.236
2009-06-01,2.325
2009-06-08,2.478
2009-06-15,2.550
2009-06-22,2.591
2009-06-29,2.583
2009-07-06,2.569
2009-07-13,2.518
2009-07-20,2.475
2009-07-27,2.504
2009-08-03,2.526
2009-08-10,2.607
2009-08-17,2.629
2009-08-24,2.641
2009-08-31,2.656
2009-09-07,2.632
2009-09-14,2.611
2009-09-21,2.602
2009-09-28,2.589
2009-10-05,2.568
2009-10-12,2.586
2009-10-19,2.697
2009-10-26,2.798
2009-11-02,2.792
2009-11-09,2.784
2009-11-16,2.776
2009-11-23,2.770
2009-11-30,2.756
2009-12-07,2.750
2009-12-14,2.727
2009-12-21,2.716
2009-12-28,2.714
2010-01-04,2.776
2010-01-11,2.848
2010-01-18,2.839
2010-01-25,2.796
2010-02-01,2.739
2010-02-08,2.732
2010-02-15,2.710
2010-02-22,2.793
2010-03-01,2.828
2010-03-08,2.870
2010-03-15,2.896
2010-03-22,2.923
2010-03-29,2.911
2010-04-05,2.989
2010-04-12,3.050
2010-04-19,3.050
2010-04-26,3.057
2010-05-03,3.100
2010-05-10,3.106
2010-05-17,3.070
2010-05-24,2.988
2010-05-31,2.942
2010-06-07,2.906
2010-06-14,2.893
2010-06-21,2.935
2010-06-28,2.931
2010-07-05,2.893
2010-07-12,2.866
2010-07-19,2.866
2010-07-26,2.891
2010-08-02,2.900
2010-08-09,2.966
2010-08-16,2.953
2010-08-23,2.927
2010-08-30,2.909
2010-09-06,2.900
2010-09-13,2.920
2010-09-20,2.944
2010-09-27,2.928
2010-10-04,2.990
2010-10-11,3.055
2010-10-18,3.063
2010-10-25,3.048
2010-11-01,3.049
2010-11-08,3.102
2010-11-15,3.167
2010-11-22,3.156
2010-11-29,3.144
2010-12-06,3.175
2010-12-13,3.205
2010-12-20,3.229
2010-12-27,3.278
2011-01-03,3.303
2011-01-10,3.302
2011-01-17,3.371
2011-01-24,3.392
2011-01-31,3.399
