DATE,VALUE
2007-02-01,2.544
2007-03-01,2.742
2007-04-01,2.962
2007-05-01,2.998
2007-06-01,2.941
2007-07-01,2.978
2007-08-01,2.986
2007-09-01,2.979
2007-10-01,3.189
2007-11-01,3.497
2007-12-01,3.353
2008-01-01,3.256
2008-02-01,3.341
2008-03-01,3.827
2008-04-01,4.070
2008-05-01,4.386
2008-06-01,4.677
2008-07-01,4.695
2008-08-01,4.410
2008-09-01,4.052
2008-10-01,3.632
2008-11-01,2.900
2008-12-01,2.385
2009-01-01,2.236
2009-02-01,2.196
2009-03-01,2.057
2009-04-01,2.251
2009-05-01,2.277
2009-06-01,2.510
2009-07-01,2.590
2009-08-01,2.620
2009-09-01,2.674
2009-10-01,2.692
2009-11-01,2.817
2009-12-01,2.763
2010-01-01,2.800
2010-02-01,2.794
2010-03-01,2.917
2010-04-01,3.092
2010-05-01,3.132
2010-06-01,2.986
2010-07-01,2.915
2010-08-01,2.995
2010-09-01,3.026
2010-10-01,3.087
2010-11-01,3.231
2010-12-01,3.291
2011-01-01,3.365
2011-02-01,3.559
2011-03-01,3.904
2011-04-01,4.094
2011-05-01,4.113
2011-06-01,3.962
2011-07-01,3.841
2011-08-01,3.837
2011-09-01,3.888
2011-10-01,3.885
2011-11-01,4.077
2011-12-01,3.950
2012-01-01,3.827
2012-02-01,3.859
2012-03-01,4.078
2012-04-01,4.109
2012-05-01,3.997
2012-06-01,3.851
2012-07-01,3.697
2012-08-01,3.996
2012-09-01,4.236
2012-10-01,4.221
2012-11-01,4.095
2012-12-01,3.866
2013-01-01,3.691
2013-02-01,3.974
2013-03-01,3.991
2013-04-01,3.872
2013-05-01,3.834
2013-06-01,3.854
2013-07-01,3.848
2013-08-01,3.927
2013-09-01,3.936
2013-10-01,3.886
2013-11-01,3.842
2013-12-01,3.861
2014-01-01,3.878
2014-02-01,3.896
2014-03-01,3.987
2014-04-01,3.964
2014-05-01,3.962
2014-06-01,3.913
2014-07-01,3.896
2014-08-01,3.875
2014-09-01,3.848
2014-10-01,3.747
2014-11-01,3.754
2014-12-01,3.493
2015-01-01,2.966
2015-02-01,2.773
2015-03-01,2.780
2015-04-01,2.718
2015-05-01,2.795
2015-06-01,2.809
2015-07-01,2.769
2015-08-01,2.621
2015-09-01,2.532
2015-10-01,2.512
2015-11-01,2.480
2015-12-01,2.329
2016-01-01,2.105
2016-02-01,1.898
2016-03-01,2.019
2016-04-01,2.160
2016-05-01,2.318
2016-06-01,2.411
2016-07-01,2.438
2016-08-01,2.424
2016-09-01,2.482
2016-10-01,2.522
2016-11-01,2.482
2016-12-01,2.479
2017-01-01,2.532
2017-02-01,2.542
2017-03-01,2.607
2017-04-01,2.644
2017-05-01,2.647
2017-06-01,2.631
2017-07-01,2.594
2017-08-01,2.701
2017-09-01,2.818
2017-10-01,2.892
2017-11-01,2.997
2017-12-01,2.979
2018-01-01,2.972
2018-02-01,2.961
2018-03-01,2.932
2018-04-01,3.133
2018-05-01,3.317
2018-06-01,3.341
2018-07-01,3.366
2018-08-01,3.358
2018-09-01,3.362
2018-10-01,3.394
2018-11-01,3.369
2018-12-01,3.178
