DATE,VALUE
2007-02-01,2.782
2007-03-01,2.815
2007-04-01,2.942
2007-05-01,2.936
2007-06-01,2.962
2007-07-01,3.032
2007-08-01,3.020
2007-09-01,3.008
2007-10-01,3.251
2007-11-01,3.577
2007-12-01,3.461
2008-01-01,3.391
2008-02-01,3.442
2008-03-01,3.955
2008-04-01,4.208
2008-05-01,4.574
2008-06-01,4.854
2008-07-01,4.860
2008-08-01,4.462
2008-09-01,4.074
2008-10-01,3.538
2008-11-01,2.839
2008-12-01,2.370
2009-01-01,2.327
2009-02-01,2.285
2009-03-01,2.170
2009-04-01,2.325
2009-05-01,2.345
2009-06-01,2.635
2009-07-01,2.647
2009-08-01,2.741
2009-09-01,2.783
2009-10-01,2.801
2009-11-01,2.902
2009-12-01,2.852
2010-01-01,2.935
2010-02-01,2.875
2010-03-01,3.004
2010-04-01,3.179
2010-05-01,3.179
2010-06-01,3.076
2010-07-01,3.059
2010-08-01,3.108
2010-09-01,3.112
2010-10-01,3.224
2010-11-01,3.292
2010-12-01,3.363
2011-01-01,3.492
2011-02-01,3.731
2011-03-01,4.099
2011-04-01,4.285
2011-05-01,4.249
2011-06-01,4.134
2011-07-01,4.012
2011-08-01,3.915
2011-09-01,3.975
2011-10-01,4.001
2011-11-01,4.153
2011-12-01,4.034
2012-01-01,4.022
2012-02-01,4.162
2012-03-01,4.414
2012-04-01,4.379
2012-05-01,4.247
2012-06-01,3.958
2012-07-01,3.837
2012-08-01,4.180
2012-09-01,4.392
2012-10-01,4.290
2012-11-01,4.123
2012-12-01,4.023
2013-01-01,4.007
2013-02-01,4.258
2013-03-01,4.193
2013-04-01,4.048
2013-05-01,3.972
2013-06-01,3.958
2013-07-01,3.997
2013-08-01,4.057
2013-09-01,4.119
2013-10-01,4.046
2013-11-01,3.975
2013-12-01,3.997
2014-01-01,3.994
2014-02-01,4.007
2014-03-01,4.020
2014-04-01,4.012
2014-05-01,4.034
2014-06-01,4.027
2014-07-01,4.041
2014-08-01,4.014
2014-09-01,4.004
2014-10-01,3.865
2014-11-01,3.764
2014-12-01,3.471
2015-01-01,3.075
2015-02-01,2.968
2015-03-01,3.041
2015-04-01,2.956
2015-05-01,3.147
2015-06-01,3.110
2015-07-01,3.017
2015-08-01,2.815
2015-09-01,2.721
2015-10-01,2.708
2015-11-01,2.677
2015-12-01,2.535
2016-01-01,2.394
2016-02-01,2.215
2016-03-01,2.283
2016-04-01,2.357
2016-05-01,2.550
2016-06-01,2.703
2016-07-01,2.692
2016-08-01,2.618
2016-09-01,2.656
2016-10-01,2.725
2016-11-01,2.745
2016-12-01,2.784
2017-01-01,2.853
2017-02-01,2.870
2017-03-01,2.843
2017-04-01,2.863
2017-05-01,2.841
2017-06-01,2.795
2017-07-01,2.781
2017-08-01,2.880
2017-09-01,3.088
2017-10-01,3.099
2017-11-01,3.370
2017-12-01,3.339
2018-01-01,3.397
2018-02-01,3.422
2018-03-01,3.400
2018-04-01,3.565
2018-05-01,3.736
2018-06-01,3.760
2018-07-01,3.735
2018-08-01,3.714
2018-09-01,3.751
2018-10-01,3.853
2018-11-01,3.787
2018-12-01,3.620
