DATE,VALUE
2007-02-05,2.736
2007-02-12,2.791
2007-02-19,2.796
2007-02-26,2.806
2007-03-05,2.805
2007-03-12,2.820
2007-03-19,2.822
2007-03-26,2.811
2007-04-02,2.893
2007-04-09,2.930
2007-04-16,2.965
2007-04-23,2.962
2007-04-30,2.961
2007-05-07,2.943
2007-05-14,2.927
2007-05-21,2.928
2007-05-28,2.946
2007-06-04,2.939
2007-06-11,2.949
2007-06-18,2.968
2007-06-25,2.993
2007-07-02,2.982
2007-07-09,2.996
2007-07-16,3.042
2007-07-23,3.073
2007-07-30,3.066
2007-08-06,3.083
2007-08-13,3.023
2007-08-20,3.001
2007-08-27,2.973
2007-09-03,2.976
2007-09-10,2.986
2007-09-17,3.006
2007-09-24,3.062
2007-10-01,3.100
2007-10-08,3.178
2007-10-15,3.240
2007-10-22,3.334
2007-10-29,3.405
2007-11-05,3.514
2007-11-12,3.610
2007-11-19,3.592
2007-11-26,3.591
2007-12-03,3.543
2007-12-10,3.451
2007-12-17,3.425
2007-12-24,3.422
2007-12-31,3.463
2008-01-07,3.484
2008-01-14,3.431
2008-01-21,3.336
2008-01-28,3.313
2008-02-04,3.336
2008-02-11,3.357
2008-02-18,3.462
2008-02-25,3.612
2008-03-03,3.740
2008-03-10,3.891
2008-03-17,4.025
2008-03-24,4.063
2008-03-31,4.057
2008-04-07,4.059
2008-04-14,4.186
2008-04-21,4.265
2008-04-28,4.323
2008-05-05,4.313
2008-05-12,4.467
2008-05-19,4.620
2008-05-26,4.894
2008-06-02,4.884
2008-06-09,4.880
2008-06-16,4.861
2008-06-23,4.822
2008-06-30,4.823
2008-07-07,4.893
2008-07-14,4.916
2008-07-21,4.855
2008-07-28,4.775
2008-08-04,4.674
2008-08-11,4.522
2008-08-18,4.364
2008-08-25,4.289
2008-09-01,4.255
2008-09-08,4.161
2008-09-15,4.061
2008-09-22,3.948
2008-09-29,3.945
2008-10-06,3.850
2008-10-13,3.625
2008-10-20,3.435
2008-10-27,3.240
2008-11-03,3.057
2008-11-10,2.915
2008-11-17,2.772
2008-11-24,2.613
2008-12-01,2.560
2008-12-08,2.426
2008-12-15,2.309
2008-12-22,2.278
2008-12-29,2.278
2009-01-05,2.281
2009-01-12,2.359
2009-01-19,2.344
2009-01-26,2.325
2009-02-02,2.309
2009-02-09,2.298
2009-02-16,2.291
2009-02-23,2.243
2009-03-02,2.190
2009-03-09,2.126
2009-03-16,2.098
2009-03-23,2.151
2009-03-30,2.285
2009-04-06,2.312
2009-04-13,2.338
2009-04-20,2.332
2009-04-27,2.319
2009-05-04,2.309
2009-05-11,2.335
2009-05-18,2.346
2009-05-25,2.389
2009-06-01,2.464
2009-06-08,2.608
2009-06-15,2.660
2009-06-22,2.725
2009-06-29,2.717
2009-07-06,2.712
2009-07-13,2.648
2009-07-20,2.605
2009-07-27,2.623
2009-08-03,2.652
2009-08-10,2.707
2009-08-17,2.748
2009-08-24,2.790
2009-08-31,2.806
2009-09-07,2.791
2009-09-14,2.801
2009-09-21,2.790
2009-09-28,2.751
2009-10-05,2.730
2009-10-12,2.740
2009-10-19,2.825
2009-10-26,2.907
2009-11-02,2.914
2009-11-09,2.910
2009-11-16,2.901
2009-11-23,2.898
2009-11-30,2.889
2009-12-07,2.885
2009-12-14,2.856
2009-12-21,2.825
2009-12-28,2.841
2010-01-04,2.908
2010-01-11,2.971
2010-01-18,2.947
2010-01-25,2.915
2010-02-01,2.876
2010-02-08,2.860
2010-02-15,2.846
2010-02-22,2.918
2010-03-01,2.956
2010-03-08,3.003
2010-03-15,3.005
2010-03-22,3.027
2010-03-29,3.027
2010-04-05,3.113
2010-04-12,3.187
2010-04-19,3.203
2010-04-26,3.211
2010-05-03,3.243
2010-05-10,3.233
2010-05-17,3.204
2010-05-24,3.132
2010-05-31,3.082
2010-06-07,3.058
2010-06-14,3.054
2010-06-21,3.093
2010-06-28,3.099
2010-07-05,3.077
2010-07-12,3.057
2010-07-19,3.042
2010-07-26,3.060
2010-08-02,3.071
2010-08-09,3.124
2010-08-16,3.129
2010-08-23,3.114
2010-08-30,3.101
2010-09-06,3.104
2010-09-13,3.101
2010-09-20,3.120
2010-09-27,3.121
2010-10-04,3.165
2010-10-11,3.239
2010-10-18,3.249
2010-10-25,3.243
2010-11-01,3.242
2010-11-08,3.273
2010-11-15,3.329
2010-11-22,3.316
2010-11-29,3.300
2010-12-06,3.321
2010-12-13,3.361
2010-12-20,3.366
2010-12-27,3.405
2011-01-03,3.443
2011-01-10,3.445
2011-01-17,3.509
2011-01-24,3.531
2011-01-31,3.533
2011-02-07,3.630
2011-02-14,3.671
2011-02-21,3.729
2011-02-28,3.892
2011-03-07,4.046
2011-03-14,4.091
2011-03-21,4.104
2011-03-28,4.155
2011-04-04,4.209
2011-04-11,4.308
2011-04-18,4.319
2011-04-25,4.305
2011-05-02,4.328
2011-05-09,4.307
2011-05-16,4.248
2011-05-23,4.201
2011-05-30,4.161
2011-06-06,4.146
2011-06-13,4.163
2011-06-20,4.156
2011-06-27,4.069
2011-07-04,3.993
2011-07-11,4.012
2011-07-18,4.005
2011-07-25,4.038
2011-08-01,4.000
2011-08-08,3.949
2011-08-15,3.863
2011-08-22,3.855
2011-08-29,3.908
2011-09-05,3.981
2011-09-12,3.984
2011-09-19,3.977
2011-09-26,3.957
2011-10-03,3.927
2011-10-10,3.910
2011-10-17,4.010
2011-10-24,4.049
2011-10-31,4.107
2011-11-07,4.109
2011-11-14,4.171
2011-11-21,4.191
2011-11-28,4.142
2011-12-05,4.105
2011-12-12,4.061
2011-12-19,3.992
2011-12-26,3.978
2012-01-02,3.979
2012-01-09,4.026
2012-01-16,4.037
2012-01-23,4.037
2012-01-30,4.033
2012-02-06,4.036
2012-02-13,4.121
2012-02-20,4.164
2012-02-27,4.326
2012-03-05,4.372
2012-03-12,4.421
2012-03-19,4.431
2012-03-26,4.433
2012-04-02,4.420
2012-04-09,4.411
2012-04-16,4.389
2012-04-23,4.345
2012-04-30,4.330
2012-05-07,4.312
2012-05-14,4.277
2012-05-21,4.233
2012-05-28,4.164
2012-06-04,4.101
2012-06-11,3.991
2012-06-18,3.899
2012-06-25,3.839
2012-07-02,3.787
2012-07-09,3.798
2012-07-16,3.803
2012-07-23,3.901
2012-07-30,3.898
2012-08-06,3.959
2012-08-13,4.152
2012-08-20,4.254
2012-08-27,4.353
2012-09-03,4.424
2012-09-10,4.423
2012-09-17,4.399
2012-09-24,4.323
2012-10-01,4.301
2012-10-08,4.319
2012-10-15,4.346
2012-10-22,4.298
2012-10-29,4.187
2012-11-05,4.153
2012-11-12,4.131
2012-11-19,4.094
2012-11-26,4.115
2012-12-03,4.097
2012-12-10,4.042
2012-12-17,3.997
2012-12-24,3.989
2012-12-31,3.991
2013-01-07,3.988
2013-01-14,3.988
2013-01-21,4.004
2013-01-28,4.049
2013-02-04,4.166
2013-02-11,4.265
2013-02-18,4.303
2013-02-25,4.299
2013-03-04,4.280
2013-03-11,4.227
2013-03-18,4.162
2013-03-25,4.101
2013-04-01,4.116
2013-04-08,4.117
2013-04-15,4.066
2013-04-22,3.990
2013-04-29,3.949
2013-05-06,3.923
2013-05-13,3.969
2013-05-20,4.008
2013-05-27,3.986
2013-06-03,3.968
2013-06-10,3.945
2013-06-17,3.954
2013-06-24,3.963
2013-07-01,3.942
2013-07-08,3.951
2013-07-15,3.997
2013-07-22,4.041
2013-07-29,4.052
2013-08-05,4.054
2013-08-12,4.045
2013-08-19,4.057
2013-08-26,4.072
2013-09-02,4.128
2013-09-09,4.142
2013-09-16,4.138
2013-09-23,4.111
2013-09-30,4.075
2013-10-07,4.052
2013-10-14,4.047
2013-10-21,4.049
2013-10-28,4.036
2013-11-04,4.015
2013-11-11,3.976
2013-11-18,3.954
2013-11-25,3.954
2013-12-02,3.998
2013-12-09,3.993
2013-12-16,3.982
2013-12-23,3.985
2013-12-30,4.025
2014-01-06,4.034
2014-01-13,3.996
2014-01-20,3.966
2014-01-27,3.979
2014-02-03,3.994
2014-02-10,3.998
2014-02-17,4.000
2014-02-24,4.035
2014-03-03,4.038
2014-03-10,4.042
2014-03-17,4.020
2014-03-24,4.009
2014-03-31,3.990
2014-04-07,3.982
2014-04-14,3.981
2014-04-21,4.030
2014-04-28,4.055
2014-05-05,4.046
2014-05-12,4.036
2014-05-19,4.025
2014-05-26,4.027
2014-06-02,4.021
2014-06-09,3.995
2014-06-16,3.994
2014-06-23,4.053
2014-06-30,4.073
2014-07-07,4.067
2014-07-14,4.052
2014-07-21,4.026
2014-07-28,4.017
2014-08-04,4.016
2014-08-11,4.016
2014-08-18,4.015
2014-08-25,4.010
2014-09-01,4.030
2014-09-08,4.034
2014-09-15,4.019
2014-09-22,3.990
2014-09-29,3.948
2014-10-06,3.933
2014-10-13,3.891
2014-10-20,3.835
2014-10-27,3.799
2014-11-03,3.789
2014-11-10,3.782
2014-11-17,3.762
2014-11-24,3.721
2014-12-01,3.692
2014-12-08,3.593
2014-12-15,3.469
2014-12-22,3.330
2014-12-29,3.269
2015-01-05,3.220
2015-01-12,3.126
2015-01-19,3.011
2015-01-26,2.942
2015-02-02,2.886
2015-02-09,2.924
2015-02-16,2.997
2015-02-23,3.065
2015-03-02,3.097
2015-03-09,3.096
2015-03-16,3.064
2015-03-23,3.001
2015-03-30,2.945
2015-04-06,2.918
2015-04-13,2.914
2015-04-20,2.965
2015-04-27,3.026
2015-05-04,3.112
2015-05-11,3.139
2015-05-18,3.162
2015-05-25,3.174
2015-06-01,3.163
2015-06-08,3.121
2015-06-15,3.101
2015-06-22,3.097
2015-06-29,3.068
2015-07-06,3.069
2015-07-13,3.037
2015-07-20,3.004
2015-07-27,2.957
2015-08-03,2.906
2015-08-10,2.846
2015-08-17,2.831
2015-08-24,2.767
2015-08-31,2.723
2015-09-07,2.746
2015-09-14,2.733
2015-09-21,2.714
2015-09-28,2.692
2015-10-05,2.694
2015-10-12,2.730
2015-10-19,2.704
2015-10-26,2.703
2015-11-02,2.697
2015-11-09,2.716
2015-11-16,2.695
2015-11-23,2.653
2015-11-30,2.624
2015-12-07,2.603
2015-12-14,2.552
2015-12-21,2.505
2015-12-28,2.478
2016-01-04,2.464
2016-01-11,2.426
2016-01-18,2.359
2016-01-25,2.325
2016-02-01,2.273
2016-02-08,2.236
2016-02-15,2.194
2016-02-22,2.181
2016-02-29,2.191
2016-03-07,2.219
2016-03-14,2.285
2016-03-21,2.311
2016-03-28,2.315
2016-04-04,2.317
2016-04-11,2.332
2016-04-18,2.371
2016-04-25,2.406
2016-05-02,2.481
2016-05-09,2.493
2016-05-16,2.530
2016-05-23,2.597
2016-05-30,2.650
2016-06-06,2.681
2016-06-13,2.711
2016-06-20,2.706
2016-06-27,2.713
2016-07-04,2.709
2016-07-11,2.708
2016-07-18,2.686
2016-07-25,2.663
2016-08-01,2.630
2016-08-08,2.595
2016-08-15,2.583
2016-08-22,2.623
2016-08-29,2.658
2016-09-05,2.664
2016-09-12,2.666
2016-09-19,2.652
2016-09-26,2.640
2016-10-03,2.658
2016-10-10,2.712
2016-10-17,2.742
2016-10-24,2.747
2016-10-31,2.766
2016-11-07,2.766
2016-11-14,2.757
2016-11-21,2.730
2016-11-28,2.727
2016-12-05,2.770
2016-12-12,2.772
2016-12-19,2.788
2016-12-26,2.807
2017-01-02,2.847
2017-01-09,2.873
2017-01-16,2.855
2017-01-23,2.846
2017-01-30,2.845
2017-02-06,2.856
2017-02-13,2.869
2017-02-20,2.876
2017-02-27,2.877
2017-03-06,2.877
2017-03-13,2.846
2017-03-20,2.826
2017-03-27,2.822
2017-04-03,2.839
2017-04-10,2.862
2017-04-17,2.877
2017-04-24,2.875
2017-05-01,2.864
2017-05-08,2.846
2017-05-15,2.824
2017-05-22,2.828
2017-05-29,2.843
2017-06-05,2.836
2017-06-12,2.805
2017-06-19,2.782
2017-06-26,2.757
2017-07-03,2.759
2017-07-10,2.771
2017-07-17,2.771
2017-07-24,2.788
2017-07-31,2.816
2017-08-07,2.848
2017-08-14,2.877
2017-08-21,2.883
2017-08-28,2.910
2017-09-04,3.044
2017-09-11,3.102
2017-09-18,3.103
2017-09-25,3.103
2017-10-02,3.109
2017-10-09,3.088
2017-10-16,3.089
2017-10-23,3.098
2017-10-30,3.111
2017-11-06,3.332
2017-11-13,3.390
2017-11-20,3.378
2017-11-27,3.380
2017-12-04,3.373
2017-12-11,3.344
2017-12-18,3.327
2017-12-25,3.312
2018-01-01,3.361
2018-01-08,3.394
2018-01-15,3.401
2018-01-22,3.395
2018-01-29,3.434
2018-02-05,3.460
2018-02-12,3.432
2018-02-19,3.399
2018-02-26,3.397
2018-03-05,3.392
2018-03-12,3.386
2018-03-19,3.384
2018-03-26,3.438
2018-04-02,3.487
