DATE,VALUE
1994-04-01,1.087
1994-05-01,1.082
1994-06-01,1.086
1994-07-01,1.094
1994-08-01,1.110
1994-09-01,1.102
1994-10-01,1.094
1994-11-01,1.101
1994-12-01,1.087
1995-01-01,1.074
1995-02-01,1.065
1995-03-01,1.068
1995-04-01,1.084
1995-05-01,1.101
1995-06-01,1.097
1995-07-01,1.075
1995-08-01,1.085
1995-09-01,1.099
1995-10-01,1.088
1995-11-01,1.098
1995-12-01,1.110
1996-01-01,1.119
1996-02-01,1.123
1996-03-01,1.172
1996-04-01,1.260
1996-05-01,1.247
1996-06-01,1.164
1996-07-01,1.145
1996-08-01,1.186
1996-09-01,1.249
1996-10-01,1.307
1996-11-01,1.314
1996-12-01,1.298
1997-01-01,1.267
1997-02-01,1.257
1997-03-01,1.204
1997-04-01,1.188
1997-05-01,1.189
1997-06-01,1.167
1997-07-01,1.141
1997-08-01,1.148
1997-09-01,1.132
1997-10-01,1.161
1997-11-01,1.167
1997-12-01,1.140
1998-01-01,1.086
1998-02-01,1.060
1998-03-01,1.049
1998-04-01,1.049
1998-05-01,1.048
1998-06-01,1.022
1998-07-01,1.009
1998-08-01,0.985
1998-09-01,1.009
1998-10-01,1.020
1998-11-01,1.003
1998-12-01,0.950
1999-01-01,0.944
1999-02-01,0.939
1999-03-01,0.973
1999-04-01,1.047
1999-05-01,1.047
1999-06-01,1.043
1999-07-01,1.091
1999-08-01,1.146
1999-09-01,1.204
1999-10-01,1.220
1999-11-01,1.260
1999-12-01,1.287
2000-01-01,1.324
2000-02-01,1.429
2000-03-01,1.463
2000-04-01,1.414
2000-05-01,1.426
2000-06-01,1.428
2000-07-01,1.420
2000-08-01,1.436
2000-09-01,1.610
2000-10-01,1.601
2000-11-01,1.580
2000-12-01,1.515
2001-01-01,1.501
2001-02-01,1.474
2001-03-01,1.375
2001-04-01,1.402
2001-05-01,1.537
2001-06-01,1.495
2001-07-01,1.350
2001-08-01,1.409
2001-09-01,1.555
2001-10-01,1.367
2001-11-01,1.266
2001-12-01,1.160
2002-01-01,1.128
2002-02-01,1.126
2002-03-01,1.208
2002-04-01,1.294
