DATE,VALUE
1994-04-01,1.111
1994-05-01,1.123
1994-06-01,1.119
1994-07-01,1.120
1994-08-01,1.143
1994-09-01,1.200
1994-10-01,1.199
1994-11-01,1.200
1994-12-01,1.152
1995-01-01,1.113
1995-02-01,1.093
1995-03-01,1.108
1995-04-01,1.124
1995-05-01,1.159
1995-06-01,1.163
1995-07-01,1.146
1995-08-01,1.153
1995-09-01,1.186
1995-10-01,1.210
1995-11-01,1.225
1995-12-01,1.213
1996-01-01,1.192
1996-02-01,1.177
1996-03-01,1.196
1996-04-01,1.306
1996-05-01,1.381
1996-06-01,1.299
1996-07-01,1.239
1996-08-01,1.235
1996-09-01,1.315
1996-10-01,1.366
1996-11-01,1.377
1996-12-01,1.350
1997-01-01,1.322
1997-02-01,1.303
1997-03-01,1.285
1997-04-01,1.275
1997-05-01,1.270
1997-06-01,1.245
1997-07-01,1.205
1997-08-01,1.205
1997-09-01,1.231
1997-10-01,1.235
1997-11-01,1.273
1997-12-01,1.261
1998-01-01,1.165
1998-02-01,1.088
1998-03-01,1.084
1998-04-01,1.101
1998-05-01,1.127
1998-06-01,1.097
1998-07-01,1.075
1998-08-01,1.073
1998-09-01,1.086
1998-10-01,1.100
1998-11-01,1.083
1998-12-01,1.007
1999-01-01,0.987
1999-02-01,0.986
1999-03-01,1.028
1999-04-01,1.143
1999-05-01,1.152
1999-06-01,1.139
1999-07-01,1.186
1999-08-01,1.257
1999-09-01,1.296
1999-10-01,1.288
1999-11-01,1.306
1999-12-01,1.335
2000-01-01,1.343
2000-02-01,1.406
2000-03-01,1.494
2000-04-01,1.485
2000-05-01,1.448
2000-06-01,1.463
2000-07-01,1.472
2000-08-01,1.491
2000-09-01,1.677
2000-10-01,1.753
2000-11-01,1.699
2000-12-01,1.612
2001-01-01,1.533
2001-02-01,1.518
2001-03-01,1.474
2001-04-01,1.488
2001-05-01,1.590
2001-06-01,1.596
2001-07-01,1.414
2001-08-01,1.391
2001-09-01,1.551
2001-10-01,1.441
2001-11-01,1.300
2001-12-01,1.147
2002-01-01,1.126
2002-02-01,1.134
2002-03-01,1.223
2002-04-01,1.347
2002-05-01,1.357
2002-06-01,1.329
2002-07-01,1.327
2002-08-01,1.352
2002-09-01,1.452
2002-10-01,1.505
2002-11-01,1.478
2002-12-01,1.442
2003-01-01,1.451
2003-02-01,1.595
2003-03-01,1.740
2003-04-01,1.580
2003-05-01,1.489
2003-06-01,1.447
2003-07-01,1.465
2003-08-01,1.515
2003-09-01,1.531
2003-10-01,1.516
2003-11-01,1.541
2003-12-01,1.529
2004-01-01,1.539
2004-02-01,1.553
2004-03-01,1.642
2004-04-01,1.789
2004-05-01,1.933
2004-06-01,1.863
2004-07-01,1.797
2004-08-01,1.869
2004-09-01,1.943
2004-10-01,2.174
2004-11-01,2.216
2004-12-01,2.031
2005-01-01,1.904
2005-02-01,2.060
2005-03-01,2.282
2005-04-01,2.378
2005-05-01,2.265
2005-06-01,2.231
2005-07-01,2.393
2005-08-01,2.585
2005-09-01,2.943
2005-10-01,3.142
2005-11-01,2.730
2005-12-01,2.423
2006-01-01,2.427
2006-02-01,2.502
2006-03-01,2.580
2006-04-01,2.742
2006-05-01,3.042
2006-06-01,3.016
2006-07-01,2.985
2006-08-01,3.304
2006-09-01,3.108
2006-10-01,2.588
2006-11-01,2.632
2006-12-01,2.715
2007-01-01,2.629
2007-02-01,2.531
2007-03-01,2.735
2007-04-01,2.956
2007-05-01,2.992
2007-06-01,2.935
2007-07-01,2.972
2007-08-01,2.979
2007-09-01,2.974
2007-10-01,3.184
2007-11-01,3.494
2007-12-01,3.348
2008-01-01,3.251
2008-02-01,3.337
2008-03-01,3.824
2008-04-01,4.066
2008-05-01,4.382
2008-06-01,4.671
2008-07-01,4.690
2008-08-01,4.406
2008-09-01,4.048
2008-10-01,3.628
2008-11-01,2.897
2008-12-01,2.379
2009-01-01,2.236
2009-02-01,2.195
2009-03-01,2.056
2009-04-01,2.252
2009-05-01,2.277
2009-06-01,2.510
2009-07-01,2.592
2009-08-01,2.621
2009-09-01,2.675
2009-10-01,2.694
2009-11-01,2.819
2009-12-01,2.764
2010-01-01,2.801
2010-02-01,2.796
2010-03-01,2.917
2010-04-01,3.093
2010-05-01,3.132
2010-06-01,2.986
2010-07-01,2.916
2010-08-01,2.995
2010-09-01,3.026
2010-10-01,3.087
2010-11-01,3.231
2010-12-01,3.291
2011-01-01,3.365
2011-02-01,3.559
2011-03-01,3.904
2011-04-01,4.094
2011-05-01,4.113
2011-06-01,3.962
2011-07-01,3.841
2011-08-01,3.837
2011-09-01,3.888
2011-10-01,3.885
2011-11-01,4.077
2011-12-01,3.950
2012-01-01,3.827
2012-02-01,3.859
2012-03-01,4.078
2012-04-01,4.109
2012-05-01,3.997
2012-06-01,3.851
2012-07-01,3.697
2012-08-01,3.996
2012-09-01,4.236
2012-10-01,4.221
2012-11-01,4.095
2012-12-01,3.866
2013-01-01,3.691
2013-02-01,3.974
2013-03-01,3.991
2013-04-01,3.872
2013-05-01,3.834
2013-06-01,3.854
2013-07-01,3.848
2013-08-01,3.927
2013-09-01,3.936
2013-10-01,3.886
2013-11-01,3.842
2013-12-01,3.861
2014-01-01,3.878
2014-02-01,3.896
2014-03-01,3.987
2014-04-01,3.964
2014-05-01,3.962
2014-06-01,3.913
2014-07-01,3.896
2014-08-01,3.875
2014-09-01,3.848
2014-10-01,3.747
2014-11-01,3.754
2014-12-01,3.493
2015-01-01,2.966
2015-02-01,2.773
2015-03-01,2.780
2015-04-01,2.718
2015-05-01,2.795
2015-06-01,2.809
2015-07-01,2.769
2015-08-01,2.621
2015-09-01,2.532
2015-10-01,2.512
2015-11-01,2.480
2015-12-01,2.329
2016-01-01,2.105
2016-02-01,1.898
2016-03-01,2.019
2016-04-01,2.160
2016-05-01,2.318
2016-06-01,2.411
2016-07-01,2.438
2016-08-01,2.424
2016-09-01,2.482
2016-10-01,2.522
2016-11-01,2.482
2016-12-01,2.479
2017-01-01,2.532
2017-02-01,2.542
2017-03-01,2.607
2017-04-01,2.644
2017-05-01,2.647
2017-06-01,2.631
2017-07-01,2.594
2017-08-01,2.701
2017-09-01,2.818
2017-10-01,2.892
2017-11-01,2.997
2017-12-01,2.979
2018-01-01,2.972
2018-02-01,2.961
2018-03-01,2.932
2018-04-01,3.133
2018-05-01,3.317
2018-06-01,3.341
2018-07-01,3.366
2018-08-01,3.358
2018-09-01,3.362
2018-10-01,3.394
2018-11-01,3.369
2018-12-01,3.178
