DATE,VALUE
1994-04-01,1.215
1994-05-01,1.202
1994-06-01,1.197
1994-07-01,1.196
1994-08-01,1.205
1994-09-01,1.237
1994-10-01,1.254
1994-11-01,1.266
1994-12-01,1.238
1995-01-01,1.201
1995-02-01,1.190
1995-03-01,1.199
1995-04-01,1.231
1995-05-01,1.260
1995-06-01,1.239
1995-07-01,1.216
1995-08-01,1.221
1995-09-01,1.236
1995-10-01,1.254
1995-11-01,1.257
1995-12-01,1.258
1996-01-01,1.257
1996-02-01,1.234
1996-03-01,1.234
1996-04-01,1.396
1996-05-01,1.476
1996-06-01,1.403
1996-07-01,1.346
1996-08-01,1.338
1996-09-01,1.413
1996-10-01,1.425
1996-11-01,1.405
1996-12-01,1.366
1997-01-01,1.363
1997-02-01,1.411
1997-03-01,1.386
1997-04-01,1.378
1997-05-01,1.275
1997-06-01,1.228
1997-07-01,1.199
1997-08-01,1.248
1997-09-01,1.281
1997-10-01,1.275
1997-11-01,1.308
1997-12-01,1.262
1998-01-01,1.218
1998-02-01,1.147
1998-03-01,1.102
1998-04-01,1.131
1998-05-01,1.143
1998-06-01,1.096
1998-07-01,1.090
1998-08-01,1.090
1998-09-01,1.101
1998-10-01,1.105
1998-11-01,1.098
1998-12-01,1.064
1999-01-01,1.053
1999-02-01,1.038
1999-03-01,1.127
1999-04-01,1.286
1999-05-01,1.231
1999-06-01,1.282
1999-07-01,1.309
1999-08-01,1.348
1999-09-01,1.313
1999-10-01,1.319
1999-11-01,1.372
1999-12-01,1.368
2000-01-01,1.426
2000-02-01,1.472
2000-03-01,1.593
2000-04-01,1.515
2000-05-01,1.466
2000-06-01,1.456
2000-07-01,1.516
2000-08-01,1.600
2000-09-01,1.837
2000-10-01,1.847
2000-11-01,1.784
2000-12-01,1.767
2001-01-01,1.620
2001-02-01,1.563
2001-03-01,1.528
2001-04-01,1.546
2001-05-01,1.563
2001-06-01,1.574
2001-07-01,1.494
2001-08-01,1.461
2001-09-01,1.587
2001-10-01,1.434
2001-11-01,1.349
2001-12-01,1.231
2002-01-01,1.223
2002-02-01,1.226
2002-03-01,1.333
2002-04-01,1.397
2002-05-01,1.384
2002-06-01,1.387
2002-07-01,1.384
2002-08-01,1.433
2002-09-01,1.536
2002-10-01,1.528
2002-11-01,1.507
2002-12-01,1.496
2003-01-01,1.534
2003-02-01,1.679
2003-03-01,1.816
2003-04-01,1.613
2003-05-01,1.501
2003-06-01,1.527
2003-07-01,1.583
2003-08-01,1.666
2003-09-01,1.612
2003-10-01,1.568
2003-11-01,1.591
2003-12-01,1.629
2004-01-01,1.635
2004-02-01,1.743
2004-03-01,1.822
2004-04-01,2.032
2004-05-01,2.191
2004-06-01,1.997
2004-07-01,2.029
2004-08-01,2.041
2004-09-01,2.084
2004-10-01,2.308
2004-11-01,2.289
2004-12-01,2.091
2005-01-01,2.019
2005-02-01,2.259
2005-03-01,2.462
2005-04-01,2.557
2005-05-01,2.413
2005-06-01,2.382
2005-07-01,2.513
2005-08-01,2.821
2005-09-01,3.051
2005-10-01,3.122
2005-11-01,2.707
2005-12-01,2.517
2006-01-01,2.582
2006-02-01,2.621
2006-03-01,2.713
2006-04-01,2.868
2006-05-01,3.161
2006-06-01,3.123
2006-07-01,3.056
2006-08-01,3.199
2006-09-01,3.061
2006-10-01,2.674
2006-11-01,2.691
2006-12-01,2.884
2007-01-01,2.762
2007-02-01,2.768
2007-03-01,2.806
2007-04-01,2.933
2007-05-01,2.929
2007-06-01,2.954
2007-07-01,3.022
2007-08-01,3.014
2007-09-01,3.002
2007-10-01,3.241
2007-11-01,3.572
2007-12-01,3.450
2008-01-01,3.381
2008-02-01,3.434
2008-03-01,3.949
2008-04-01,4.199
2008-05-01,4.563
2008-06-01,4.847
2008-07-01,4.852
2008-08-01,4.454
2008-09-01,4.069
2008-10-01,3.534
2008-11-01,2.835
2008-12-01,2.365
2009-01-01,2.321
2009-02-01,2.279
2009-03-01,2.166
2009-04-01,2.322
2009-05-01,2.340
2009-06-01,2.630
2009-07-01,2.640
2009-08-01,2.735
2009-09-01,2.777
2009-10-01,2.795
2009-11-01,2.900
2009-12-01,2.851
2010-01-01,2.935
2010-02-01,2.875
2010-03-01,3.004
2010-04-01,3.179
2010-05-01,3.179
2010-06-01,3.076
2010-07-01,3.059
2010-08-01,3.108
2010-09-01,3.112
2010-10-01,3.224
2010-11-01,3.292
2010-12-01,3.363
2011-01-01,3.492
2011-02-01,3.731
2011-03-01,4.099
2011-04-01,4.285
2011-05-01,4.249
2011-06-01,4.134
2011-07-01,4.012
2011-08-01,3.915
2011-09-01,3.975
2011-10-01,4.001
2011-11-01,4.153
2011-12-01,4.034
2012-01-01,4.022
2012-02-01,4.162
2012-03-01,4.414
2012-04-01,4.379
2012-05-01,4.247
2012-06-01,3.958
2012-07-01,3.837
2012-08-01,4.180
2012-09-01,4.392
2012-10-01,4.290
2012-11-01,4.123
2012-12-01,4.023
2013-01-01,4.007
2013-02-01,4.258
2013-03-01,4.193
2013-04-01,4.048
2013-05-01,3.972
2013-06-01,3.958
2013-07-01,3.997
2013-08-01,4.057
2013-09-01,4.119
2013-10-01,4.046
2013-11-01,3.975
2013-12-01,3.997
2014-01-01,3.994
2014-02-01,4.007
2014-03-01,4.020
2014-04-01,4.012
2014-05-01,4.034
2014-06-01,4.027
2014-07-01,4.041
2014-08-01,4.014
2014-09-01,4.004
2014-10-01,3.865
2014-11-01,3.764
2014-12-01,3.471
2015-01-01,3.075
2015-02-01,2.968
2015-03-01,3.041
2015-04-01,2.956
2015-05-01,3.147
2015-06-01,3.110
2015-07-01,3.017
2015-08-01,2.815
2015-09-01,2.721
2015-10-01,2.708
2015-11-01,2.677
2015-12-01,2.535
2016-01-01,2.394
2016-02-01,2.215
2016-03-01,2.283
2016-04-01,2.357
2016-05-01,2.550
2016-06-01,2.703
2016-07-01,2.692
2016-08-01,2.618
2016-09-01,2.656
2016-10-01,2.725
2016-11-01,2.745
2016-12-01,2.784
2017-01-01,2.853
2017-02-01,2.870
2017-03-01,2.843
2017-04-01,2.863
2017-05-01,2.841
2017-06-01,2.795
2017-07-01,2.781
2017-08-01,2.880
2017-09-01,3.088
2017-10-01,3.099
2017-11-01,3.370
2017-12-01,3.339
2018-01-01,3.397
2018-02-01,3.422
2018-03-01,3.400
2018-04-01,3.565
2018-05-01,3.736
2018-06-01,3.760
2018-07-01,3.735
2018-08-01,3.714
2018-09-01,3.751
2018-10-01,3.853
2018-11-01,3.787
2018-12-01,3.620
