DATE,VALUE
1994-03-21,1.209
1994-03-28,1.220
1994-04-04,1.219
1994-04-11,1.209
1994-04-18,1.213
1994-04-25,1.217
1994-05-02,1.206
1994-05-09,1.206
1994-05-16,1.200
1994-05-23,1.203
1994-05-30,1.194
1994-06-06,1.202
1994-06-13,1.191
1994-06-20,1.199
1994-06-27,1.196
1994-07-04,1.193
1994-07-11,1.196
1994-07-18,1.200
1994-07-25,1.200
1994-08-01,1.200
1994-08-08,1.205
1994-08-15,1.206
1994-08-22,1.209
1994-08-29,1.204
1994-09-05,1.224
1994-09-12,1.233
1994-09-19,1.242
1994-09-26,1.249
1994-10-03,1.249
1994-10-10,1.247
1994-10-17,1.252
1994-10-24,1.257
1994-10-31,1.264
1994-11-07,1.267
1994-11-14,1.268
1994-11-21,1.267
1994-11-28,1.262
1994-12-05,1.257
1994-12-12,1.245
1994-12-19,1.231
1994-12-26,1.217
1995-01-02,1.212
1995-01-09,1.205
1995-01-16,1.200
1995-01-23,1.196
1995-01-30,1.192
1995-02-06,1.191
1995-02-13,1.190
1995-02-20,1.190
1995-02-27,1.188
1995-03-06,1.197
1995-03-13,1.197
1995-03-20,1.201
1995-03-27,1.202
1995-04-03,1.215
1995-04-10,1.225
1995-04-17,1.237
1995-04-24,1.247
1995-05-01,1.259
1995-05-08,1.260
1995-05-15,1.262
1995-05-22,1.262
1995-05-29,1.258
1995-06-05,1.253
1995-06-12,1.240
1995-06-19,1.228
1995-06-26,1.221
1995-07-03,1.213
1995-07-10,1.223
1995-07-17,1.220
1995-07-24,1.212
1995-07-31,1.211
1995-08-07,1.215
1995-08-14,1.220
1995-08-21,1.222
1995-08-28,1.227
1995-09-04,1.230
1995-09-11,1.233
1995-09-18,1.236
1995-09-25,1.243
1995-10-02,1.244
1995-10-09,1.256
1995-10-16,1.254
1995-10-23,1.258
1995-10-30,1.256
1995-11-06,1.257
1995-11-13,1.256
1995-11-20,1.258
1995-11-27,1.256
1995-12-04,1.258
1995-12-11,1.253
1995-12-18,1.257
1995-12-25,1.262
1996-01-01,1.262
1996-01-08,1.261
1996-01-15,1.260
1996-01-22,1.255
1996-01-29,1.247
1996-02-05,1.236
1996-02-12,1.233
1996-02-19,1.233
1996-02-26,1.232
1996-03-04,1.230
1996-03-11,1.228
1996-03-18,1.235
1996-03-25,1.244
1996-04-01,1.283
1996-04-08,1.336
1996-04-15,1.387
1996-04-22,1.431
1996-04-29,1.479
1996-05-06,1.494
1996-05-13,1.492
1996-05-20,1.482
1996-05-27,1.455
1996-06-03,1.440
1996-06-10,1.424
1996-06-17,1.399
1996-06-24,1.373
1996-07-01,1.359
1996-07-08,1.352
1996-07-15,1.346
1996-07-22,1.332
1996-07-29,1.321
1996-08-05,1.320
1996-08-12,1.324
1996-08-19,1.345
1996-08-26,1.364
1996-09-02,1.379
1996-09-09,1.404
1996-09-16,1.426
1996-09-23,1.433
1996-09-30,1.424
1996-10-07,1.422
1996-10-14,1.427
1996-10-21,1.430
1996-10-28,1.421
1996-11-04,1.418
1996-11-11,1.411
1996-11-18,1.398
1996-11-25,1.393
1996-12-02,1.376
1996-12-09,1.369
1996-12-16,1.360
1996-12-23,1.364
1996-12-30,1.362
1997-01-06,1.363
1997-01-13,1.363
1997-01-20,1.363
1997-01-27,1.364
1997-02-03,1.389
1997-02-10,1.419
1997-02-17,1.422
1997-02-24,1.412
1997-03-03,1.403
1997-03-10,1.380
1997-03-17,1.380
1997-03-24,1.378
1997-03-31,1.387
1997-04-07,1.388
1997-04-14,1.386
1997-04-21,1.376
1997-04-28,1.361
1997-05-05,1.337
1997-05-12,1.279
1997-05-19,1.249
1997-05-26,1.236
1997-06-02,1.240
1997-06-09,1.240
1997-06-16,1.231
1997-06-23,1.220
1997-06-30,1.208
1997-07-07,1.209
1997-07-14,1.205
1997-07-21,1.193
1997-07-28,1.189
1997-08-04,1.212
1997-08-11,1.245
1997-08-18,1.261
1997-08-25,1.274
1997-09-01,1.282
1997-09-08,1.290
1997-09-15,1.287
1997-09-22,1.273
1997-09-29,1.271
1997-10-06,1.267
1997-10-13,1.273
1997-10-20,1.274
1997-10-27,1.287
1997-11-03,1.301
1997-11-10,1.309
1997-11-17,1.316
1997-11-24,1.306
1997-12-01,1.291
1997-12-08,1.265
1997-12-15,1.264
1997-12-22,1.248
1997-12-29,1.240
1998-01-05,1.255
1998-01-12,1.231
1998-01-19,1.204
1998-01-26,1.182
1998-02-02,1.164
1998-02-09,1.150
1998-02-16,1.140
1998-02-23,1.132
1998-03-02,1.114
1998-03-09,1.098
1998-03-16,1.090
1998-03-23,1.088
1998-03-30,1.120
1998-04-06,1.130
1998-04-13,1.134
1998-04-20,1.130
1998-04-27,1.131
1998-05-04,1.159
1998-05-11,1.152
1998-05-18,1.140
1998-05-25,1.121
1998-06-01,1.111
1998-06-08,1.093
1998-06-15,1.094
1998-06-22,1.091
1998-06-29,1.093
1998-07-06,1.092
1998-07-13,1.092
1998-07-20,1.087
1998-07-27,1.089
1998-08-03,1.089
1998-08-10,1.091
1998-08-17,1.094
1998-08-24,1.091
1998-08-31,1.084
1998-09-07,1.090
1998-09-14,1.097
1998-09-21,1.106
1998-09-28,1.109
1998-10-05,1.110
1998-10-12,1.106
1998-10-19,1.103
1998-10-26,1.102
1998-11-02,1.103
1998-11-09,1.102
1998-11-16,1.102
1998-11-23,1.094
1998-11-30,1.087
1998-12-07,1.076
1998-12-14,1.059
1998-12-21,1.062
1998-12-28,1.059
1999-01-04,1.059
1999-01-11,1.050
1999-01-18,1.056
1999-01-25,1.045
1999-02-01,1.041
1999-02-08,1.042
1999-02-15,1.037
1999-02-22,1.032
1999-03-01,1.034
1999-03-08,1.066
1999-03-15,1.145
1999-03-22,1.162
1999-03-29,1.230
1999-04-05,1.297
1999-04-12,1.311
1999-04-19,1.282
1999-04-26,1.252
1999-05-03,1.245
1999-05-10,1.240
1999-05-17,1.230
1999-05-24,1.219
1999-05-31,1.221
1999-06-07,1.245
1999-06-14,1.279
1999-06-21,1.305
1999-06-28,1.299
1999-07-05,1.301
1999-07-12,1.308
1999-07-19,1.314
1999-07-26,1.314
1999-08-02,1.321
1999-08-09,1.364
1999-08-16,1.364
1999-08-23,1.353
1999-08-30,1.336
1999-09-06,1.322
1999-09-13,1.312
1999-09-20,1.306
1999-09-27,1.311
1999-10-04,1.312
1999-10-11,1.327
1999-10-18,1.318
1999-10-25,1.318
1999-11-01,1.335
1999-11-08,1.369
1999-11-15,1.387
1999-11-22,1.385
1999-11-29,1.386
1999-12-06,1.375
1999-12-13,1.361
1999-12-20,1.363
1999-12-27,1.373
2000-01-03,1.401
2000-01-10,1.404
2000-01-17,1.406
2000-01-24,1.452
2000-01-31,1.465
2000-02-07,1.454
2000-02-14,1.448
2000-02-21,1.475
2000-02-28,1.510
2000-03-06,1.565
2000-03-13,1.600
2000-03-20,1.609
2000-03-27,1.597
2000-04-03,1.569
2000-04-10,1.524
2000-04-17,1.486
2000-04-24,1.482
2000-05-01,1.475
2000-05-08,1.474
2000-05-15,1.468
2000-05-22,1.460
2000-05-29,1.452
2000-06-05,1.451
2000-06-12,1.452
2000-06-19,1.455
2000-06-26,1.465
2000-07-03,1.512
2000-07-10,1.532
2000-07-17,1.516
2000-07-24,1.513
2000-07-31,1.507
2000-08-07,1.511
2000-08-14,1.549
2000-08-21,1.607
2000-08-28,1.733
2000-09-04,1.828
2000-09-11,1.842
2000-09-18,1.835
2000-09-25,1.844
2000-10-02,1.831
2000-10-09,1.843
2000-10-16,1.871
2000-10-23,1.850
2000-10-30,1.838
2000-11-06,1.813
2000-11-13,1.781
2000-11-20,1.763
2000-11-27,1.778
2000-12-04,1.791
2000-12-11,1.785
2000-12-18,1.763
2000-12-25,1.728
2001-01-01,1.725
2001-01-08,1.677
2001-01-15,1.582
2001-01-22,1.556
2001-01-29,1.562
2001-02-05,1.562
2001-02-12,1.566
2001-02-19,1.567
2001-02-26,1.557
2001-03-05,1.548
2001-03-12,1.522
2001-03-19,1.525
2001-03-26,1.518
2001-04-02,1.533
2001-04-09,1.534
2001-04-16,1.552
2001-04-23,1.552
2001-04-30,1.557
2001-05-07,1.563
2001-05-14,1.554
2001-05-21,1.553
2001-05-28,1.580
2001-06-04,1.580
2001-06-11,1.562
2001-06-18,1.573
2001-06-25,1.580
2001-07-02,1.555
2001-07-09,1.532
2001-07-16,1.499
2001-07-23,1.454
2001-07-30,1.430
2001-08-06,1.417
2001-08-13,1.420
2001-08-20,1.469
2001-08-27,1.536
2001-09-03,1.575
2001-09-10,1.616
2001-09-17,1.602
2001-09-24,1.554
2001-10-01,1.459
2001-10-08,1.443
2001-10-15,1.445
2001-10-22,1.417
2001-10-29,1.405
2001-11-05,1.391
2001-11-12,1.363
2001-11-19,1.339
2001-11-26,1.303
2001-12-03,1.259
2001-12-10,1.214
2001-12-17,1.190
2001-12-24,1.234
2001-12-31,1.259
2002-01-07,1.256
2002-01-14,1.226
2002-01-21,1.197
2002-01-28,1.214
2002-02-04,1.224
2002-02-11,1.232
2002-02-18,1.234
2002-02-25,1.214
2002-03-04,1.257
2002-03-11,1.327
2002-03-18,1.360
2002-03-25,1.386
2002-04-01,1.397
2002-04-08,1.405
2002-04-15,1.405
2002-04-22,1.390
2002-04-29,1.390
2002-05-06,1.387
2002-05-13,1.375
2002-05-20,1.383
2002-05-27,1.391
2002-06-03,1.383
2002-06-10,1.382
2002-06-17,1.387
2002-06-24,1.395
2002-07-01,1.391
2002-07-08,1.389
2002-07-15,1.383
2002-07-22,1.382
2002-07-29,1.376
2002-08-05,1.387
2002-08-12,1.405
2002-08-19,1.459
2002-08-26,1.480
2002-09-02,1.506
2002-09-09,1.548
2002-09-16,1.557
2002-09-23,1.534
2002-09-30,1.536
2002-10-07,1.534
2002-10-14,1.527
2002-10-21,1.526
2002-10-28,1.524
2002-11-04,1.521
2002-11-11,1.517
2002-11-18,1.500
2002-11-25,1.489
2002-12-02,1.487
2002-12-09,1.478
2002-12-16,1.471
2002-12-23,1.506
2002-12-30,1.540
2003-01-06,1.546
2003-01-13,1.520
2003-01-20,1.528
2003-01-27,1.543
2003-02-03,1.576
2003-02-10,1.653
2003-02-17,1.742
2003-02-24,1.745
2003-03-03,1.805
2003-03-10,1.886
2003-03-17,1.879
2003-03-24,1.785
2003-03-31,1.724
2003-04-07,1.662
2003-04-14,1.625
2003-04-21,1.606
2003-04-28,1.560
2003-05-05,1.544
2003-05-12,1.491
2003-05-19,1.484
2003-05-26,1.483
2003-06-02,1.474
2003-06-09,1.473
2003-06-16,1.570
2003-06-23,1.563
2003-06-30,1.556
2003-07-07,1.567
2003-07-14,1.572
2003-07-21,1.590
2003-07-28,1.602
2003-08-04,1.619
2003-08-11,1.648
2003-08-18,1.690
2003-08-25,1.707
2003-09-01,1.681
2003-09-08,1.641
2003-09-15,1.604
2003-09-22,1.574
2003-09-29,1.558
2003-10-06,1.551
2003-10-13,1.569
2003-10-20,1.577
2003-10-27,1.573
2003-11-03,1.576
2003-11-10,1.579
2003-11-17,1.596
2003-11-24,1.612
2003-12-01,1.605
2003-12-08,1.635
2003-12-15,1.639
2003-12-22,1.635
2003-12-29,1.630
2004-01-05,1.628
2004-01-12,1.641
2004-01-19,1.632
2004-01-26,1.639
2004-02-02,1.653
2004-02-09,1.741
2004-02-16,1.789
2004-02-23,1.788
2004-03-01,1.851
2004-03-08,1.845
2004-03-15,1.801
2004-03-22,1.795
2004-03-29,1.817
2004-04-05,1.885
2004-04-12,2.026
2004-04-19,2.112
2004-04-26,2.103
2004-05-03,2.146
2004-05-10,2.255
2004-05-17,2.250
2004-05-24,2.198
2004-05-31,2.105
2004-06-07,2.063
2004-06-14,1.998
2004-06-21,1.959
2004-06-28,1.969
2004-07-05,2.010
2004-07-12,2.040
2004-07-19,2.033
2004-07-26,2.031
2004-08-02,2.036
2004-08-09,2.030
2004-08-16,2.029
2004-08-23,2.061
2004-08-30,2.051
2004-09-06,2.038
2004-09-13,2.040
2004-09-20,2.088
2004-09-27,2.169
2004-10-04,2.238
2004-10-11,2.276
2004-10-18,2.337
2004-10-25,2.380
2004-11-01,2.370
2004-11-08,2.324
2004-11-15,2.274
2004-11-22,2.242
2004-11-29,2.233
2004-12-06,2.181
2004-12-13,2.097
2004-12-20,2.047
2004-12-27,2.040
2005-01-03,2.011
2005-01-10,1.973
2005-01-17,2.001
2005-01-24,2.027
2005-01-31,2.085
2005-02-07,2.113
2005-02-14,2.190
2005-02-21,2.321
2005-02-28,2.412
2005-03-07,2.450
2005-03-14,2.442
2005-03-21,2.471
2005-03-28,2.483
2005-04-04,2.541
2005-04-11,2.585
2005-04-18,2.554
2005-04-25,2.549
2005-05-02,2.530
2005-05-09,2.481
2005-05-16,2.397
2005-05-23,2.339
2005-05-30,2.317
2005-06-06,2.339
2005-06-13,2.364
2005-06-20,2.391
2005-06-27,2.433
2005-07-04,2.467
2005-07-11,2.526
2005-07-18,2.530
2005-07-25,2.530
2005-08-01,2.594
2005-08-08,2.801
2005-08-15,2.891
2005-08-22,2.897
2005-08-29,2.920
2005-09-05,3.149
2005-09-12,3.093
2005-09-19,2.985
2005-09-26,2.978
2005-10-03,3.174
2005-10-10,3.167
2005-10-17,3.178
2005-10-24,3.142
2005-10-31,2.951
2005-11-07,2.821
2005-11-14,2.738
2005-11-21,2.652
2005-11-28,2.617
2005-12-05,2.538
2005-12-12,2.500
2005-12-19,2.505
2005-12-26,2.523
2006-01-02,2.519
2006-01-09,2.577
2006-01-16,2.565
2006-01-23,2.608
2006-01-30,2.640
2006-02-06,2.645
2006-02-13,2.621
2006-02-20,2.594
2006-02-27,2.623
2006-03-06,2.711
2006-03-13,2.725
2006-03-20,2.716
2006-03-27,2.698
2006-04-03,2.753
2006-04-10,2.812
2006-04-17,2.881
2006-04-24,3.026
2006-05-01,3.098
2006-05-08,3.180
2006-05-15,3.192
2006-05-22,3.175
2006-05-29,3.161
2006-06-05,3.159
2006-06-12,3.149
2006-06-19,3.117
2006-06-26,3.068
2006-07-03,3.056
