DATE,VALUE
1994-12-01,1.187
1995-01-01,1.161
1995-02-01,1.149
1995-03-01,1.143
1995-04-01,1.175
1995-05-01,1.258
1995-06-01,1.282
1995-07-01,1.253
1995-08-01,1.221
1995-09-01,1.199
1995-10-01,1.173
1995-11-01,1.136
1995-12-01,1.132
1996-01-01,1.148
1996-02-01,1.148
1996-03-01,1.189
1996-04-01,1.284
1996-05-01,1.329
1996-06-01,1.312
1996-07-01,1.283
1996-08-01,1.265
1996-09-01,1.257
1996-10-01,1.266
1996-11-01,1.298
1996-12-01,1.314
1997-01-01,1.316
1997-02-01,1.309
1997-03-01,1.287
1997-04-01,1.269
1997-05-01,1.256
1997-06-01,1.248
1997-07-01,1.232
1997-08-01,1.272
1997-09-01,1.288
1997-10-01,1.257
1997-11-01,1.232
1997-12-01,1.198
1998-01-01,1.159
1998-02-01,1.120
1998-03-01,1.091
1998-04-01,1.097
1998-05-01,1.107
1998-06-01,1.101
1998-07-01,1.092
1998-08-01,1.071
1998-09-01,1.053
1998-10-01,1.071
1998-11-01,1.059
1998-12-01,1.007
1999-01-01,0.995
1999-02-01,0.980
1999-03-01,1.017
1999-04-01,1.133
1999-05-01,1.152
1999-06-01,1.144
1999-07-01,1.189
1999-08-01,1.247
1999-09-01,1.293
1999-10-01,1.309
1999-11-01,1.316
1999-12-01,1.343
2000-01-01,1.355
2000-02-01,1.436
2000-03-01,1.578
2000-04-01,1.517
2000-05-01,1.522
2000-06-01,1.616
2000-07-01,1.613
2000-08-01,1.522
2000-09-01,1.568
2000-10-01,1.558
2000-11-01,1.544
2000-12-01,1.485
2001-01-01,1.490
2001-02-01,1.512
2001-03-01,1.456
2001-04-01,1.581
2001-05-01,1.666
2001-06-01,1.597
2001-07-01,1.420
2001-08-01,1.401
2001-09-01,1.476
2001-10-01,1.325
2001-11-01,1.183
2001-12-01,1.129
2002-01-01,1.171
2002-02-01,1.165
2002-03-01,1.282
2002-04-01,1.447
2002-05-01,1.431
2002-06-01,1.407
2002-07-01,1.415
2002-08-01,1.423
2002-09-01,1.430
2002-10-01,1.493
2002-11-01,1.471
2002-12-01,1.441
2003-01-01,1.520
2003-02-01,1.664
2003-03-01,1.702
2003-04-01,1.594
2003-05-01,1.496
2003-06-01,1.511
2003-07-01,1.562
2003-08-01,1.653
2003-09-01,1.693
2003-10-01,1.590
2003-11-01,1.554
2003-12-01,1.549
2004-01-01,1.660
2004-02-01,1.719
2004-03-01,1.785
2004-04-01,1.837
2004-05-01,2.014
2004-06-01,2.020
2004-07-01,1.963
2004-08-01,1.924
2004-09-01,1.933
2004-10-01,2.056
2004-11-01,2.050
2004-12-01,1.942
2005-01-01,1.930
2005-02-01,1.989
2005-03-01,2.150
2005-04-01,2.316
2005-05-01,2.229
2005-06-01,2.224
2005-07-01,2.345
2005-08-01,2.547
2005-09-01,3.035
2005-10-01,2.867
2005-11-01,2.365
2005-12-01,2.283
2006-01-01,2.449
2006-02-01,2.387
2006-03-01,2.514
2006-04-01,2.858
2006-05-01,2.948
2006-06-01,2.894
2006-07-01,3.015
2006-08-01,3.026
2006-09-01,2.652
2006-10-01,2.316
2006-11-01,2.309
2006-12-01,2.409
2007-01-01,2.338
2007-02-01,2.331
2007-03-01,2.625
2007-04-01,2.903
2007-05-01,3.136
2007-06-01,3.095
2007-07-01,3.020
2007-08-01,2.855
2007-09-01,2.874
2007-10-01,2.919
2007-11-01,3.189
2007-12-01,3.149
2008-01-01,3.201
2008-02-01,3.172
2008-03-01,3.366
2008-04-01,3.567
2008-05-01,3.876
2008-06-01,4.121
2008-07-01,4.137
2008-08-01,3.871
2008-09-01,3.871
2008-10-01,3.261
2008-11-01,2.307
2008-12-01,1.837
2009-01-01,1.890
2009-02-01,2.045
2009-03-01,2.079
2009-04-01,2.167
2009-05-01,2.360
2009-06-01,2.702
2009-07-01,2.625
2009-08-01,2.693
2009-09-01,2.602
2009-10-01,2.617
2009-11-01,2.768
2009-12-01,2.733
2010-01-01,2.842
2010-02-01,2.775
2010-03-01,2.891
2010-04-01,2.939
2010-05-01,2.932
2010-06-01,2.779
2010-07-01,2.757
2010-08-01,2.774
2010-09-01,2.753
2010-10-01,2.881
