DATE,VALUE
1994-12-01,1.152
1995-01-01,1.161
1995-02-01,1.153
1995-03-01,1.152
1995-04-01,1.195
1995-05-01,1.266
1995-06-01,1.280
1995-07-01,1.242
1995-08-01,1.213
1995-09-01,1.200
1995-10-01,1.173
1995-11-01,1.148
1995-12-01,1.155
1996-01-01,1.172
1996-02-01,1.171
1996-03-01,1.218
1996-04-01,1.308
1996-05-01,1.352
1996-06-01,1.331
1996-07-01,1.304
1996-08-01,1.287
1996-09-01,1.287
1996-10-01,1.292
1996-11-01,1.322
1996-12-01,1.322
1997-01-01,1.321
1997-02-01,1.313
1997-03-01,1.288
1997-04-01,1.278
1997-05-01,1.277
1997-06-01,1.274
1997-07-01,1.255
1997-08-01,1.296
1997-09-01,1.302
1997-10-01,1.271
1997-11-01,1.247
1997-12-01,1.209
1998-01-01,1.166
1998-02-01,1.133
1998-03-01,1.107
1998-04-01,1.116
1998-05-01,1.138
1998-06-01,1.133
1998-07-01,1.124
1998-08-01,1.097
1998-09-01,1.081
1998-10-01,1.094
1998-11-01,1.071
1998-12-01,1.016
1999-01-01,1.009
1999-02-01,0.993
1999-03-01,1.051
1999-04-01,1.186
1999-05-01,1.194
1999-06-01,1.186
1999-07-01,1.227
1999-08-01,1.287
1999-09-01,1.331
1999-10-01,1.324
1999-11-01,1.334
1999-12-01,1.355
2000-01-01,1.371
2000-02-01,1.458
2000-03-01,1.588
2000-04-01,1.529
2000-05-01,1.545
2000-06-01,1.684
2000-07-01,1.616
2000-08-01,1.530
2000-09-01,1.607
2000-10-01,1.591
2000-11-01,1.580
2000-12-01,1.504
2001-01-01,1.516
2001-02-01,1.520
2001-03-01,1.473
2001-04-01,1.607
2001-05-01,1.730
2001-06-01,1.630
2001-07-01,1.434
2001-08-01,1.463
2001-09-01,1.572
2001-10-01,1.356
2001-11-01,1.223
2001-12-01,1.158
2002-01-01,1.180
2002-02-01,1.176
2002-03-01,1.305
2002-04-01,1.451
2002-05-01,1.443
2002-06-01,1.428
2002-07-01,1.449
2002-08-01,1.444
2002-09-01,1.449
2002-10-01,1.512
2002-11-01,1.470
2002-12-01,1.437
2003-01-01,1.513
2003-02-01,1.669
2003-03-01,1.722
2003-04-01,1.606
2003-05-01,1.521
2003-06-01,1.532
2003-07-01,1.565
2003-08-01,1.670
2003-09-01,1.700
2003-10-01,1.596
2003-11-01,1.558
2003-12-01,1.536
2004-01-01,1.643
2004-02-01,1.701
2004-03-01,1.775
2004-04-01,1.841
2004-05-01,2.023
2004-06-01,1.997
2004-07-01,1.948
2004-08-01,1.925
2004-09-01,1.926
2004-10-01,2.040
2004-11-01,2.023
2004-12-01,1.894
2005-01-01,1.901
2005-02-01,1.973
2005-03-01,2.147
2005-04-01,2.299
2005-05-01,2.203
2005-06-01,2.208
2005-07-01,2.331
2005-08-01,2.532
2005-09-01,2.959
2005-10-01,2.795
2005-11-01,2.318
2005-12-01,2.263
2006-01-01,2.391
2006-02-01,2.343
2006-03-01,2.501
2006-04-01,2.809
