DATE,VALUE
1994-12-01,1.089
1995-01-01,1.093
1995-02-01,1.092
1995-03-01,1.099
1995-04-01,1.162
1995-05-01,1.232
1995-06-01,1.236
1995-07-01,1.174
1995-08-01,1.149
1995-09-01,1.146
1995-10-01,1.109
1995-11-01,1.093
1995-12-01,1.122
1996-01-01,1.146
1996-02-01,1.146
1996-03-01,1.208
1996-04-01,1.283
1996-05-01,1.304
1996-06-01,1.280
1996-07-01,1.257
1996-08-01,1.238
1996-09-01,1.256
1996-10-01,1.263
1996-11-01,1.315
1996-12-01,1.306
1997-01-01,1.300
1997-02-01,1.278
1997-03-01,1.236
1997-04-01,1.226
1997-05-01,1.252
1997-06-01,1.259
1997-07-01,1.237
1997-08-01,1.294
1997-09-01,1.268
1997-10-01,1.220
1997-11-01,1.196
1997-12-01,1.146
1998-01-01,1.093
1998-02-01,1.085
1998-03-01,1.079
1998-04-01,1.097
1998-05-01,1.139
1998-06-01,1.135
1998-07-01,1.131
1998-08-01,1.086
1998-09-01,1.073
1998-10-01,1.084
1998-11-01,1.042
1998-12-01,0.977
1999-01-01,0.982
1999-02-01,0.958
1999-03-01,1.050
1999-04-01,1.177
1999-05-01,1.177
1999-06-01,1.173
1999-07-01,1.218
1999-08-01,1.273
1999-09-01,1.331
1999-10-01,1.292
1999-11-01,1.326
1999-12-01,1.340
2000-01-01,1.378
2000-02-01,1.485
2000-03-01,1.574
2000-04-01,1.477
2000-05-01,1.542
2000-06-01,1.822
2000-07-01,1.586
2000-08-01,1.474
2000-09-01,1.613
2000-10-01,1.581
2000-11-01,1.580
2000-12-01,1.475
2001-01-01,1.533
2001-02-01,1.509
2001-03-01,1.450
2001-04-01,1.645
2001-05-01,1.839
2001-06-01,1.647
2001-07-01,1.388
2001-08-01,1.531
2001-09-01,1.677
2001-10-01,1.298
2001-11-01,1.194
2001-12-01,1.156
2002-01-01,1.166
2002-02-01,1.166
2002-03-01,1.329
2002-04-01,1.446
2002-05-01,1.443
2002-06-01,1.431
2002-07-01,1.471
2002-08-01,1.441
2002-09-01,1.449
2002-10-01,1.539
2002-11-01,1.452
2002-12-01,1.414
2003-01-01,1.509
2003-02-01,1.675
2003-03-01,1.700
2003-04-01,1.553
2003-05-01,1.499
2003-06-01,1.528
2003-07-01,1.539
2003-08-01,1.668
2003-09-01,1.673
2003-10-01,1.587
2003-11-01,1.540
2003-12-01,1.497
2004-01-01,1.624
2004-02-01,1.681
2004-03-01,1.745
2004-04-01,1.815
2004-05-01,2.010
2004-06-01,1.928
2004-07-01,1.911
2004-08-01,1.906
2004-09-01,1.903
2004-10-01,2.012
2004-11-01,1.976
2004-12-01,1.818
2005-01-01,1.878
2005-02-01,1.955
2005-03-01,2.144
2005-04-01,2.247
2005-05-01,2.118
2005-06-01,2.165
2005-07-01,2.291
2005-08-01,2.502
2005-09-01,2.895
2005-10-01,2.666
2005-11-01,2.197
2005-12-01,2.246
2006-01-01,2.352
2006-02-01,2.291
2006-03-01,2.502
2006-04-01,2.772
2006-05-01,2.850
2006-06-01,2.863
2006-07-01,3.018
2006-08-01,2.946
2006-09-01,2.436
2006-10-01,2.223
2006-11-01,2.276
2006-12-01,2.325
2007-01-01,2.200
2007-02-01,2.329
2007-03-01,2.557
2007-04-01,2.828
2007-05-01,3.262
2007-06-01,3.107
2007-07-01,3.041
2007-08-01,2.873
2007-09-01,2.963
2007-10-01,2.851
2007-11-01,3.134
2007-12-01,3.020
2008-01-01,3.059
2008-02-01,3.071
2008-03-01,3.248
2008-04-01,3.465
2008-05-01,3.807
2008-06-01,4.029
2008-07-01,4.020
2008-08-01,3.759
2008-09-01,3.762
2008-10-01,2.948
2008-11-01,2.049
2008-12-01,1.708
2009-01-01,1.877
2009-02-01,1.930
2009-03-01,1.996
2009-04-01,2.060
2009-05-01,2.325
2009-06-01,2.699
2009-07-01,2.511
2009-08-01,2.604
2009-09-01,2.500
2009-10-01,2.560
2009-11-01,2.660
2009-12-01,2.610
2010-01-01,2.730
2010-02-01,2.625
2010-03-01,2.789
2010-04-01,2.873
2010-05-01,2.827
2010-06-01,2.741
2010-07-01,2.757
2010-08-01,2.739
2010-09-01,2.775
2010-10-01,2.849
2010-11-01,2.892
2010-12-01,3.027
2011-01-01,3.145
2011-02-01,3.242
2011-03-01,3.579
2011-04-01,3.854
2011-05-01,3.958
2011-06-01,3.708
2011-07-01,3.707
2011-08-01,3.694
2011-09-01,3.658
2011-10-01,3.434
2011-11-01,3.361
2011-12-01,3.275
2012-01-01,3.387
2012-02-01,3.545
2012-03-01,3.854
2012-04-01,3.855
2012-05-01,3.692
2012-06-01,3.567
2012-07-01,3.498
2012-08-01,3.824
2012-09-01,3.919
2012-10-01,3.710
2012-11-01,3.438
2012-12-01,3.317
2013-01-01,3.286
2013-02-01,3.714
2013-03-01,3.727
2013-04-01,3.589
2013-05-01,3.781
2013-06-01,3.788
2013-07-01,3.598
2013-08-01,3.597
2013-09-01,3.591
2013-10-01,3.388
2013-11-01,3.276
2013-12-01,3.278
2014-01-01,3.344
2014-02-01,3.458
2014-03-01,3.663
2014-04-01,3.737
2014-05-01,3.730
2014-06-01,3.807
2014-07-01,3.637
2014-08-01,3.548
2014-09-01,3.490
2014-10-01,3.220
2014-11-01,3.018
2014-12-01,2.565
2015-01-01,2.104
2015-02-01,2.328
2015-03-01,2.487
2015-04-01,2.501
2015-05-01,2.706
2015-06-01,2.869
2015-07-01,2.824
2015-08-01,2.740
2015-09-01,2.481
2015-10-01,2.515
2015-11-01,2.281
2015-12-01,2.085
2016-01-01,1.959
2016-02-01,1.811
2016-03-01,2.112
2016-04-01,2.232
2016-05-01,2.431
2016-06-01,2.600
2016-07-01,2.370
2016-08-01,2.361
2016-09-01,2.376
2016-10-01,2.381
2016-11-01,2.270
2016-12-01,2.417
2017-01-01,2.482
2017-02-01,2.419
2017-03-01,2.448
2017-04-01,2.562
2017-05-01,2.508
2017-06-01,2.474
2017-07-01,2.455
2017-08-01,2.530
2017-09-01,2.729
2017-10-01,2.635
2017-11-01,2.738
2017-12-01,2.608
2018-01-01,2.717
2018-02-01,2.690
2018-03-01,2.716
2018-04-01,2.861
2018-05-01,3.022
2018-06-01,3.015
2018-07-01,3.023
2018-08-01,3.012
2018-09-01,3.006
2018-10-01,3.001
2018-11-01,2.743
2018-12-01,2.429
