DATE,VALUE
1994-11-28,1.121
1994-12-05,1.109
1994-12-12,1.092
1994-12-19,1.083
1994-12-26,1.072
1995-01-02,1.075
1995-01-09,1.097
1995-01-16,1.080
1995-01-23,1.105
1995-01-30,1.106
1995-02-06,1.095
1995-02-13,1.091
1995-02-20,1.081
1995-02-27,1.100
1995-03-06,1.104
1995-03-13,1.089
1995-03-20,1.094
1995-03-27,1.108
1995-04-03,1.133
1995-04-10,1.153
1995-04-17,1.169
1995-04-24,1.193
1995-05-01,1.191
1995-05-08,1.224
1995-05-15,1.232
1995-05-22,1.259
1995-05-29,1.252
1995-06-05,1.252
1995-06-12,1.245
1995-06-19,1.230
1995-06-26,1.216
1995-07-03,1.204
1995-07-10,1.185
1995-07-17,1.174
1995-07-24,1.160
1995-07-31,1.146
1995-08-07,1.147
1995-08-14,1.150
1995-08-21,1.157
1995-08-28,1.142
1995-09-04,1.145
1995-09-11,1.146
1995-09-18,1.147
1995-09-25,1.145
1995-10-02,1.137
1995-10-09,1.123
1995-10-16,1.108
1995-10-23,1.095
1995-10-30,1.081
1995-11-06,1.089
1995-11-13,1.093
1995-11-20,1.092
1995-11-27,1.096
1995-12-04,1.104
1995-12-11,1.101
1995-12-18,1.141
1995-12-25,1.141
1996-01-01,1.140
1996-01-08,1.160
1996-01-15,1.157
1996-01-22,1.141
1996-01-29,1.130
1996-02-05,1.129
1996-02-12,1.126
1996-02-19,1.141
1996-02-26,1.186
1996-03-04,1.199
1996-03-11,1.190
1996-03-18,1.205
1996-03-25,1.236
1996-04-01,1.244
1996-04-08,1.268
1996-04-15,1.304
1996-04-22,1.293
1996-04-29,1.306
1996-05-06,1.293
1996-05-13,1.301
1996-05-20,1.318
1996-05-27,1.302
1996-06-03,1.289
1996-06-10,1.283
1996-06-17,1.280
1996-06-24,1.267
1996-07-01,1.251
1996-07-08,1.259
1996-07-15,1.261
1996-07-22,1.265
1996-07-29,1.248
1996-08-05,1.231
1996-08-12,1.225
1996-08-19,1.243
1996-08-26,1.252
1996-09-02,1.240
1996-09-09,1.258
1996-09-16,1.263
1996-09-23,1.263
1996-09-30,1.255
1996-10-07,1.240
1996-10-14,1.263
1996-10-21,1.260
1996-10-28,1.287
1996-11-04,1.301
1996-11-11,1.311
1996-11-18,1.318
1996-11-25,1.330
1996-12-02,1.325
1996-12-09,1.321
1996-12-16,1.305
1996-12-23,1.294
1996-12-30,1.286
1997-01-06,1.280
1997-01-13,1.315
1997-01-20,1.306
1997-01-27,1.299
1997-02-03,1.296
1997-02-10,1.280
1997-02-17,1.265
1997-02-24,1.269
1997-03-03,1.250
1997-03-10,1.241
1997-03-17,1.223
1997-03-24,1.240
1997-03-31,1.227
1997-04-07,1.225
1997-04-14,1.219
1997-04-21,1.232
1997-04-28,1.229
1997-05-05,1.228
1997-05-12,1.237
1997-05-19,1.263
1997-05-26,1.281
1997-06-02,1.284
1997-06-09,1.275
1997-06-16,1.258
1997-06-23,1.244
1997-06-30,1.234
1997-07-07,1.235
1997-07-14,1.231
1997-07-21,1.249
1997-07-28,1.234
1997-08-04,1.263
1997-08-11,1.308
1997-08-18,1.295
1997-08-25,1.308
1997-09-01,1.300
1997-09-08,1.288
1997-09-15,1.272
1997-09-22,1.251
1997-09-29,1.227
1997-10-06,1.242
1997-10-13,1.227
1997-10-20,1.213
1997-10-27,1.198
1997-11-03,1.193
