DATE,VALUE
1994-11-28,1.231
1994-12-05,1.240
1994-12-12,1.249
1994-12-19,1.222
1994-12-26,1.202
1995-01-02,1.198
1995-01-09,1.188
1995-01-16,1.180
1995-01-23,1.197
1995-01-30,1.184
1995-02-06,1.167
1995-02-13,1.181
1995-02-20,1.173
1995-02-27,1.154
1995-03-06,1.193
1995-03-13,1.181
1995-03-20,1.168
1995-03-27,1.203
1995-04-03,1.200
1995-04-10,1.243
1995-04-17,1.221
1995-04-24,1.212
1995-05-01,1.248
1995-05-08,1.236
1995-05-15,1.272
1995-05-22,1.262
1995-05-29,1.285
1995-06-05,1.275
1995-06-12,1.310
1995-06-19,1.273
1995-06-26,1.277
1995-07-03,1.284
1995-07-10,1.266
1995-07-17,1.259
1995-07-24,1.270
1995-07-31,1.253
1995-08-07,1.245
1995-08-14,1.256
1995-08-21,1.266
1995-08-28,1.254
1995-09-04,1.243
1995-09-11,1.261
1995-09-18,1.280
1995-09-25,1.277
1995-10-02,1.287
1995-10-09,1.270
1995-10-16,1.252
1995-10-23,1.235
1995-10-30,1.254
1995-11-06,1.242
1995-11-13,1.238
1995-11-20,1.258
1995-11-27,1.243
1995-12-04,1.227
1995-12-11,1.231
1995-12-18,1.217
1995-12-25,1.207
1996-01-01,1.202
1996-01-08,1.224
1996-01-15,1.218
1996-01-22,1.202
1996-01-29,1.214
1996-02-05,1.204
1996-02-12,1.187
1996-02-19,1.234
1996-02-26,1.218
1996-03-04,1.242
1996-03-11,1.236
1996-03-18,1.225
1996-03-25,1.281
1996-04-01,1.279
1996-04-08,1.312
1996-04-15,1.334
1996-04-22,1.353
1996-04-29,1.426
1996-05-06,1.437
1996-05-13,1.432
1996-05-20,1.448
1996-05-27,1.434
1996-06-03,1.414
1996-06-10,1.395
1996-06-17,1.407
1996-06-24,1.387
1996-07-01,1.389
1996-07-08,1.377
1996-07-15,1.358
1996-07-22,1.370
1996-07-29,1.363
1996-08-05,1.377
1996-08-12,1.392
1996-08-19,1.375
1996-08-26,1.390
1996-09-02,1.380
1996-09-09,1.372
1996-09-16,1.390
1996-09-23,1.380
1996-09-30,1.371
1996-10-07,1.384
1996-10-14,1.371
1996-10-21,1.363
1996-10-28,1.382
1996-11-04,1.372
1996-11-11,1.356
1996-11-18,1.373
1996-11-25,1.368
1996-12-02,1.358
1996-12-09,1.345
1996-12-16,1.367
1996-12-23,1.350
1996-12-30,1.343
1997-01-06,1.338
1997-01-13,1.363
1997-01-20,1.360
1997-01-27,1.364
1997-02-03,1.354
1997-02-10,1.358
1997-02-17,1.366
1997-02-24,1.359
1997-03-03,1.372
1997-03-10,1.356
1997-03-17,1.361
1997-03-24,1.340
1997-03-31,1.329
1997-04-07,1.371
1997-04-14,1.371
1997-04-21,1.377
1997-04-28,1.357
1997-05-05,1.343
1997-05-12,1.363
1997-05-19,1.370
1997-05-26,1.368
1997-06-02,1.392
1997-06-09,1.377
1997-06-16,1.360
1997-06-23,1.346
1997-06-30,1.363
1997-07-07,1.367
