DATE,VALUE
1994-11-28,1.174
1994-12-05,1.167
1994-12-12,1.156
1994-12-19,1.147
1994-12-26,1.136
1995-01-02,1.159
1995-01-09,1.164
1995-01-16,1.155
1995-01-23,1.165
1995-01-30,1.163
1995-02-06,1.157
1995-02-13,1.153
1995-02-20,1.148
1995-02-27,1.153
1995-03-06,1.157
1995-03-13,1.150
1995-03-20,1.149
1995-03-27,1.153
1995-04-03,1.167
1995-04-10,1.186
1995-04-17,1.201
1995-04-24,1.224
1995-05-01,1.234
1995-05-08,1.257
1995-05-15,1.267
1995-05-22,1.285
1995-05-29,1.288
1995-06-05,1.288
1995-06-12,1.286
1995-06-19,1.277
1995-06-26,1.270
1995-07-03,1.262
1995-07-10,1.252
1995-07-17,1.243
1995-07-24,1.234
1995-07-31,1.220
1995-08-07,1.216
1995-08-14,1.214
1995-08-21,1.215
1995-08-28,1.206
1995-09-04,1.202
1995-09-11,1.201
1995-09-18,1.200
1995-09-25,1.197
1995-10-02,1.191
1995-10-09,1.182
1995-10-16,1.173
1995-10-23,1.163
1995-10-30,1.154
1995-11-06,1.151
1995-11-13,1.149
1995-11-20,1.146
1995-11-27,1.146
1995-12-04,1.147
1995-12-11,1.148
1995-12-18,1.161
1995-12-25,1.163
1996-01-01,1.164
1996-01-08,1.174
1996-01-15,1.180
1996-01-22,1.173
1996-01-29,1.168
1996-02-05,1.164
1996-02-12,1.161
1996-02-19,1.169
1996-02-26,1.189
1996-03-04,1.205
1996-03-11,1.206
1996-03-18,1.216
1996-03-25,1.244
1996-04-01,1.258
1996-04-08,1.282
1996-04-15,1.321
1996-04-22,1.333
1996-04-29,1.347
1996-05-06,1.349
1996-05-13,1.352
1996-05-20,1.359
1996-05-27,1.347
1996-06-03,1.342
1996-06-10,1.335
1996-06-17,1.329
1996-06-24,1.318
1996-07-01,1.307
1996-07-08,1.307
1996-07-15,1.304
1996-07-22,1.304
1996-07-29,1.297
1996-08-05,1.289
1996-08-12,1.284
1996-08-19,1.287
1996-08-26,1.288
1996-09-02,1.281
1996-09-09,1.287
1996-09-16,1.290
1996-09-23,1.290
1996-09-30,1.286
1996-10-07,1.279
1996-10-14,1.290
1996-10-21,1.292
1996-10-28,1.305
1996-11-04,1.312
1996-11-11,1.317
1996-11-18,1.326
1996-11-25,1.332
1996-12-02,1.330
1996-12-09,1.327
1996-12-16,1.322
1996-12-23,1.317
1996-12-30,1.313
1997-01-06,1.311
1997-01-13,1.326
1997-01-20,1.324
1997-01-27,1.321
1997-02-03,1.319
1997-02-10,1.315
1997-02-17,1.309
1997-02-24,1.307
1997-03-03,1.298
1997-03-10,1.292
1997-03-17,1.283
1997-03-24,1.285
1997-03-31,1.281
1997-04-07,1.282
1997-04-14,1.278
1997-04-21,1.278
1997-04-28,1.273
1997-05-05,1.269
1997-05-12,1.271
1997-05-19,1.280
1997-05-26,1.287
1997-06-02,1.290
1997-06-09,1.283
1997-06-16,1.274
1997-06-23,1.265
1997-06-30,1.259
1997-07-07,1.257
1997-07-14,1.254
1997-07-21,1.258
1997-07-28,1.252
1997-08-04,1.268
1997-08-11,1.302
1997-08-18,1.301
1997-08-25,1.314
1997-09-01,1.315
1997-09-08,1.313
1997-09-15,1.305
1997-09-22,1.294
1997-09-29,1.281
1997-10-06,1.283
1997-10-13,1.276
1997-10-20,1.268
1997-10-27,1.258
1997-11-03,1.251
1997-11-10,1.253
1997-11-17,1.244
1997-11-24,1.239
1997-12-01,1.230
1997-12-08,1.218
1997-12-15,1.208
1997-12-22,1.198
1997-12-29,1.189
1998-01-05,1.181
1998-01-12,1.174
1998-01-19,1.162
1998-01-26,1.146
1998-02-02,1.144
1998-02-09,1.138
1998-02-16,1.123
1998-02-23,1.128
1998-03-02,1.117
1998-03-09,1.110
1998-03-16,1.100
1998-03-23,1.090
1998-03-30,1.117
1998-04-06,1.114
1998-04-13,1.111
1998-04-20,1.114
1998-04-27,1.123
1998-05-04,1.131
1998-05-11,1.144
1998-05-18,1.137
1998-05-25,1.138
1998-06-01,1.132
1998-06-08,1.142
1998-06-15,1.134
1998-06-22,1.127
1998-06-29,1.128
1998-07-06,1.127
1998-07-13,1.123
1998-07-20,1.128
1998-07-27,1.118
1998-08-03,1.109
1998-08-10,1.102
1998-08-17,1.097
1998-08-24,1.090
1998-08-31,1.085
1998-09-07,1.079
1998-09-14,1.075
1998-09-21,1.086
1998-09-28,1.085
1998-10-05,1.093
1998-10-12,1.100
1998-10-19,1.095
1998-10-26,1.089
1998-11-02,1.086
1998-11-09,1.083
1998-11-16,1.073
1998-11-23,1.065
1998-11-30,1.048
1998-12-07,1.027
1998-12-14,1.016
1998-12-21,1.014
1998-12-28,1.008
1999-01-04,1.006
1999-01-11,1.011
1999-01-18,1.012
1999-01-25,1.006
1999-02-01,1.002
1999-02-08,0.999
1999-02-15,0.990
1999-02-22,0.979
1999-03-01,0.987
1999-03-08,0.995
1999-03-15,1.048
1999-03-22,1.086
1999-03-29,1.141
1999-04-05,1.172
1999-04-12,1.193
1999-04-19,1.190
1999-04-26,1.187
1999-05-03,1.194
1999-05-10,1.201
1999-05-17,1.203
1999-05-24,1.191
1999-05-31,1.180
1999-06-07,1.184
1999-06-14,1.178
1999-06-21,1.195
1999-06-28,1.185
1999-07-05,1.200
1999-07-12,1.210
1999-07-19,1.238
1999-07-26,1.261
1999-08-02,1.262
1999-08-09,1.270
1999-08-16,1.300
1999-08-23,1.301
1999-08-30,1.302
1999-09-06,1.311
1999-09-13,1.325
1999-09-20,1.345
1999-09-27,1.342
1999-10-04,1.335
1999-10-11,1.327
1999-10-18,1.314
1999-10-25,1.319
1999-11-01,1.312
1999-11-08,1.314
1999-11-15,1.334
1999-11-22,1.353
1999-11-29,1.357
1999-12-06,1.353
1999-12-13,1.356
1999-12-20,1.351
1999-12-27,1.358
2000-01-03,1.353
2000-01-10,1.345
2000-01-17,1.362
2000-01-24,1.397
2000-01-31,1.398
2000-02-07,1.406
2000-02-14,1.438
2000-02-21,1.487
2000-02-28,1.499
2000-03-06,1.579
2000-03-13,1.600
2000-03-20,1.597
2000-03-27,1.576
2000-04-03,1.572
2000-04-10,1.541
2000-04-17,1.508
2000-04-24,1.495
2000-05-01,1.477
2000-05-08,1.518
2000-05-15,1.556
2000-05-22,1.581
2000-05-29,1.594
2000-06-05,1.615
2000-06-12,1.680
2000-06-19,1.730
2000-06-26,1.712
2000-07-03,1.682
2000-07-10,1.654
2000-07-17,1.610
2000-07-24,1.591
2000-07-31,1.541
2000-08-07,1.532
2000-08-14,1.511
2000-08-21,1.534
2000-08-28,1.544
2000-09-04,1.586
2000-09-11,1.615
2000-09-18,1.619
2000-09-25,1.607
2000-10-02,1.580
2000-10-09,1.554
2000-10-16,1.600
2000-10-23,1.614
2000-10-30,1.608
2000-11-06,1.586
2000-11-13,1.587
2000-11-20,1.573
2000-11-27,1.575
2000-12-04,1.550
2000-12-11,1.514
2000-12-18,1.485
2000-12-25,1.467
2001-01-01,1.467
2001-01-08,1.492
2001-01-15,1.546
2001-01-22,1.543
2001-01-29,1.533
2001-02-05,1.517
2001-02-12,1.547
2001-02-19,1.517
2001-02-26,1.498
2001-03-05,1.482
2001-03-12,1.477
2001-03-19,1.464
2001-03-26,1.468
2001-04-02,1.502
2001-04-09,1.562
2001-04-16,1.625
2001-04-23,1.676
2001-04-30,1.671
2001-05-07,1.738
2001-05-14,1.735
2001-05-21,1.715
2001-05-28,1.730
2001-06-04,1.703
2001-06-11,1.660
2001-06-18,1.611
2001-06-25,1.546
2001-07-02,1.482
2001-07-09,1.448
2001-07-16,1.428
2001-07-23,1.408
2001-07-30,1.406
2001-08-06,1.406
2001-08-13,1.430
2001-08-20,1.476
2001-08-27,1.538
2001-09-03,1.599
2001-09-10,1.575
2001-09-17,1.580
2001-09-24,1.532
2001-10-01,1.455
2001-10-08,1.390
2001-10-15,1.349
2001-10-22,1.306
2001-10-29,1.278
2001-11-05,1.256
2001-11-12,1.233
2001-11-19,1.222
2001-11-26,1.180
2001-12-03,1.167
2001-12-10,1.161
2001-12-17,1.130
2001-12-24,1.151
2001-12-31,1.182
2002-01-07,1.194
2002-01-14,1.185
2002-01-21,1.175
2002-01-28,1.167
2002-02-04,1.184
2002-02-11,1.172
2002-02-18,1.175
2002-02-25,1.172
2002-03-04,1.204
2002-03-11,1.277
2002-03-18,1.346
2002-03-25,1.393
2002-04-01,1.428
2002-04-08,1.472
2002-04-15,1.457
2002-04-22,1.457
2002-04-29,1.440
2002-05-06,1.446
2002-05-13,1.439
2002-05-20,1.449
2002-05-27,1.438
2002-06-03,1.442
2002-06-10,1.420
2002-06-17,1.423
2002-06-24,1.428
2002-07-01,1.444
2002-07-08,1.431
2002-07-15,1.444
2002-07-22,1.465
2002-07-29,1.459
2002-08-05,1.443
2002-08-12,1.441
2002-08-19,1.443
2002-08-26,1.450
2002-09-02,1.438
2002-09-09,1.441
2002-09-16,1.452
2002-09-23,1.441
2002-09-30,1.471
2002-10-07,1.502
2002-10-14,1.507
2002-10-21,1.527
2002-10-28,1.510
2002-11-04,1.513
2002-11-11,1.489
2002-11-18,1.456
2002-11-25,1.423
2002-12-02,1.405
2002-12-09,1.405
2002-12-16,1.411
2002-12-23,1.459
2002-12-30,1.506
2003-01-06,1.502
2003-01-13,1.512
2003-01-20,1.512
2003-01-27,1.525
2003-02-03,1.588
2003-02-10,1.673
2003-02-17,1.716
2003-02-24,1.700
2003-03-03,1.725
2003-03-10,1.748
2003-03-17,1.758
2003-03-24,1.712
2003-03-31,1.666
2003-04-07,1.645
2003-04-14,1.611
2003-04-21,1.593
2003-04-28,1.574
2003-05-05,1.528
2003-05-12,1.514
2003-05-19,1.524
2003-05-26,1.517
2003-06-02,1.507
2003-06-09,1.534
2003-06-16,1.561
2003-06-23,1.532
2003-06-30,1.525
2003-07-07,1.529
2003-07-14,1.573
2003-07-21,1.582
2003-07-28,1.574
2003-08-04,1.596
2003-08-11,1.632
2003-08-18,1.676
2003-08-25,1.775
2003-09-01,1.767
2003-09-08,1.733
2003-09-15,1.721
2003-09-22,1.664
2003-09-29,1.613
2003-10-06,1.599
2003-10-13,1.597
2003-10-20,1.607
2003-10-27,1.579
2003-11-03,1.577
2003-11-10,1.547
2003-11-17,1.544
2003-11-24,1.563
2003-12-01,1.540
2003-12-08,1.528
2003-12-15,1.521
2003-12-22,1.549
2003-12-29,1.544
2004-01-05,1.578
2004-01-12,1.634
2004-01-19,1.667
2004-01-26,1.691
2004-02-02,1.679
2004-02-09,1.695
2004-02-16,1.703
2004-02-23,1.726
2004-03-01,1.749
2004-03-08,1.777
2004-03-15,1.762
2004-03-22,1.784
2004-03-29,1.802
2004-04-05,1.823
2004-04-12,1.826
2004-04-19,1.856
2004-04-26,1.859
2004-05-03,1.892
2004-05-10,1.981
2004-05-17,2.056
2004-05-24,2.104
2004-05-31,2.084
2004-06-07,2.064
2004-06-14,2.014
2004-06-21,1.961
2004-06-28,1.947
2004-07-05,1.922
2004-07-12,1.951
2004-07-19,1.971
2004-07-26,1.948
2004-08-02,1.931
2004-08-09,1.923
2004-08-16,1.925
2004-08-23,1.936
2004-08-30,1.911
2004-09-06,1.901
2004-09-13,1.900
2004-09-20,1.923
2004-09-27,1.979
2004-10-04,1.987
2004-10-11,2.035
2004-10-18,2.070
2004-10-25,2.068
2004-11-01,2.074
2004-11-08,2.042
2004-11-15,2.013
2004-11-22,1.993
2004-11-29,1.994
2004-12-06,1.960
2004-12-13,1.893
2004-12-20,1.873
2004-12-27,1.851
2005-01-03,1.839
2005-01-10,1.862
2005-01-17,1.893
2005-01-24,1.929
2005-01-31,1.982
2005-02-07,1.978
2005-02-14,1.960
2005-02-21,1.966
