DATE,VALUE
1995-01-01,1.376
1995-02-01,1.358
1995-03-01,1.352
1995-04-01,1.375
1995-05-01,1.413
1995-06-01,1.421
1995-07-01,1.409
1995-08-01,1.399
1995-09-01,1.387
1995-10-01,1.367
1995-11-01,1.364
1995-12-01,1.358
1996-01-01,1.352
1996-02-01,1.346
1996-03-01,1.380
1996-04-01,1.492
1996-05-01,1.596
1996-06-01,1.582
1996-07-01,1.560
1996-08-01,1.538
1996-09-01,1.520
1996-10-01,1.508
1996-11-01,1.454
1996-12-01,1.406
1997-01-01,1.416
1997-02-01,1.439
1997-03-01,1.447
1997-04-01,1.463
1997-05-01,1.455
1997-06-01,1.425
1997-07-01,1.396
1997-08-01,1.428
1997-09-01,1.500
1997-10-01,1.501
1997-11-01,1.477
1997-12-01,1.432
1998-01-01,1.391
1998-02-01,1.333
1998-03-01,1.262
1998-04-01,1.260
1998-05-01,1.286
1998-06-01,1.268
1998-07-01,1.258
1998-08-01,1.248
1998-09-01,1.239
1998-10-01,1.237
1998-11-01,1.228
1998-12-01,1.207
1999-01-01,1.194
1999-02-01,1.163
1999-03-01,1.228
1999-04-01,1.498
1999-05-01,1.456
1999-06-01,1.420
1999-07-01,1.464
1999-08-01,1.522
1999-09-01,1.501
1999-10-01,1.476
1999-11-01,1.459
1999-12-01,1.469
2000-01-01,1.467
2000-02-01,1.519
2000-03-01,1.719
2000-04-01,1.753
2000-05-01,1.686
2000-06-01,1.670
2000-07-01,1.732
2000-08-01,1.736
2000-09-01,1.806
2000-10-01,1.812
2000-11-01,1.784
2000-12-01,1.728
2001-01-01,1.653
2001-02-01,1.646
2001-03-01,1.665
2001-04-01,1.672
2001-05-01,1.717
2001-06-01,1.730
2001-07-01,1.648
2001-08-01,1.583
2001-09-01,1.733
2001-10-01,1.657
2001-11-01,1.508
2001-12-01,1.330
2002-01-01,1.298
2002-02-01,1.292
2002-03-01,1.368
2002-04-01,1.516
2002-05-01,1.523
2002-06-01,1.546
2002-07-01,1.563
2002-08-01,1.557
2002-09-01,1.536
2002-10-01,1.502
2002-11-01,1.504
2002-12-01,1.478
2003-01-01,1.509
2003-02-01,1.711
2003-03-01,1.946
2003-04-01,1.874
2003-05-01,1.743
2003-06-01,1.739
2003-07-01,1.745
2003-08-01,1.873
2003-09-01,1.972
2003-10-01,1.790
2003-11-01,1.746
2003-12-01,1.700
2004-01-01,1.743
2004-02-01,1.838
2004-03-01,1.970
2004-04-01,2.069
2004-05-01,2.289
2004-06-01,2.253
2004-07-01,2.120
2004-08-01,2.079
2004-09-01,2.117
2004-10-01,2.206
2004-11-01,2.185
2004-12-01,2.052
