DATE,VALUE
1995-01-02,1.385
1995-01-09,1.382
1995-01-16,1.377
1995-01-23,1.375
1995-01-30,1.363
1995-02-06,1.360
1995-02-13,1.359
1995-02-20,1.355
1995-02-27,1.359
1995-03-06,1.359
1995-03-13,1.357
1995-03-20,1.356
1995-03-27,1.335
1995-04-03,1.357
1995-04-10,1.371
1995-04-17,1.380
1995-04-24,1.391
1995-05-01,1.398
1995-05-08,1.408
1995-05-15,1.412
1995-05-22,1.422
1995-05-29,1.425
1995-06-05,1.424
1995-06-12,1.425
1995-06-19,1.422
1995-06-26,1.411
1995-07-03,1.411
1995-07-10,1.411
1995-07-17,1.408
1995-07-24,1.407
1995-07-31,1.408
1995-08-07,1.402
1995-08-14,1.397
1995-08-21,1.400
1995-08-28,1.398
1995-09-04,1.396
1995-09-11,1.390
1995-09-18,1.387
1995-09-25,1.375
1995-10-02,1.372
1995-10-09,1.364
1995-10-16,1.370
1995-10-23,1.368
1995-10-30,1.361
1995-11-06,1.370
1995-11-13,1.366
1995-11-20,1.359
1995-11-27,1.359
1995-12-04,1.359
1995-12-11,1.358
1995-12-18,1.354
1995-12-25,1.360
1996-01-01,1.357
1996-01-08,1.352
1996-01-15,1.352
1996-01-22,1.351
1996-01-29,1.348
1996-02-05,1.347
1996-02-12,1.344
1996-02-19,1.344
1996-02-26,1.349
1996-03-04,1.354
1996-03-11,1.374
1996-03-18,1.391
1996-03-25,1.402
1996-04-01,1.423
1996-04-08,1.445
1996-04-15,1.478
1996-04-22,1.538
1996-04-29,1.574
1996-05-06,1.597
1996-05-13,1.606
1996-05-20,1.609
1996-05-27,1.571
1996-06-03,1.590
1996-06-10,1.589
1996-06-17,1.578
1996-06-24,1.571
1996-07-01,1.566
1996-07-08,1.563
1996-07-15,1.561
1996-07-22,1.557
1996-07-29,1.551
1996-08-05,1.548
1996-08-12,1.545
1996-08-19,1.531
1996-08-26,1.529
1996-09-02,1.524
1996-09-09,1.520
1996-09-16,1.517
1996-09-23,1.520
1996-09-30,1.517
1996-10-07,1.514
1996-10-14,1.512
1996-10-21,1.507
1996-10-28,1.500
1996-11-04,1.467
1996-11-11,1.461
1996-11-18,1.449
1996-11-25,1.437
1996-12-02,1.428
1996-12-09,1.407
1996-12-16,1.402
1996-12-23,1.397
1996-12-30,1.398
1997-01-06,1.399
1997-01-13,1.410
1997-01-20,1.422
1997-01-27,1.431
1997-02-03,1.429
1997-02-10,1.442
1997-02-17,1.442
1997-02-24,1.444
1997-03-03,1.443
1997-03-10,1.444
1997-03-17,1.444
1997-03-24,1.446
1997-03-31,1.456
1997-04-07,1.462
1997-04-14,1.463
1997-04-21,1.466
1997-04-28,1.461
1997-05-05,1.458
1997-05-12,1.469
1997-05-19,1.450
1997-05-26,1.443
1997-06-02,1.439
1997-06-09,1.434
1997-06-16,1.425
1997-06-23,1.416
1997-06-30,1.411
1997-07-07,1.403
1997-07-14,1.400
1997-07-21,1.392
1997-07-28,1.388
1997-08-04,1.393
1997-08-11,1.419
1997-08-18,1.439
1997-08-25,1.461
1997-09-01,1.484
1997-09-08,1.499
1997-09-15,1.506
1997-09-22,1.506
1997-09-29,1.505
1997-10-06,1.506
1997-10-13,1.502
1997-10-20,1.500
1997-10-27,1.494
1997-11-03,1.490
1997-11-10,1.482
1997-11-17,1.473
1997-11-24,1.462
1997-12-01,1.454
1997-12-08,1.440
1997-12-15,1.429
1997-12-22,1.419
1997-12-29,1.416
1998-01-05,1.408
1998-01-12,1.399
1998-01-19,1.386
1998-01-26,1.371
1998-02-02,1.355
1998-02-09,1.339
1998-02-16,1.326
1998-02-23,1.310
1998-03-02,1.288
1998-03-09,1.273
1998-03-16,1.257
1998-03-23,1.244
1998-03-30,1.248
1998-04-06,1.257
1998-04-13,1.258
1998-04-20,1.264
1998-04-27,1.259
1998-05-04,1.283
1998-05-11,1.316
1998-05-18,1.270
1998-05-25,1.274
1998-06-01,1.273
1998-06-08,1.269
1998-06-15,1.267
1998-06-22,1.265
1998-06-29,1.264
1998-07-06,1.260
1998-07-13,1.258
1998-07-20,1.258
1998-07-27,1.255
1998-08-03,1.252
1998-08-10,1.250
1998-08-17,1.248
1998-08-24,1.247
1998-08-31,1.245
1998-09-07,1.240
1998-09-14,1.237
1998-09-21,1.238
1998-09-28,1.242
1998-10-05,1.241
1998-10-12,1.239
1998-10-19,1.235
1998-10-26,1.234
1998-11-02,1.233
1998-11-09,1.230
1998-11-16,1.230
1998-11-23,1.225
1998-11-30,1.222
1998-12-07,1.215
1998-12-14,1.209
1998-12-21,1.203
1998-12-28,1.202
1999-01-04,1.201
1999-01-11,1.195
1999-01-18,1.190
1999-01-25,1.189
1999-02-01,1.177
1999-02-08,1.166
1999-02-15,1.158
1999-02-22,1.150
1999-03-01,1.151
1999-03-08,1.176
1999-03-15,1.208
1999-03-22,1.246
1999-03-29,1.361
1999-04-05,1.464
1999-04-12,1.518
1999-04-19,1.512
1999-04-26,1.499
1999-05-03,1.484
1999-05-10,1.476
1999-05-17,1.461
1999-05-24,1.439
1999-05-31,1.418
1999-06-07,1.403
1999-06-14,1.408
1999-06-21,1.432
1999-06-28,1.436
1999-07-05,1.436
1999-07-12,1.447
1999-07-19,1.475
1999-07-26,1.498
1999-08-02,1.511
1999-08-09,1.523
1999-08-16,1.527
1999-08-23,1.528
1999-08-30,1.523
1999-09-06,1.515
1999-09-13,1.507
1999-09-20,1.497
1999-09-27,1.485
1999-10-04,1.480
1999-10-11,1.479
1999-10-18,1.475
1999-10-25,1.469
1999-11-01,1.464
1999-11-08,1.453
1999-11-15,1.453
1999-11-22,1.458
1999-11-29,1.465
1999-12-06,1.473
1999-12-13,1.471
1999-12-20,1.467
1999-12-27,1.466
2000-01-03,1.466
2000-01-10,1.462
2000-01-17,1.460
2000-01-24,1.464
2000-01-31,1.483
2000-02-07,1.488
2000-02-14,1.493
2000-02-21,1.522
2000-02-28,1.572
2000-03-06,1.634
2000-03-13,1.698
2000-03-20,1.766
2000-03-27,1.777
2000-04-03,1.777
2000-04-10,1.762
2000-04-17,1.746
2000-04-24,1.726
2000-05-01,1.708
2000-05-08,1.697
2000-05-15,1.684
2000-05-22,1.671
2000-05-29,1.669
2000-06-05,1.666
2000-06-12,1.665
2000-06-19,1.668
2000-06-26,1.681
2000-07-03,1.715
2000-07-10,1.736
2000-07-17,1.739
2000-07-24,1.738
2000-07-31,1.733
2000-08-07,1.726
2000-08-14,1.726
2000-08-21,1.736
2000-08-28,1.755
2000-09-04,1.785
2000-09-11,1.806
2000-09-18,1.815
2000-09-25,1.816
2000-10-02,1.818
2000-10-09,1.817
2000-10-16,1.814
2000-10-23,1.808
2000-10-30,1.804
2000-11-06,1.798
2000-11-13,1.789
2000-11-20,1.778
2000-11-27,1.770
2000-12-04,1.758
2000-12-11,1.735
2000-12-18,1.718
2000-12-25,1.699
2001-01-01,1.686
2001-01-08,1.671
2001-01-15,1.652
2001-01-22,1.632
2001-01-29,1.624
2001-02-05,1.626
2001-02-12,1.642
2001-02-19,1.656
2001-02-26,1.661
2001-03-05,1.666
2001-03-12,1.668
2001-03-19,1.664
2001-03-26,1.662
2001-04-02,1.664
2001-04-09,1.665
2001-04-16,1.670
2001-04-23,1.672
2001-04-30,1.687
2001-05-07,1.703
2001-05-14,1.711
2001-05-21,1.720
2001-05-28,1.735
2001-06-04,1.739
2001-06-11,1.736
2001-06-18,1.727
2001-06-25,1.717
2001-07-02,1.698
2001-07-09,1.677
2001-07-16,1.655
2001-07-23,1.619
2001-07-30,1.593
2001-08-06,1.577
2001-08-13,1.573
2001-08-20,1.574
2001-08-27,1.608
2001-09-03,1.696
2001-09-10,1.731
2001-09-17,1.758
2001-09-24,1.745
2001-10-01,1.715
2001-10-08,1.690
2001-10-15,1.659
2001-10-22,1.623
2001-10-29,1.598
2001-11-05,1.569
2001-11-12,1.530
2001-11-19,1.484
2001-11-26,1.448
2001-12-03,1.398
2001-12-10,1.351
2001-12-17,1.315
2001-12-24,1.296
2001-12-31,1.290
2002-01-07,1.298
2002-01-14,1.303
2002-01-21,1.295
2002-01-28,1.296
2002-02-04,1.295
2002-02-11,1.295
2002-02-18,1.289
2002-02-25,1.287
2002-03-04,1.299
2002-03-11,1.336
2002-03-18,1.387
2002-03-25,1.448
2002-04-01,1.488
2002-04-08,1.515
2002-04-15,1.525
2002-04-22,1.526
2002-04-29,1.525
2002-05-06,1.524
2002-05-13,1.520
2002-05-20,1.521
2002-05-27,1.527
2002-06-03,1.531
2002-06-10,1.530
2002-06-17,1.555
2002-06-24,1.567
2002-07-01,1.565
2002-07-08,1.565
2002-07-15,1.562
2002-07-22,1.562
2002-07-29,1.561
2002-08-05,1.564
2002-08-12,1.561
2002-08-19,1.553
2002-08-26,1.549
2002-09-02,1.546
2002-09-09,1.542
2002-09-16,1.538
2002-09-23,1.529
2002-09-30,1.523
2002-10-07,1.512
2002-10-14,1.502
2002-10-21,1.499
2002-10-28,1.493
2002-11-04,1.499
2002-11-11,1.508
2002-11-18,1.510
2002-11-25,1.499
2002-12-02,1.493
2002-12-09,1.485
2002-12-16,1.472
2002-12-23,1.466
2002-12-30,1.475
2003-01-06,1.480
2003-01-13,1.497
2003-01-20,1.513
2003-01-27,1.544
2003-02-03,1.594
2003-02-10,1.669
2003-02-17,1.761
2003-02-24,1.821
2003-03-03,1.896
2003-03-10,1.939
2003-03-17,1.976
2003-03-24,1.970
2003-03-31,1.948
2003-04-07,1.922
2003-04-14,1.888
2003-04-21,1.857
2003-04-28,1.827
2003-05-05,1.790
2003-05-12,1.754
2003-05-19,1.720
2003-05-26,1.708
2003-06-02,1.703
2003-06-09,1.707
2003-06-16,1.764
2003-06-23,1.767
2003-06-30,1.756
2003-07-07,1.764
2003-07-14,1.750
2003-07-21,1.738
2003-07-28,1.727
2003-08-04,1.741
2003-08-11,1.777
2003-08-18,1.925
2003-08-25,2.047
2003-09-01,2.054
2003-09-08,2.034
2003-09-15,1.982
2003-09-22,1.920
2003-09-29,1.869
2003-10-06,1.830
2003-10-13,1.799
2003-10-20,1.775
2003-10-27,1.755
2003-11-03,1.747
2003-11-10,1.740
2003-11-17,1.750
2003-11-24,1.748
2003-12-01,1.740
2003-12-08,1.713
2003-12-15,1.695
2003-12-22,1.678
2003-12-29,1.675
2004-01-05,1.690
2004-01-12,1.726
2004-01-19,1.769
2004-01-26,1.786
2004-02-02,1.799
2004-02-09,1.816
2004-02-16,1.828
2004-02-23,1.908
2004-03-01,1.967
2004-03-08,1.976
2004-03-15,1.973
2004-03-22,1.966
2004-03-29,1.969
2004-04-05,2.015
2004-04-12,2.049
2004-04-19,2.093
2004-04-26,2.117
2004-05-03,2.152
2004-05-10,2.274
2004-05-17,2.322
2004-05-24,2.348
2004-05-31,2.349
2004-06-07,2.325
2004-06-14,2.280
2004-06-21,2.218
2004-06-28,2.190
2004-07-05,2.141
2004-07-12,2.128
2004-07-19,2.114
2004-07-26,2.095
2004-08-02,2.073
2004-08-09,2.060
2004-08-16,2.058
2004-08-23,2.090
2004-08-30,2.114
2004-09-06,2.110
2004-09-13,2.105
2004-09-20,2.117
2004-09-27,2.136
2004-10-04,2.170
2004-10-11,2.202
2004-10-18,2.225
2004-10-25,2.226
2004-11-01,2.222
2004-11-08,2.205
2004-11-15,2.188
2004-11-22,2.168
2004-11-29,2.144
2004-12-06,2.122
2004-12-13,2.071
2004-12-20,2.021
2004-12-27,1.992
2005-01-03,1.968
2005-01-10,1.945
2005-01-17,1.951
2005-01-24,1.973
2005-01-31,2.029
2005-02-07,2.051
2005-02-14,2.079
2005-02-21,2.133
2005-02-28,2.160
2005-03-07,2.211
2005-03-14,2.260
2005-03-21,2.287
2005-03-28,2.342
2005-04-04,2.406
2005-04-11,2.543
2005-04-18,2.565
2005-04-25,2.561
2005-05-02,2.554
2005-05-09,2.535
2005-05-16,2.496
2005-05-23,2.458
2005-05-30,2.416
2005-06-06,2.387
2005-06-13,2.374
2005-06-20,2.381
2005-06-27,2.430
2005-07-04,2.461
2005-07-11,2.527
2005-07-18,2.549
2005-07-25,2.547
2005-08-01,2.572
2005-08-08,2.639
2005-08-15,2.706
2005-08-22,2.768
2005-08-29,2.814
2005-09-05,3.071
2005-09-12,3.097
2005-09-19,3.057
2005-09-26,3.010
2005-10-03,3.014
2005-10-10,3.001
2005-10-17,2.949
2005-10-24,2.866
2005-10-31,2.759
2005-11-07,2.665
2005-11-14,2.585
2005-11-21,2.505
2005-11-28,2.457
2005-12-05,2.397
2005-12-12,2.330
2005-12-19,2.317
2005-12-26,2.304
2006-01-02,2.306
2006-01-09,2.382
2006-01-16,2.413
2006-01-23,2.446
2006-01-30,2.477
2006-02-06,2.481
2006-02-13,2.460
2006-02-20,2.413
2006-02-27,2.398
2006-03-06,2.441
2006-03-13,2.508
2006-03-20,2.595
2006-03-27,2.644
2006-04-03,2.680
2006-04-10,2.770
2006-04-17,2.806
2006-04-24,3.005
2006-05-01,3.121
2006-05-08,3.196
2006-05-15,3.236
2006-05-22,3.244
2006-05-29,3.231
2006-06-05,3.220
2006-06-12,3.191
2006-06-19,3.157
2006-06-26,3.120
2006-07-03,3.116
2006-07-10,3.124
2006-07-17,3.125
2006-07-24,3.130
2006-07-31,3.125
2006-08-07,3.134
2006-08-14,3.158
2006-08-21,3.141
2006-08-28,3.109
2006-09-04,3.064
2006-09-11,3.012
2006-09-18,2.920
2006-09-25,2.827
2006-10-02,2.760
2006-10-09,2.690
2006-10-16,2.640
2006-10-23,2.601
2006-10-30,2.551
2006-11-06,2.529
2006-11-13,2.572
2006-11-20,2.614
