DATE,VALUE
1994-12-01,1.214
1995-01-01,1.194
1995-02-01,1.181
1995-03-01,1.173
1995-04-01,1.197
1995-05-01,1.274
1995-06-01,1.299
1995-07-01,1.274
1995-08-01,1.244
1995-09-01,1.223
1995-10-01,1.197
1995-11-01,1.162
1995-12-01,1.159
1996-01-01,1.175
1996-02-01,1.175
1996-03-01,1.209
1996-04-01,1.300
1996-05-01,1.351
1996-06-01,1.333
1996-07-01,1.306
1996-08-01,1.287
1996-09-01,1.278
1996-10-01,1.285
1996-11-01,1.317
1996-12-01,1.338
1997-01-01,1.340
1997-02-01,1.332
1997-03-01,1.307
1997-04-01,1.287
1997-05-01,1.275
1997-06-01,1.269
1997-07-01,1.253
1997-08-01,1.296
1997-09-01,1.316
1997-10-01,1.285
1997-11-01,1.257
1997-12-01,1.222
1998-01-01,1.184
1998-02-01,1.143
1998-03-01,1.109
1998-04-01,1.112
1998-05-01,1.122
1998-06-01,1.122
1998-07-01,1.114
1998-08-01,1.094
1998-09-01,1.078
1998-10-01,1.092
1998-11-01,1.080
1998-12-01,1.038
1999-01-01,1.024
1999-02-01,1.006
1999-03-01,1.035
1999-04-01,1.150
1999-05-01,1.174
1999-06-01,1.168
1999-07-01,1.208
1999-08-01,1.267
1999-09-01,1.314
1999-10-01,1.333
1999-11-01,1.338
1999-12-01,1.365
2000-01-01,1.375
2000-02-01,1.445
2000-03-01,1.589
2000-04-01,1.545
2000-05-01,1.547
2000-06-01,1.641
2000-07-01,1.650
2000-08-01,1.574
2000-09-01,1.605
2000-10-01,1.592
2000-11-01,1.579
2000-12-01,1.528
2001-01-01,1.520
2001-02-01,1.532
2001-03-01,1.486
2001-04-01,1.598
2001-05-01,1.712
2001-06-01,1.671
2001-07-01,1.516
2001-08-01,1.462
2001-09-01,1.501
2001-10-01,1.365
2001-11-01,1.224
2001-12-01,1.155
2002-01-01,1.189
2002-02-01,1.186
2002-03-01,1.292
2002-04-01,1.462
2002-05-01,1.460
2002-06-01,1.439
2002-07-01,1.442
2002-08-01,1.460
2002-09-01,1.465
2002-10-01,1.512
2002-11-01,1.504
2002-12-01,1.484
2003-01-01,1.548
2003-02-01,1.680
2003-03-01,1.723
2003-04-01,1.637
2003-05-01,1.547
2003-06-01,1.542
2003-07-01,1.580
2003-08-01,1.668
2003-09-01,1.746
2003-10-01,1.650
2003-11-01,1.600
2003-12-01,1.579
2004-01-01,1.671
2004-02-01,1.731
2004-03-01,1.796
2004-04-01,1.842
2004-05-01,2.034
2004-06-01,2.067
2004-07-01,2.001
2004-08-01,1.961
2004-09-01,1.954
2004-10-01,2.068
2004-11-01,2.066
2004-12-01,1.962
