DATE,VALUE
1994-12-01,1.212
1995-01-01,1.195
1995-02-01,1.189
1995-03-01,1.181
1995-04-01,1.211
1995-05-01,1.280
1995-06-01,1.295
1995-07-01,1.263
1995-08-01,1.217
1995-09-01,1.197
1995-10-01,1.174
1995-11-01,1.147
1995-12-01,1.154
1996-01-01,1.176
1996-02-01,1.177
1996-03-01,1.219
1996-04-01,1.317
1996-05-01,1.355
1996-06-01,1.330
1996-07-01,1.297
1996-08-01,1.278
1996-09-01,1.271
1996-10-01,1.275
1996-11-01,1.304
1996-12-01,1.313
1997-01-01,1.309
1997-02-01,1.307
1997-03-01,1.289
1997-04-01,1.275
1997-05-01,1.260
1997-06-01,1.262
1997-07-01,1.243
1997-08-01,1.272
1997-09-01,1.281
1997-10-01,1.258
1997-11-01,1.231
1997-12-01,1.203
1998-01-01,1.173
1998-02-01,1.136
1998-03-01,1.107
1998-04-01,1.109
1998-05-01,1.107
1998-06-01,1.097
1998-07-01,1.091
1998-08-01,1.071
1998-09-01,1.054
1998-10-01,1.071
1998-11-01,1.051
1998-12-01,1.013
1999-01-01,1.003
1999-02-01,0.995
1999-03-01,1.025
1999-04-01,1.136
1999-05-01,1.153
1999-06-01,1.152
1999-07-01,1.184
1999-08-01,1.242
1999-09-01,1.286
1999-10-01,1.301
1999-11-01,1.301
1999-12-01,1.326
2000-01-01,1.335
2000-02-01,1.416
2000-03-01,1.566
2000-04-01,1.525
2000-05-01,1.528
2000-06-01,1.592
2000-07-01,1.602
2000-08-01,1.525
2000-09-01,1.552
2000-10-01,1.534
2000-11-01,1.518
2000-12-01,1.459
2001-01-01,1.474
2001-02-01,1.493
2001-03-01,1.446
2001-04-01,1.579
2001-05-01,1.674
2001-06-01,1.608
2001-07-01,1.415
2001-08-01,1.396
2001-09-01,1.476
2001-10-01,1.333
2001-11-01,1.186
2001-12-01,1.121
2002-01-01,1.153
2002-02-01,1.152
2002-03-01,1.281
2002-04-01,1.434
2002-05-01,1.430
2002-06-01,1.406
2002-07-01,1.403
2002-08-01,1.409
2002-09-01,1.420
2002-10-01,1.487
2002-11-01,1.464
2002-12-01,1.437
2003-01-01,1.508
2003-02-01,1.649
2003-03-01,1.689
2003-04-01,1.582
2003-05-01,1.483
2003-06-01,1.484
2003-07-01,1.525
2003-08-01,1.610
2003-09-01,1.628
2003-10-01,1.521
2003-11-01,1.494
2003-12-01,1.493
2004-01-01,1.596
2004-02-01,1.650
2004-03-01,1.712
2004-04-01,1.779
2004-05-01,1.950
2004-06-01,1.955
2004-07-01,1.897
2004-08-01,1.883
2004-09-01,1.865
2004-10-01,1.983
2004-11-01,1.970
2004-12-01,1.844
2005-01-01,1.845
2005-02-01,1.915
2005-03-01,2.090
2005-04-01,2.253
2005-05-01,2.159
2005-06-01,2.162
2005-07-01,2.292
2005-08-01,2.504
2005-09-01,2.873
2005-10-01,2.811
2005-11-01,2.314
2005-12-01,2.235
2006-01-01,2.356
2006-02-01,2.301
2006-03-01,2.468
2006-04-01,2.831
2006-05-01,2.905
2006-06-01,2.877
2006-07-01,2.968
2006-08-01,2.950
2006-09-01,2.555
2006-10-01,2.232
2006-11-01,2.211
2006-12-01,2.301
2007-01-01,2.216
2007-02-01,2.229
2007-03-01,2.508
2007-04-01,2.831
2007-05-01,3.100
2007-06-01,3.054
2007-07-01,2.968
2007-08-01,2.807
2007-09-01,2.798
2007-10-01,2.809
2007-11-01,3.071
2007-12-01,3.002
2008-01-01,3.048
2008-02-01,3.051
2008-03-01,3.272
2008-04-01,3.482
2008-05-01,3.781
2008-06-01,4.030
2008-07-01,4.057
2008-08-01,3.768
2008-09-01,3.756
2008-10-01,3.034
2008-11-01,2.156
2008-12-01,1.728
2009-01-01,1.792
2009-02-01,1.946
2009-03-01,1.993
2009-04-01,2.087
2009-05-01,2.285
2009-06-01,2.623
2009-07-01,2.516
2009-08-01,2.616
2009-09-01,2.496
2009-10-01,2.527
2009-11-01,2.655
2009-12-01,2.607
2010-01-01,2.717
2010-02-01,2.650
2010-03-01,2.794
2010-04-01,2.868
2010-05-01,2.864
2010-06-01,2.730
2010-07-01,2.707
2010-08-01,2.720
2010-09-01,2.685
2010-10-01,2.784
2010-11-01,2.815
2010-12-01,2.969
2011-01-01,3.075
2011-02-01,3.196
2011-03-01,3.565
2011-04-01,3.797
2011-05-01,3.892
2011-06-01,3.662
2011-07-01,3.657
2011-08-01,3.654
2011-09-01,3.560
2011-10-01,3.404
2011-11-01,3.325
2011-12-01,3.208
2012-01-01,3.344
2012-02-01,3.590
2012-03-01,3.814
2012-04-01,3.912
2012-05-01,3.668
2012-06-01,3.432
2012-07-01,3.362
2012-08-01,3.651
2012-09-01,3.784
2012-10-01,3.639
2012-11-01,3.358
2012-12-01,3.260
2013-01-01,3.314
2013-02-01,3.623
2013-03-01,3.696
2013-04-01,3.545
2013-05-01,3.525
2013-06-01,3.533
2013-07-01,3.581
2013-08-01,3.577
2013-09-01,3.480
2013-10-01,3.293
2013-11-01,3.221
2013-12-01,3.269
2014-01-01,3.286
2014-02-01,3.318
2014-03-01,3.458
2014-04-01,3.637
2014-05-01,3.621
2014-06-01,3.628
2014-07-01,3.589
2014-08-01,3.455
2014-09-01,3.364
2014-10-01,3.164
2014-11-01,2.894
2014-12-01,2.514
2015-01-01,2.106
2015-02-01,2.207
2015-03-01,2.403
2015-04-01,2.430
2015-05-01,2.641
2015-06-01,2.748
2015-07-01,2.705
2015-08-01,2.529
2015-09-01,2.288
2015-10-01,2.235
2015-11-01,2.131
2015-12-01,2.028
2016-01-01,1.937
2016-02-01,1.792
2016-03-01,1.989
2016-04-01,2.115
2016-05-01,2.266
2016-06-01,2.365
2016-07-01,2.270
2016-08-01,2.211
2016-09-01,2.231
2016-10-01,2.291
2016-11-01,2.214
2016-12-01,2.285
2017-01-01,2.383
2017-02-01,2.329
2017-03-01,2.342
2017-04-01,2.453
2017-05-01,2.419
2017-06-01,2.380
2017-07-01,2.317
2017-08-01,2.419
2017-09-01,2.737
2017-10-01,2.558
2017-11-01,2.559
2017-12-01,2.489
2018-01-01,2.566
2018-02-01,2.591
2018-03-01,2.596
2018-04-01,2.777
2018-05-01,2.952
2018-06-01,2.996
2018-07-01,2.923
2018-08-01,2.901
2018-09-01,2.898
2018-10-01,2.925
2018-11-01,2.688
2018-12-01,2.385
