DATE,VALUE
1994-12-01,1.184
1995-01-01,1.174
1995-02-01,1.165
1995-03-01,1.161
1995-04-01,1.199
1995-05-01,1.268
1995-06-01,1.283
1995-07-01,1.245
1995-08-01,1.213
1995-09-01,1.200
1995-10-01,1.175
1995-11-01,1.151
1995-12-01,1.161
1996-01-01,1.179
1996-02-01,1.179
1996-03-01,1.225
1996-04-01,1.316
1996-05-01,1.363
1996-06-01,1.338
1996-07-01,1.311
1996-08-01,1.290
1996-09-01,1.286
1996-10-01,1.290
1996-11-01,1.321
1996-12-01,1.326
1997-01-01,1.326
1997-02-01,1.318
1997-03-01,1.293
1997-04-01,1.284
1997-05-01,1.284
1997-06-01,1.282
1997-07-01,1.262
1997-08-01,1.307
1997-09-01,1.314
1997-10-01,1.281
1997-11-01,1.254
1997-12-01,1.216
1998-01-01,1.172
1998-02-01,1.138
1998-03-01,1.109
1998-04-01,1.120
1998-05-01,1.152
1998-06-01,1.155
1998-07-01,1.146
1998-08-01,1.119
1998-09-01,1.103
1998-10-01,1.113
1998-11-01,1.093
1998-12-01,1.046
1999-01-01,1.038
1999-02-01,1.020
1999-03-01,1.081
1999-04-01,1.230
1999-05-01,1.229
1999-06-01,1.211
1999-07-01,1.253
1999-08-01,1.317
1999-09-01,1.352
1999-10-01,1.343
1999-11-01,1.350
1999-12-01,1.370
2000-01-01,1.385
2000-02-01,1.468
2000-03-01,1.611
2000-04-01,1.564
2000-05-01,1.581
2000-06-01,1.709
2000-07-01,1.644
2000-08-01,1.563
2000-09-01,1.640
2000-10-01,1.624
2000-11-01,1.611
2000-12-01,1.537
2001-01-01,1.541
2001-02-01,1.544
2001-03-01,1.506
2001-04-01,1.646
2001-05-01,1.785
2001-06-01,1.712
2001-07-01,1.529
2001-08-01,1.510
2001-09-01,1.600
2001-10-01,1.409
2001-11-01,1.265
2001-12-01,1.179
2002-01-01,1.199
2002-02-01,1.208
2002-03-01,1.343
2002-04-01,1.494
2002-05-01,1.490
2002-06-01,1.478
2002-07-01,1.492
2002-08-01,1.491
2002-09-01,1.494
2002-10-01,1.537
2002-11-01,1.513
2002-12-01,1.484
2003-01-01,1.555
2003-02-01,1.709
2003-03-01,1.792
2003-04-01,1.694
2003-05-01,1.595
2003-06-01,1.586
2003-07-01,1.609
2003-08-01,1.714
2003-09-01,1.777
2003-10-01,1.660
2003-11-01,1.608
2003-12-01,1.577
2004-01-01,1.667
2004-02-01,1.744
2004-03-01,1.836
2004-04-01,1.895
2004-05-01,2.075
2004-06-01,2.069
2004-07-01,2.009
2004-08-01,1.974
2004-09-01,1.967
2004-10-01,2.098
2004-11-01,2.082
2004-12-01,1.947
2005-01-01,1.930
2005-02-01,2.008
2005-03-01,2.174
2005-04-01,2.342
2005-05-01,2.262
2005-06-01,2.251
2005-07-01,2.385
2005-08-01,2.580
2005-09-01,3.007
2005-10-01,2.827
2005-11-01,2.363
2005-12-01,2.282
2006-01-01,2.413
2006-02-01,2.383
2006-03-01,2.521
2006-04-01,2.840
2006-05-01,3.012
2006-06-01,2.988
2006-07-01,3.081
2006-08-01,3.056
2006-09-01,2.674
2006-10-01,2.355
2006-11-01,2.336
2006-12-01,2.417
2007-01-01,2.354
2007-02-01,2.385
2007-03-01,2.670
2007-04-01,2.953
2007-05-01,3.241
2007-06-01,3.161
2007-07-01,3.067
2007-08-01,2.892
2007-09-01,2.903
2007-10-01,2.918
2007-11-01,3.188
2007-12-01,3.136
2008-01-01,3.160
2008-02-01,3.141
2008-03-01,3.358
2008-04-01,3.571
2008-05-01,3.874
2008-06-01,4.169
2008-07-01,4.181
2008-08-01,3.902
2008-09-01,3.823
2008-10-01,3.192
2008-11-01,2.287
2008-12-01,1.817
2009-01-01,1.904
2009-02-01,2.042
2009-03-01,2.078
2009-04-01,2.171
2009-05-01,2.380
2009-06-01,2.743
2009-07-01,2.652
2009-08-01,2.739
2009-09-01,2.682
2009-10-01,2.675
2009-11-01,2.774
2009-12-01,2.734
2010-01-01,2.837
2010-02-01,2.770
2010-03-01,2.892
2010-04-01,2.963
2010-05-01,2.958
2010-06-01,2.852
2010-07-01,2.849
2010-08-01,2.853
2010-09-01,2.825
2010-10-01,2.919
2010-11-01,2.979
2010-12-01,3.114
2011-01-01,3.212
2011-02-01,3.330
2011-03-01,3.683
2011-04-01,3.916
2011-05-01,4.025
2011-06-01,3.799
2011-07-01,3.768
2011-08-01,3.760
2011-09-01,3.735
2011-10-01,3.581
2011-11-01,3.520
2011-12-01,3.401
2012-01-01,3.512
2012-02-01,3.714
2012-03-01,3.977
2012-04-01,4.028
2012-05-01,3.868
2012-06-01,3.671
2012-07-01,3.569
2012-08-01,3.849
2012-09-01,3.984
2012-10-01,3.901
2012-11-01,3.605
2012-12-01,3.466
2013-01-01,3.479
2013-02-01,3.816
2013-03-01,3.863
2013-04-01,3.723
2013-05-01,3.750
2013-06-01,3.763
2013-07-01,3.746
2013-08-01,3.729
2013-09-01,3.692
2013-10-01,3.517
2013-11-01,3.423
2013-12-01,3.457
2014-01-01,3.492
2014-02-01,3.533
2014-03-01,3.698
2014-04-01,3.834
2014-05-01,3.852
2014-06-01,3.861
2014-07-01,3.789
2014-08-01,3.668
2014-09-01,3.586
2014-10-01,3.366
2014-11-01,3.107
2014-12-01,2.752
2015-01-01,2.331
2015-02-01,2.412
2015-03-01,2.662
2015-04-01,2.674
2015-05-01,2.924
2015-06-01,2.997
2015-07-01,3.002
2015-08-01,2.855
2015-09-01,2.595
2015-10-01,2.518
2015-11-01,2.398
2015-12-01,2.290
2016-01-01,2.207
2016-02-01,2.021
2016-03-01,2.210
2016-04-01,2.355
2016-05-01,2.510
2016-06-01,2.603
2016-07-01,2.488
2016-08-01,2.427
2016-09-01,2.472
2016-10-01,2.509
2016-11-01,2.450
2016-12-01,2.512
2017-01-01,2.599
2017-02-01,2.565
2017-03-01,2.590
2017-04-01,2.676
2017-05-01,2.654
2017-06-01,2.617
2017-07-01,2.572
2017-08-01,2.649
2017-09-01,2.916
2017-10-01,2.779
2017-11-01,2.837
2017-12-01,2.755
2018-01-01,2.832
2018-02-01,2.869
2018-03-01,2.874
2018-04-01,3.035
2018-05-01,3.221
2018-06-01,3.241
2018-07-01,3.196
2018-08-01,3.181
2018-09-01,3.187
2018-10-01,3.230
2018-11-01,3.055
2018-12-01,2.793
