DATE,VALUE
1994-12-01,1.104
1995-01-01,1.106
1995-02-01,1.104
1995-03-01,1.110
1995-04-01,1.171
1995-05-01,1.241
1995-06-01,1.246
1995-07-01,1.186
1995-08-01,1.159
1995-09-01,1.156
1995-10-01,1.121
1995-11-01,1.102
1995-12-01,1.132
1996-01-01,1.156
1996-02-01,1.154
1996-03-01,1.216
1996-04-01,1.291
1996-05-01,1.319
1996-06-01,1.289
1996-07-01,1.268
1996-08-01,1.248
1996-09-01,1.263
1996-10-01,1.272
1996-11-01,1.324
1996-12-01,1.317
1997-01-01,1.309
1997-02-01,1.287
1997-03-01,1.244
1997-04-01,1.234
1997-05-01,1.260
1997-06-01,1.268
1997-07-01,1.244
1997-08-01,1.301
1997-09-01,1.276
1997-10-01,1.227
1997-11-01,1.203
1997-12-01,1.154
1998-01-01,1.101
1998-02-01,1.092
1998-03-01,1.086
1998-04-01,1.104
1998-05-01,1.149
1998-06-01,1.149
1998-07-01,1.144
1998-08-01,1.099
1998-09-01,1.085
1998-10-01,1.094
1998-11-01,1.054
1998-12-01,0.990
1999-01-01,0.995
1999-02-01,0.970
1999-03-01,1.061
1999-04-01,1.186
1999-05-01,1.187
1999-06-01,1.183
1999-07-01,1.227
1999-08-01,1.281
1999-09-01,1.341
1999-10-01,1.301
1999-11-01,1.332
1999-12-01,1.347
2000-01-01,1.385
2000-02-01,1.493
2000-03-01,1.580
2000-04-01,1.491
2000-05-01,1.578
2000-06-01,1.858
2000-07-01,1.594
2000-08-01,1.474
2000-09-01,1.617
2000-10-01,1.587
2000-11-01,1.585
2000-12-01,1.482
2001-01-01,1.542
2001-02-01,1.517
2001-03-01,1.456
2001-04-01,1.669
2001-05-01,1.867
2001-06-01,1.668
2001-07-01,1.398
2001-08-01,1.550
2001-09-01,1.703
2001-10-01,1.323
2001-11-01,1.210
2001-12-01,1.170
2002-01-01,1.174
2002-02-01,1.172
2002-03-01,1.340
2002-04-01,1.462
2002-05-01,1.465
2002-06-01,1.454
2002-07-01,1.484
2002-08-01,1.457
2002-09-01,1.467
2002-10-01,1.555
2002-11-01,1.467
2002-12-01,1.426
2003-01-01,1.521
2003-02-01,1.686
2003-03-01,1.713
2003-04-01,1.567
2003-05-01,1.513
2003-06-01,1.543
2003-07-01,1.552
2003-08-01,1.680
2003-09-01,1.687
2003-10-01,1.601
2003-11-01,1.556
2003-12-01,1.510
2004-01-01,1.635
2004-02-01,1.694
2004-03-01,1.755
2004-04-01,1.829
2004-05-01,2.026
2004-06-01,1.943
2004-07-01,1.923
2004-08-01,1.918
2004-09-01,1.914
2004-10-01,2.027
2004-11-01,1.989
2004-12-01,1.829
2005-01-01,1.887
2005-02-01,1.963
2005-03-01,2.154
2005-04-01,2.261
2005-05-01,2.135
2005-06-01,2.180
2005-07-01,2.310
2005-08-01,2.523
2005-09-01,2.906
2005-10-01,2.684
2005-11-01,2.214
2005-12-01,2.257
2006-01-01,2.361
2006-02-01,2.298
2006-03-01,2.511
2006-04-01,2.787
2006-05-01,2.869
2006-06-01,2.887
2006-07-01,3.047
2006-08-01,2.976
2006-09-01,2.471
2006-10-01,2.238
2006-11-01,2.285
2006-12-01,2.336
2007-01-01,2.212
2007-02-01,2.339
2007-03-01,2.563
2007-04-01,2.845
2007-05-01,3.290
2007-06-01,3.140
2007-07-01,3.065
2007-08-01,2.896
2007-09-01,2.987
2007-10-01,2.862
2007-11-01,3.140
2007-12-01,3.032
2008-01-01,3.073
2008-02-01,3.082
2008-03-01,3.265
2008-04-01,3.493
2008-05-01,3.835
2008-06-01,4.057
2008-07-01,4.051
2008-08-01,3.792
2008-09-01,3.798
2008-10-01,2.992
2008-11-01,2.077
2008-12-01,1.718
2009-01-01,1.892
2009-02-01,1.941
2009-03-01,2.008
2009-04-01,2.078
2009-05-01,2.352
2009-06-01,2.722
2009-07-01,2.533
2009-08-01,2.624
2009-09-01,2.517
2009-10-01,2.577
2009-11-01,2.677
2009-12-01,2.626
2010-01-01,2.747
2010-02-01,2.641
2010-03-01,2.807
2010-04-01,2.901
2010-05-01,2.857
2010-06-01,2.765
2010-07-01,2.777
2010-08-01,2.759
2010-09-01,2.798
2010-10-01,2.866
2010-11-01,2.910
2010-12-01,3.043
2011-01-01,3.162
2011-02-01,3.261
2011-03-01,3.600
2011-04-01,3.887
2011-05-01,3.996
2011-06-01,3.748
2011-07-01,3.739
2011-08-01,3.718
2011-09-01,3.679
2011-10-01,3.448
2011-11-01,3.379
2011-12-01,3.291
2012-01-01,3.411
2012-02-01,3.561
2012-03-01,3.900
2012-04-01,3.903
2012-05-01,3.733
2012-06-01,3.597
2012-07-01,3.525
2012-08-01,3.861
2012-09-01,3.952
2012-10-01,3.727
2012-11-01,3.455
2012-12-01,3.337
2013-01-01,3.310
2013-02-01,3.744
2013-03-01,3.755
2013-04-01,3.639
2013-05-01,3.827
2013-06-01,3.837
2013-07-01,3.643
2013-08-01,3.629
2013-09-01,3.613
2013-10-01,3.406
