DATE,VALUE
1994-11-28,1.131
1994-12-05,1.123
1994-12-12,1.108
1994-12-19,1.098
1994-12-26,1.087
1995-01-02,1.090
1995-01-09,1.111
1995-01-16,1.095
1995-01-23,1.117
1995-01-30,1.118
1995-02-06,1.108
1995-02-13,1.104
1995-02-20,1.094
1995-02-27,1.111
1995-03-06,1.114
1995-03-13,1.100
1995-03-20,1.106
1995-03-27,1.119
1995-04-03,1.143
1995-04-10,1.162
1995-04-17,1.178
1995-04-24,1.201
1995-05-01,1.200
1995-05-08,1.234
1995-05-15,1.241
1995-05-22,1.269
1995-05-29,1.262
1995-06-05,1.262
1995-06-12,1.255
1995-06-19,1.241
1995-06-26,1.227
1995-07-03,1.216
1995-07-10,1.197
1995-07-17,1.185
1995-07-24,1.173
1995-07-31,1.158
1995-08-07,1.157
1995-08-14,1.160
1995-08-21,1.166
1995-08-28,1.152
1995-09-04,1.155
1995-09-11,1.155
1995-09-18,1.157
1995-09-25,1.157
1995-10-02,1.148
1995-10-09,1.134
1995-10-16,1.121
1995-10-23,1.107
1995-10-30,1.093
1995-11-06,1.100
1995-11-13,1.102
1995-11-20,1.101
1995-11-27,1.106
1995-12-04,1.114
1995-12-11,1.113
1995-12-18,1.150
1995-12-25,1.151
1996-01-01,1.151
1996-01-08,1.171
1996-01-15,1.168
1996-01-22,1.150
1996-01-29,1.140
1996-02-05,1.139
1996-02-12,1.136
1996-02-19,1.149
1996-02-26,1.193
1996-03-04,1.208
1996-03-11,1.199
1996-03-18,1.213
1996-03-25,1.244
1996-04-01,1.252
1996-04-08,1.275
1996-04-15,1.311
1996-04-22,1.302
1996-04-29,1.314
1996-05-06,1.304
1996-05-13,1.312
1996-05-20,1.330
1996-05-27,1.313
1996-06-03,1.302
1996-06-10,1.297
1996-06-17,1.292
1996-06-24,1.279
1996-07-01,1.263
1996-07-08,1.269
1996-07-15,1.271
1996-07-22,1.272
1996-07-29,1.257
1996-08-05,1.241
1996-08-12,1.234
1996-08-19,1.251
1996-08-26,1.261
1996-09-02,1.248
1996-09-09,1.266
1996-09-16,1.271
1996-09-23,1.271
1996-09-30,1.264
1996-10-07,1.250
1996-10-14,1.271
1996-10-21,1.270
1996-10-28,1.295
1996-11-04,1.308
1996-11-11,1.320
1996-11-18,1.328
1996-11-25,1.340
1996-12-02,1.336
1996-12-09,1.331
1996-12-16,1.316
1996-12-23,1.306
1996-12-30,1.297
1997-01-06,1.291
1997-01-13,1.323
1997-01-20,1.315
1997-01-27,1.307
1997-02-03,1.305
1997-02-10,1.290
1997-02-17,1.276
1997-02-24,1.278
1997-03-03,1.259
1997-03-10,1.249
1997-03-17,1.232
1997-03-24,1.247
1997-03-31,1.234
1997-04-07,1.232
1997-04-14,1.227
1997-04-21,1.238
1997-04-28,1.237
1997-05-05,1.237
1997-05-12,1.245
1997-05-19,1.270
1997-05-26,1.289
1997-06-02,1.291
1997-06-09,1.283
1997-06-16,1.268
1997-06-23,1.254
1997-06-30,1.242
1997-07-07,1.243
1997-07-14,1.239
1997-07-21,1.255
1997-07-28,1.240
1997-08-04,1.271
1997-08-11,1.314
1997-08-18,1.302
1997-08-25,1.315
1997-09-01,1.307
1997-09-08,1.296
1997-09-15,1.280
1997-09-22,1.259
1997-09-29,1.236
1997-10-06,1.248
1997-10-13,1.233
1997-10-20,1.219
1997-10-27,1.206
1997-11-03,1.201
1997-11-10,1.211
1997-11-17,1.198
1997-11-24,1.201
1997-12-01,1.185
1997-12-08,1.166
1997-12-15,1.151
1997-12-22,1.142
1997-12-29,1.126
1998-01-05,1.116
1998-01-12,1.115
1998-01-19,1.098
1998-01-26,1.075
1998-02-02,1.092
1998-02-09,1.093
1998-02-16,1.078
1998-02-23,1.103
1998-03-02,1.088
1998-03-09,1.081
1998-03-16,1.075
1998-03-23,1.070
1998-03-30,1.114
1998-04-06,1.100
1998-04-13,1.090
1998-04-20,1.104
1998-04-27,1.122
1998-05-04,1.132
1998-05-11,1.148
1998-05-18,1.158
1998-05-25,1.156
1998-06-01,1.147
1998-06-08,1.170
1998-06-15,1.148
1998-06-22,1.135
1998-06-29,1.143
1998-07-06,1.153
1998-07-13,1.136
1998-07-20,1.152
1998-07-27,1.134
1998-08-03,1.120
1998-08-10,1.109
1998-08-17,1.098
1998-08-24,1.084
1998-08-31,1.082
1998-09-07,1.079
1998-09-14,1.070
1998-09-21,1.099
1998-09-28,1.092
1998-10-05,1.104
1998-10-12,1.098
1998-10-19,1.089
1998-10-26,1.084
1998-11-02,1.077
1998-11-09,1.078
1998-11-16,1.052
1998-11-23,1.045
1998-11-30,1.019
1998-12-07,0.990
1998-12-14,0.988
1998-12-21,0.994
1998-12-28,0.986
1999-01-04,0.984
1999-01-11,0.999
1999-01-18,1.004
1999-01-25,0.994
1999-02-01,0.987
1999-02-08,0.982
1999-02-15,0.969
1999-02-22,0.940
1999-03-01,0.971
1999-03-08,0.984
1999-03-15,1.068
1999-03-22,1.112
1999-03-29,1.170
1999-04-05,1.182
1999-04-12,1.201
1999-04-19,1.185
1999-04-26,1.176
1999-05-03,1.189
1999-05-10,1.197
1999-05-17,1.207
1999-05-24,1.181
