DATE,VALUE
1994-12-01,1.290
1995-01-01,1.278
1995-02-01,1.269
1995-03-01,1.254
1995-04-01,1.256
1995-05-01,1.317
1995-06-01,1.348
1995-07-01,1.331
1995-08-01,1.303
1995-09-01,1.288
1995-10-01,1.265
1995-11-01,1.232
1995-12-01,1.231
1996-01-01,1.250
1996-02-01,1.248
1996-03-01,1.263
1996-04-01,1.345
1996-05-01,1.412
1996-06-01,1.399
1996-07-01,1.371
1996-08-01,1.345
1996-09-01,1.334
1996-10-01,1.340
1996-11-01,1.370
1996-12-01,1.399
1997-01-01,1.403
1997-02-01,1.391
1997-03-01,1.361
1997-04-01,1.338
1997-05-01,1.323
1997-06-01,1.324
1997-07-01,1.306
1997-08-01,1.358
1997-09-01,1.388
1997-10-01,1.356
1997-11-01,1.323
1997-12-01,1.288
1998-01-01,1.249
1998-02-01,1.205
1998-03-01,1.157
1998-04-01,1.152
1998-05-01,1.161
1998-06-01,1.171
1998-07-01,1.165
1998-08-01,1.150
1998-09-01,1.135
1998-10-01,1.140
1998-11-01,1.129
1998-12-01,1.106
1999-01-01,1.090
1999-02-01,1.066
1999-03-01,1.078
1999-04-01,1.188
1999-05-01,1.225
1999-06-01,1.224
1999-07-01,1.251
1999-08-01,1.316
1999-09-01,1.363
1999-10-01,1.391
1999-11-01,1.391
1999-12-01,1.416
2000-01-01,1.423
2000-02-01,1.465
2000-03-01,1.614
2000-04-01,1.606
2000-05-01,1.600
2000-06-01,1.700
2000-07-01,1.731
2000-08-01,1.689
2000-09-01,1.688
2000-10-01,1.669
2000-11-01,1.658
2000-12-01,1.625
2001-01-01,1.588
2001-02-01,1.580
2001-03-01,1.553
2001-04-01,1.635
2001-05-01,1.808
2001-06-01,1.811
2001-07-01,1.689
2001-08-01,1.572
2001-09-01,1.545
2001-10-01,1.438
2001-11-01,1.299
2001-12-01,1.202
2002-01-01,1.221
2002-02-01,1.222
2002-03-01,1.312
2002-04-01,1.488
2002-05-01,1.513
2002-06-01,1.496
2002-07-01,1.492
2002-08-01,1.525
2002-09-01,1.528
2002-10-01,1.546
2002-11-01,1.564
2002-12-01,1.564
2003-01-01,1.599
2003-02-01,1.708
2003-03-01,1.760
2003-04-01,1.714
2003-05-01,1.637
2003-06-01,1.598
2003-07-01,1.614
2003-08-01,1.697
2003-09-01,1.846
2003-10-01,1.764
2003-11-01,1.685
2003-12-01,1.634
2004-01-01,1.692
2004-02-01,1.754
2004-03-01,1.816
2004-04-01,1.853
2004-05-01,2.071
2004-06-01,2.154
2004-07-01,2.073
2004-08-01,2.029
2004-09-01,1.993
2004-10-01,2.090
2004-11-01,2.097
2004-12-01,1.998
2005-01-01,1.956
2005-02-01,2.001
2005-03-01,2.108
2005-04-01,2.283
2005-05-01,2.273
2005-06-01,2.276
2005-07-01,2.442
2005-08-01,2.620
2005-09-01,3.180
2005-10-01,2.844
2005-11-01,2.356
2005-12-01,2.290
2006-01-01,2.467
2006-02-01,2.407
2006-03-01,2.480
2006-04-01,2.839
2006-05-01,3.098
2006-06-01,3.110
2006-07-01,3.183
2006-08-01,3.146
2006-09-01,2.759
2006-10-01,2.364
2006-11-01,2.321
2006-12-01,2.437
2007-01-01,2.408
2007-02-01,2.359
2007-03-01,2.647
2007-04-01,2.915
2007-05-01,3.155
2007-06-01,3.153
2007-07-01,3.078
2007-08-01,2.914
2007-09-01,2.838
2007-10-01,2.861
2007-11-01,3.143
2007-12-01,3.169
2008-01-01,3.190
2008-02-01,3.150
2008-03-01,3.299
