DATE,VALUE
1994-11-28,1.285
1994-12-05,1.294
1994-12-12,1.291
1994-12-19,1.288
1994-12-26,1.285
1995-01-02,1.280
1995-01-09,1.280
1995-01-16,1.277
1995-01-23,1.277
1995-01-30,1.274
1995-02-06,1.272
1995-02-13,1.271
1995-02-20,1.267
1995-02-27,1.266
1995-03-06,1.262
1995-03-13,1.257
1995-03-20,1.252
1995-03-27,1.246
1995-04-03,1.247
1995-04-10,1.248
1995-04-17,1.256
1995-04-24,1.272
1995-05-01,1.286
1995-05-08,1.303
1995-05-15,1.318
1995-05-22,1.330
1995-05-29,1.346
1995-06-05,1.350
1995-06-12,1.350
1995-06-19,1.348
1995-06-26,1.345
1995-07-03,1.341
1995-07-10,1.338
1995-07-17,1.333
1995-07-24,1.325
1995-07-31,1.318
1995-08-07,1.312
1995-08-14,1.305
1995-08-21,1.299
1995-08-28,1.296
1995-09-04,1.293
1995-09-11,1.290
1995-09-18,1.285
1995-09-25,1.283
1995-10-02,1.277
1995-10-09,1.272
1995-10-16,1.268
1995-10-23,1.261
1995-10-30,1.249
1995-11-06,1.240
1995-11-13,1.234
1995-11-20,1.228
1995-11-27,1.224
1995-12-04,1.226
1995-12-11,1.229
1995-12-18,1.231
1995-12-25,1.238
1996-01-01,1.245
1996-01-08,1.246
1996-01-15,1.252
1996-01-22,1.253
1996-01-29,1.252
1996-02-05,1.250
1996-02-12,1.247
1996-02-19,1.247
1996-02-26,1.248
1996-03-04,1.255
1996-03-11,1.257
1996-03-18,1.260
1996-03-25,1.279
1996-04-01,1.294
1996-04-08,1.314
1996-04-15,1.356
1996-04-22,1.371
1996-04-29,1.388
1996-05-06,1.406
1996-05-13,1.413
1996-05-20,1.414
1996-05-27,1.408
1996-06-03,1.411
1996-06-10,1.405
1996-06-17,1.396
1996-06-24,1.392
1996-07-01,1.384
1996-07-08,1.379
1996-07-15,1.371
1996-07-22,1.368
1996-07-29,1.360
1996-08-05,1.352
1996-08-12,1.347
1996-08-19,1.339
1996-08-26,1.340
1996-09-02,1.334
1996-09-09,1.333
1996-09-16,1.335
1996-09-23,1.337
1996-09-30,1.336
1996-10-07,1.336
1996-10-14,1.338
1996-10-21,1.340
1996-10-28,1.345
1996-11-04,1.359
1996-11-11,1.362
1996-11-18,1.375
1996-11-25,1.383
1996-12-02,1.388
1996-12-09,1.398
1996-12-16,1.402
1996-12-23,1.405
1996-12-30,1.404
1997-01-06,1.403
1997-01-13,1.407
1997-01-20,1.404
1997-01-27,1.399
1997-02-03,1.396
1997-02-10,1.394
1997-02-17,1.390
1997-02-24,1.382
1997-03-03,1.372
1997-03-10,1.365
1997-03-17,1.359
1997-03-24,1.355
1997-03-31,1.353
1997-04-07,1.350
1997-04-14,1.343
1997-04-21,1.332
1997-04-28,1.327
1997-05-05,1.325
1997-05-12,1.321
1997-05-19,1.320
1997-05-26,1.326
1997-06-02,1.328
1997-06-09,1.329
1997-06-16,1.325
1997-06-23,1.321
1997-06-30,1.317
1997-07-07,1.310
1997-07-14,1.305
1997-07-21,1.305
1997-07-28,1.305
1997-08-04,1.324
1997-08-11,1.352
1997-08-18,1.365
1997-08-25,1.392
1997-09-01,1.396
1997-09-08,1.396
1997-09-15,1.391
1997-09-22,1.383
1997-09-29,1.373
1997-10-06,1.366
1997-10-13,1.361
1997-10-20,1.353
1997-10-27,1.343
1997-11-03,1.336
