DATE,VALUE
1994-12-01,1.224
1995-01-01,1.224
1995-02-01,1.208
1995-03-01,1.202
1995-04-01,1.243
1995-05-01,1.323
1995-06-01,1.341
1995-07-01,1.290
1995-08-01,1.244
1995-09-01,1.241
1995-10-01,1.219
1995-11-01,1.182
1995-12-01,1.215
1996-01-01,1.238
1996-02-01,1.226
1996-03-01,1.288
1996-04-01,1.356
1996-05-01,1.406
1996-06-01,1.392
1996-07-01,1.346
1996-08-01,1.317
1996-09-01,1.324
1996-10-01,1.341
1996-11-01,1.397
1996-12-01,1.406
1997-01-01,1.388
1997-02-01,1.366
1997-03-01,1.313
1997-04-01,1.294
1997-05-01,1.324
1997-06-01,1.333
1997-07-01,1.304
1997-08-01,1.360
1997-09-01,1.333
1997-10-01,1.276
1997-11-01,1.252
1997-12-01,1.224
1998-01-01,1.163
1998-02-01,1.150
1998-03-01,1.143
1998-04-01,1.168
1998-05-01,1.220
1998-06-01,1.222
1998-07-01,1.220
1998-08-01,1.170
1998-09-01,1.151
1998-10-01,1.149
1998-11-01,1.125
1998-12-01,1.063
1999-01-01,1.074
1999-02-01,1.037
1999-03-01,1.119
1999-04-01,1.239
1999-05-01,1.245
1999-06-01,1.236
1999-07-01,1.273
1999-08-01,1.319
1999-09-01,1.392
1999-10-01,1.349
1999-11-01,1.365
1999-12-01,1.379
2000-01-01,1.422
2000-02-01,1.536
2000-03-01,1.612
2000-04-01,1.561
2000-05-01,1.758
2000-06-01,2.041
2000-07-01,1.638
2000-08-01,1.474
2000-09-01,1.635
2000-10-01,1.611
2000-11-01,1.614
2000-12-01,1.522
2001-01-01,1.590
2001-02-01,1.561
2001-03-01,1.485
2001-04-01,1.768
2001-05-01,2.005
2001-06-01,1.777
2001-07-01,1.449
2001-08-01,1.647
2001-09-01,1.833
2001-10-01,1.453
2001-11-01,1.292
2001-12-01,1.237
2002-01-01,1.215
2002-02-01,1.201
2002-03-01,1.398
2002-04-01,1.544
2002-05-01,1.575
2002-06-01,1.569
2002-07-01,1.547
2002-08-01,1.540
2002-09-01,1.558
2002-10-01,1.635
2002-11-01,1.544
2002-12-01,1.488
2003-01-01,1.583
2003-02-01,1.747
2003-03-01,1.782
2003-04-01,1.638
2003-05-01,1.590
2003-06-01,1.637
2003-07-01,1.637
2003-08-01,1.753
2003-09-01,1.787
2003-10-01,1.696
2003-11-01,1.658
2003-12-01,1.595
2004-01-01,1.710
2004-02-01,1.779
2004-03-01,1.820
2004-04-01,1.920
2004-05-01,2.131
2004-06-01,2.043
2004-07-01,2.004
2004-08-01,1.993
2004-09-01,1.985
2004-10-01,2.121
2004-11-01,2.068
2004-12-01,1.895
2005-01-01,1.947
2005-02-01,2.013
2005-03-01,2.218
2005-04-01,2.355
2005-05-01,2.246
2005-06-01,2.271
2005-07-01,2.431
2005-08-01,2.656
2005-09-01,2.982
2005-10-01,2.799
2005-11-01,2.329
2005-12-01,2.324
2006-01-01,2.423
2006-02-01,2.348
2006-03-01,2.566
2006-04-01,2.882
2006-05-01,2.989
2006-06-01,3.046
2006-07-01,3.233
2006-08-01,3.172
2006-09-01,2.700
2006-10-01,2.336
2006-11-01,2.348
2006-12-01,2.406
2007-01-01,2.291
2007-02-01,2.404
2007-03-01,2.606
2007-04-01,2.962
2007-05-01,3.472
2007-06-01,3.359
2007-07-01,3.221
2007-08-01,3.050
2007-09-01,3.141
2007-10-01,2.938
2007-11-01,3.186
2007-12-01,3.107
2008-01-01,3.164
2008-02-01,3.157
2008-03-01,3.376
2008-04-01,3.677
2008-05-01,4.017
2008-06-01,4.234
2008-07-01,4.255
2008-08-01,4.012
2008-09-01,4.030
2008-10-01,3.280
2008-11-01,2.264
2008-12-01,1.783
2009-01-01,1.989
2009-02-01,2.017
2009-03-01,2.090
2009-04-01,2.195
2009-05-01,2.527
2009-06-01,2.872
2009-07-01,2.683
2009-08-01,2.754
2009-09-01,2.631
2009-10-01,2.692
2009-11-01,2.787
2009-12-01,2.726
2010-01-01,2.857
2010-02-01,2.750
2010-03-01,2.922
2010-04-01,3.083
2010-05-01,3.050
2010-06-01,2.923
2010-07-01,2.905
2010-08-01,2.889
2010-09-01,2.952
2010-10-01,2.975
2010-11-01,3.030
2010-12-01,3.154
2011-01-01,3.274
2011-02-01,3.383
2011-03-01,3.737
2011-04-01,4.099
2011-05-01,4.244
2011-06-01,4.005
2011-07-01,3.952
2011-08-01,3.875
2011-09-01,3.811
2011-10-01,3.539
2011-11-01,3.500
2011-12-01,3.394
2012-01-01,3.568
2012-02-01,3.663
2012-03-01,4.198
2012-04-01,4.216
2012-05-01,3.997
2012-06-01,3.799
2012-07-01,3.697
2012-08-01,4.109
2012-09-01,4.170
2012-10-01,3.840
2012-11-01,3.567
2012-12-01,3.468
2013-01-01,3.463
2013-02-01,3.940
2013-03-01,3.943
2013-04-01,3.965
2013-05-01,4.125
2013-06-01,4.158
2013-07-01,3.940
2013-08-01,3.838
2013-09-01,3.753
2013-10-01,3.531
2013-11-01,3.419
2013-12-01,3.429
2014-01-01,3.513
2014-02-01,3.596
2014-03-01,3.879
2014-04-01,4.041
2014-05-01,3.974
2014-06-01,4.076
2014-07-01,3.835
2014-08-01,3.743
2014-09-01,3.751
2014-10-01,3.441
2014-11-01,3.200
2014-12-01,2.717
2015-01-01,2.281
2015-02-01,2.485
2015-03-01,2.724
2015-04-01,2.807
2015-05-01,3.010
2015-06-01,3.210
2015-07-01,3.093
2015-08-01,3.079
2015-09-01,2.804
2015-10-01,2.750
2015-11-01,2.432
2015-12-01,2.271
2016-01-01,2.153
2016-02-01,1.930
2016-03-01,2.301
2016-04-01,2.440
2016-05-01,2.655
2016-06-01,2.848
2016-07-01,2.575
2016-08-01,2.536
2016-09-01,2.544
2016-10-01,2.541
2016-11-01,2.423
2016-12-01,2.602
2017-01-01,2.670
2017-02-01,2.596
2017-03-01,2.612
2017-04-01,2.772
2017-05-01,2.728
2017-06-01,2.634
2017-07-01,2.637
2017-08-01,2.684
2017-09-01,2.823
2017-10-01,2.771
2017-11-01,2.962
2017-12-01,2.793
2018-01-01,2.893
2018-02-01,2.820
2018-03-01,2.857
2018-04-01,3.071
2018-05-01,3.361
2018-06-01,3.384
2018-07-01,3.293
2018-08-01,3.229
2018-09-01,3.242
2018-10-01,3.222
2018-11-01,2.962
2018-12-01,2.629
