DATE,VALUE
1994-11-28,1.214
1994-12-05,1.239
1994-12-12,1.225
1994-12-19,1.208
1994-12-26,1.224
1995-01-02,1.222
1995-01-09,1.229
1995-01-16,1.226
1995-01-23,1.224
1995-01-30,1.218
1995-02-06,1.212
1995-02-13,1.211
1995-02-20,1.203
1995-02-27,1.207
1995-03-06,1.198
1995-03-13,1.190
1995-03-20,1.202
1995-03-27,1.216
1995-04-03,1.221
1995-04-10,1.229
1995-04-17,1.254
1995-04-24,1.266
1995-05-01,1.282
1995-05-08,1.309
1995-05-15,1.318
1995-05-22,1.353
1995-05-29,1.351
1995-06-05,1.351
1995-06-12,1.345
1995-06-19,1.338
1995-06-26,1.328
1995-07-03,1.318
1995-07-10,1.309
1995-07-17,1.291
1995-07-24,1.274
1995-07-31,1.257
1995-08-07,1.249
1995-08-14,1.244
1995-08-21,1.243
1995-08-28,1.240
1995-09-04,1.237
1995-09-11,1.236
1995-09-18,1.242
1995-09-25,1.248
1995-10-02,1.240
1995-10-09,1.233
1995-10-16,1.224
1995-10-23,1.204
1995-10-30,1.194
1995-11-06,1.189
1995-11-13,1.180
1995-11-20,1.176
1995-11-27,1.181
1995-12-04,1.192
1995-12-11,1.204
1995-12-18,1.229
1995-12-25,1.236
1996-01-01,1.239
1996-01-08,1.251
1996-01-15,1.249
1996-01-22,1.230
1996-01-29,1.221
1996-02-05,1.222
1996-02-12,1.212
1996-02-19,1.215
1996-02-26,1.255
1996-03-04,1.279
1996-03-11,1.276
1996-03-18,1.280
1996-03-25,1.318
1996-04-01,1.323
1996-04-08,1.334
1996-04-15,1.367
1996-04-22,1.374
1996-04-29,1.382
1996-05-06,1.390
1996-05-13,1.400
1996-05-20,1.427
1996-05-27,1.407
1996-06-03,1.414
1996-06-10,1.400
1996-06-17,1.380
1996-06-24,1.374
1996-07-01,1.359
1996-07-08,1.351
1996-07-15,1.351
1996-07-22,1.340
1996-07-29,1.331
1996-08-05,1.321
1996-08-12,1.308
1996-08-19,1.311
1996-08-26,1.326
1996-09-02,1.304
1996-09-09,1.322
1996-09-16,1.329
1996-09-23,1.334
1996-09-30,1.333
1996-10-07,1.328
1996-10-14,1.337
1996-10-21,1.340
1996-10-28,1.359
1996-11-04,1.371
1996-11-11,1.391
1996-11-18,1.410
1996-11-25,1.417
1996-12-02,1.417
1996-12-09,1.412
1996-12-16,1.405
1996-12-23,1.402
1996-12-30,1.393
1997-01-06,1.386
1997-01-13,1.395
1997-01-20,1.390
1997-01-27,1.382
1997-02-03,1.378
1997-02-10,1.371
1997-02-17,1.364
1997-02-24,1.352
1997-03-03,1.336
1997-03-10,1.322
1997-03-17,1.304
1997-03-24,1.305
1997-03-31,1.297
1997-04-07,1.287
1997-04-14,1.294
1997-04-21,1.296
1997-04-28,1.298
1997-05-05,1.316
1997-05-12,1.306
1997-05-19,1.325
1997-05-26,1.349
1997-06-02,1.344
1997-06-09,1.343
1997-06-16,1.338
1997-06-23,1.328
1997-06-30,1.312
1997-07-07,1.305
1997-07-14,1.302
1997-07-21,1.308
1997-07-28,1.302
1997-08-04,1.340
1997-08-11,1.365
1997-08-18,1.359
1997-08-25,1.376
1997-09-01,1.359
1997-09-08,1.351
1997-09-15,1.340
1997-09-22,1.316
1997-09-29,1.301
1997-10-06,1.292
1997-10-13,1.281
1997-10-20,1.270
1997-10-27,1.262
1997-11-03,1.253
1997-11-10,1.252
1997-11-17,1.252
1997-11-24,1.252
1997-12-01,1.247
1997-12-08,1.238
1997-12-15,1.224
1997-12-22,1.208
1997-12-29,1.202
1998-01-05,1.195
1998-01-12,1.172
1998-01-19,1.148
1998-01-26,1.138
1998-02-02,1.132
1998-02-09,1.153
1998-02-16,1.148
1998-02-23,1.166
1998-03-02,1.153
1998-03-09,1.138
1998-03-16,1.126
1998-03-23,1.123
1998-03-30,1.173
1998-04-06,1.160
1998-04-13,1.153
1998-04-20,1.168
1998-04-27,1.192
1998-05-04,1.204
1998-05-11,1.224
1998-05-18,1.232
1998-05-25,1.220
1998-06-01,1.228
1998-06-08,1.237
1998-06-15,1.223
1998-06-22,1.223
1998-06-29,1.198
1998-07-06,1.228
1998-07-13,1.230
1998-07-20,1.222
1998-07-27,1.201
1998-08-03,1.188
1998-08-10,1.176
1998-08-17,1.172
1998-08-24,1.160
1998-08-31,1.156
1998-09-07,1.150
1998-09-14,1.149
1998-09-21,1.148
1998-09-28,1.157
1998-10-05,1.153
1998-10-12,1.157
1998-10-19,1.134
1998-10-26,1.151
1998-11-02,1.143
1998-11-09,1.157
1998-11-16,1.122
1998-11-23,1.111
1998-11-30,1.091
1998-12-07,1.070
1998-12-14,1.068
1998-12-21,1.063
1998-12-28,1.051
1999-01-04,1.052
1999-01-11,1.050
1999-01-18,1.101
1999-01-25,1.092
1999-02-01,1.057
1999-02-08,1.044
1999-02-15,1.040
1999-02-22,1.008
1999-03-01,1.038
1999-03-08,1.015
1999-03-15,1.129
1999-03-22,1.189
1999-03-29,1.224
1999-04-05,1.235
1999-04-12,1.253
1999-04-19,1.237
1999-04-26,1.231
1999-05-03,1.231
1999-05-10,1.276
1999-05-17,1.257
1999-05-24,1.237
1999-05-31,1.222
1999-06-07,1.215
1999-06-14,1.236
1999-06-21,1.254
1999-06-28,1.237
1999-07-05,1.244
1999-07-12,1.276
1999-07-19,1.274
1999-07-26,1.297
1999-08-02,1.297
1999-08-09,1.286
1999-08-16,1.351
1999-08-23,1.344
1999-08-30,1.317
1999-09-06,1.379
1999-09-13,1.360
1999-09-20,1.422
1999-09-27,1.406
1999-10-04,1.383
1999-10-11,1.367
1999-10-18,1.337
1999-10-25,1.309
1999-11-01,1.325
1999-11-08,1.336
1999-11-15,1.369
1999-11-22,1.390
1999-11-29,1.403
1999-12-06,1.385
1999-12-13,1.390
1999-12-20,1.372
1999-12-27,1.369
2000-01-03,1.383
