DATE,VALUE
1994-11-28,1.249
1994-12-05,1.272
1994-12-12,1.268
1994-12-19,1.262
1994-12-26,1.265
1995-01-02,1.298
1995-01-09,1.300
1995-01-16,1.299
1995-01-23,1.296
1995-01-30,1.291
1995-02-06,1.288
1995-02-13,1.285
1995-02-20,1.280
1995-02-27,1.276
1995-03-06,1.275
1995-03-13,1.268
1995-03-20,1.267
1995-03-27,1.265
1995-04-03,1.266
1995-04-10,1.273
1995-04-17,1.278
1995-04-24,1.291
1995-05-01,1.305
1995-05-08,1.324
1995-05-15,1.334
1995-05-22,1.344
1995-05-29,1.351
1995-06-05,1.349
1995-06-12,1.348
1995-06-19,1.345
1995-06-26,1.341
1995-07-03,1.337
1995-07-10,1.333
1995-07-17,1.325
1995-07-24,1.314
1995-07-31,1.304
1995-08-07,1.296
1995-08-14,1.288
1995-08-21,1.280
1995-08-28,1.275
1995-09-04,1.277
1995-09-11,1.268
1995-09-18,1.265
1995-09-25,1.260
1995-10-02,1.262
1995-10-09,1.261
1995-10-16,1.260
1995-10-23,1.254
1995-10-30,1.246
1995-11-06,1.240
1995-11-13,1.236
1995-11-20,1.231
1995-11-27,1.229
1995-12-04,1.229
1995-12-11,1.230
1995-12-18,1.236
1995-12-25,1.242
1996-01-01,1.244
1996-01-08,1.242
1996-01-15,1.252
1996-01-22,1.255
1996-01-29,1.253
1996-02-05,1.250
1996-02-12,1.249
1996-02-19,1.253
1996-02-26,1.269
1996-03-04,1.279
1996-03-11,1.284
1996-03-18,1.292
1996-03-25,1.314
1996-04-01,1.334
1996-04-08,1.360
1996-04-15,1.405
1996-04-22,1.458
1996-04-29,1.481
1996-05-06,1.490
1996-05-13,1.493
1996-05-20,1.494
1996-05-27,1.484
1996-06-03,1.490
1996-06-10,1.479
1996-06-17,1.469
1996-06-24,1.460
1996-07-01,1.448
1996-07-08,1.439
1996-07-15,1.432
1996-07-22,1.424
1996-07-29,1.414
1996-08-05,1.402
1996-08-12,1.389
1996-08-19,1.376
1996-08-26,1.378
1996-09-02,1.359
1996-09-09,1.357
1996-09-16,1.360
1996-09-23,1.359
1996-09-30,1.352
1996-10-07,1.348
1996-10-14,1.344
1996-10-21,1.339
1996-10-28,1.335
1996-11-04,1.336
1996-11-11,1.329
1996-11-18,1.338
1996-11-25,1.341
1996-12-02,1.345
1996-12-09,1.349
1996-12-16,1.354
1996-12-23,1.355
1996-12-30,1.355
1997-01-06,1.361
1997-01-13,1.375
1997-01-20,1.377
1997-01-27,1.376
1997-02-03,1.378
1997-02-10,1.379
1997-02-17,1.378
1997-02-24,1.377
1997-03-03,1.371
1997-03-10,1.373
1997-03-17,1.373
1997-03-24,1.374
1997-03-31,1.380
1997-04-07,1.388
1997-04-14,1.388
1997-04-21,1.381
1997-04-28,1.379
1997-05-05,1.379
1997-05-12,1.372
1997-05-19,1.371
1997-05-26,1.375
1997-06-02,1.373
1997-06-09,1.370
1997-06-16,1.365
1997-06-23,1.359
1997-06-30,1.347
1997-07-07,1.339
1997-07-14,1.333
1997-07-21,1.331
1997-07-28,1.327
1997-08-04,1.347
1997-08-11,1.385
1997-08-18,1.401
1997-08-25,1.428
1997-09-01,1.434
1997-09-08,1.440
1997-09-15,1.443
1997-09-22,1.437
1997-09-29,1.426
1997-10-06,1.420
1997-10-13,1.414
1997-10-20,1.407
1997-10-27,1.398
1997-11-03,1.387
1997-11-10,1.380
1997-11-17,1.372
1997-11-24,1.365
1997-12-01,1.358
1997-12-08,1.347
1997-12-15,1.337
1997-12-22,1.324
1997-12-29,1.319
1998-01-05,1.313
1998-01-12,1.299
1998-01-19,1.277
1998-01-26,1.263
1998-02-02,1.249
1998-02-09,1.237
1998-02-16,1.219
1998-02-23,1.209
1998-03-02,1.187
1998-03-09,1.170
1998-03-16,1.159
1998-03-23,1.151
1998-03-30,1.177
1998-04-06,1.176
1998-04-13,1.181
1998-04-20,1.180
1998-04-27,1.191
1998-05-04,1.221
1998-05-11,1.232
1998-05-18,1.240
1998-05-25,1.236
1998-06-01,1.234
1998-06-08,1.232
1998-06-15,1.230
1998-06-22,1.226
1998-06-29,1.220
1998-07-06,1.220
1998-07-13,1.218
1998-07-20,1.217
1998-07-27,1.212
1998-08-03,1.204
1998-08-10,1.199
1998-08-17,1.194
1998-08-24,1.190
1998-08-31,1.181
1998-09-07,1.177
1998-09-14,1.173
1998-09-21,1.182
1998-09-28,1.183
1998-10-05,1.181
1998-10-12,1.184
1998-10-19,1.179
1998-10-26,1.180
1998-11-02,1.176
1998-11-09,1.175
1998-11-16,1.170
1998-11-23,1.174
1998-11-30,1.169
1998-12-07,1.157
1998-12-14,1.152
1998-12-21,1.152
1998-12-28,1.147
1999-01-04,1.143
1999-01-11,1.139
1999-01-18,1.143
1999-01-25,1.137
1999-02-01,1.127
1999-02-08,1.122
1999-02-15,1.116
1999-02-22,1.112
1999-03-01,1.116
1999-03-08,1.126
1999-03-15,1.162
1999-03-22,1.197
1999-03-29,1.303
1999-04-05,1.374
1999-04-12,1.403
1999-04-19,1.397
1999-04-26,1.392
1999-05-03,1.383
1999-05-10,1.380
1999-05-17,1.369
1999-05-24,1.343
1999-05-31,1.319
1999-06-07,1.306
1999-06-14,1.301
1999-06-21,1.307
1999-06-28,1.304
1999-07-05,1.302
1999-07-12,1.334
1999-07-19,1.372
1999-07-26,1.390
1999-08-02,1.405
1999-08-09,1.424
1999-08-16,1.441
1999-08-23,1.441
1999-08-30,1.433
1999-09-06,1.432
1999-09-13,1.428
1999-09-20,1.433
1999-09-27,1.422
1999-10-04,1.421
1999-10-11,1.424
1999-10-18,1.416
1999-10-25,1.404
1999-11-01,1.398
1999-11-08,1.393
1999-11-15,1.404
1999-11-22,1.419
1999-11-29,1.432
1999-12-06,1.437
1999-12-13,1.435
1999-12-20,1.429
1999-12-27,1.428
2000-01-03,1.428
2000-01-10,1.423
2000-01-17,1.423
2000-01-24,1.445
2000-01-31,1.457
2000-02-07,1.458
2000-02-14,1.477
2000-02-21,1.519
2000-02-28,1.551
2000-03-06,1.643
2000-03-13,1.703
2000-03-20,1.731
2000-03-27,1.725
2000-04-03,1.717
2000-04-10,1.702
2000-04-17,1.680
2000-04-24,1.669
2000-05-01,1.655
2000-05-08,1.659
2000-05-15,1.670
2000-05-22,1.682
2000-05-29,1.697
