DATE,VALUE
1995-01-01,1.367
1995-02-01,1.347
1995-03-01,1.330
1995-04-01,1.339
1995-05-01,1.374
1995-06-01,1.369
1995-07-01,1.344
1995-08-01,1.297
1995-09-01,1.274
1995-10-01,1.281
1995-11-01,1.278
1995-12-01,1.265
1996-01-01,1.271
1996-02-01,1.291
1996-03-01,1.342
1996-04-01,1.511
1996-05-01,1.632
1996-06-01,1.611
1996-07-01,1.555
1996-08-01,1.486
1996-09-01,1.421
1996-10-01,1.366
1996-11-01,1.302
1996-12-01,1.305
1997-01-01,1.360
1997-02-01,1.395
1997-03-01,1.436
1997-04-01,1.495
1997-05-01,1.476
1997-06-01,1.438
1997-07-01,1.392
1997-08-01,1.459
1997-09-01,1.551
1997-10-01,1.541
1997-11-01,1.503
1997-12-01,1.455
1998-01-01,1.395
1998-02-01,1.301
1998-03-01,1.209
1998-04-01,1.241
1998-05-01,1.341
1998-06-01,1.317
1998-07-01,1.294
1998-08-01,1.268
1998-09-01,1.254
1998-10-01,1.253
1998-11-01,1.254
1998-12-01,1.249
1999-01-01,1.237
1999-02-01,1.221
1999-03-01,1.340
1999-04-01,1.712
1999-05-01,1.581
1999-06-01,1.444
1999-07-01,1.516
1999-08-01,1.625
1999-09-01,1.543
1999-10-01,1.491
1999-11-01,1.467
1999-12-01,1.492
2000-01-01,1.476
2000-02-01,1.552
2000-03-01,1.849
2000-04-01,1.853
2000-05-01,1.753
2000-06-01,1.736
2000-07-01,1.819
2000-08-01,1.784
2000-09-01,1.929
2000-10-01,1.921
2000-11-01,1.877
2000-12-01,1.797
2001-01-01,1.710
2001-02-01,1.733
2001-03-01,1.789
2001-04-01,1.889
2001-05-01,2.060
2001-06-01,2.036
2001-07-01,1.879
2001-08-01,1.667
2001-09-01,1.761
2001-10-01,1.646
2001-11-01,1.458
2001-12-01,1.262
2002-01-01,1.286
2002-02-01,1.373
2002-03-01,1.562
2002-04-01,1.712
2002-05-01,1.677
2002-06-01,1.690
2002-07-01,1.708
2002-08-01,1.696
2002-09-01,1.686
2002-10-01,1.638
2002-11-01,1.678
2002-12-01,1.648
2003-01-01,1.721
2003-02-01,1.910
2003-03-01,2.208
2003-04-01,2.155
2003-05-01,1.951
2003-06-01,1.859
2003-07-01,1.839
2003-08-01,1.965
2003-09-01,2.121
2003-10-01,1.895
2003-11-01,1.796
2003-12-01,1.737
2004-01-01,1.776
2004-02-01,1.963
2004-03-01,2.195
2004-04-01,2.235
2004-05-01,2.351
2004-06-01,2.369
2004-07-01,2.277
2004-08-01,2.179
2004-09-01,2.165
2004-10-01,2.417
2004-11-01,2.393
2004-12-01,2.191
2005-01-01,2.066
2005-02-01,2.211
2005-03-01,2.389
2005-04-01,2.641
2005-05-01,2.569
2005-06-01,2.459
2005-07-01,2.603
2005-08-01,2.766
2005-09-01,3.087
2005-10-01,2.974
2005-11-01,2.620
2005-12-01,2.370
2006-01-01,2.473
2006-02-01,2.587
2006-03-01,2.666
2006-04-01,2.970
2006-05-01,3.380
2006-06-01,3.301
2006-07-01,3.298
2006-08-01,3.248
2006-09-01,2.968
2006-10-01,2.624
2006-11-01,2.549
2006-12-01,2.628
